,season,team,league,sequenceNumber,assists,goals,games,points,pim,penaltyMinutes,plusMinus
0,20142015,MNBEL Rangers,Bantam,258875,13,6,16,19,,,
0,20152016,Grand Rapids High,USHS-MN,23048,24,6,25,30,20.0,20,
0,20152016,Team Kowalski's,UMHSEHL,97808,13,3,21,16,8.0,8,
0,20152016,Team Grey,USA-S15,178273,3,5,5,8,,,
0,20162017,Chicago Steel,USHL,9906,2,0,11,2,0.0,0,-4.0
0,20162017,Grand Rapids High,USHS-MN,23048,33,16,25,49,30.0,30,
0,20162017,Team Kowalski's,UMHSEHL,97808,11,8,17,19,8.0,8,
0,20162017,Team White,USA-S16,177964,2,1,5,3,,,
0,20172018,Chicago Steel,USHL,9906,29,23,54,52,70.0,70,-5.0
0,20172018,USA U19,WJAC-19,87412,4,0,5,4,0.0,0,
0,20172018,USA U18,Hlinka Gretzky Cup,140070,1,2,4,3,2.0,2,1.0
0,20172018,Team Orange,USA-S17,177525,4,4,5,8,,,
0,20182019,Univ. of Minnesota,NCAA,8320,15,5,35,20,36.0,36,-3.0
0,20192020,Univ. of Minnesota,NCAA,8320,16,8,37,24,34.0,34,-2.0
0,20202021,Univ. of Minnesota,NCAA,8320,16,12,31,28,8.0,8,9.0
0,20212022,Univ. of Minnesota,NCAA,8320,20,13,39,33,35.0,35,8.0
0,20212022,San Diego Gulls,AHL,85177,0,1,7,1,0.0,0,-1.0
