,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Prince Albert Mintos,SMHL,42471,6,4,73,42,73,0.0,10,,,,,,,,,,,,,,,,
0,20082009,Prince Albert,SMHL,1,16,19,64,40,64,,35,,,,,,,,,,,,,,,,
0,20082009,Flin Flon,SJHL,2,0,0,0,2,0,,0,0.0,0.0,0.0,,,,,,,,,,,,,
0,20092010,Salmon Arm,BCHL,1,14,10,75,54,75,,24,0.0,1.0,0.0,,,,,,,,,,,,,
0,20102011,Salmon Arm,BCHL,1,35,12,80,57,80,,47,6.0,0.0,0.0,,,,,,,,,,,,,
0,20112012,Northeastern,H-East,1,4,0,48,33,48,,4,0.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,Northeastern,H-East,1,4,3,45,33,45,,7,1.0,1.0,0.0,,,,,,,,,,,,,
0,20132014,Northeastern,H-East,1,7,3,65,33,65,,10,0.0,1.0,1.0,,,,,,,,,,,,,
0,20132014,Norfolk,AHL,2,0,1,26,9,26,1.0,1,0.0,0.0,0.0,10.0,10.0,,,,,,,,,,,
0,20142015,Anaheim Ducks,National Hockey League,1,3,0,31,28,31,1.0,3,0.0,0.0,0.0,26.0,0.0,516:09,44.0,0.0,01:27,470:40,0.0,0.0,0.0,44:02,24.0,663.0
0,20142015,Norfolk,AHL,2,9,3,47,36,47,-6.0,12,1.0,0.0,0.0,62.0,4.8,,,,,,,,,,,
0,20152016,Anaheim Ducks,National Hockey League,1,10,5,74,71,74,11.0,15,0.0,1.0,0.0,88.0,5.68,1333:33,158.0,0.0,08:07,1173:04,0.0,0.0,0.0,152:22,67.0,1693.0
0,20162017,Anaheim Ducks,National Hockey League,1,12,5,82,82,82,14.0,17,0.0,1.0,1.0,88.0,5.68,1527:19,227.0,0.0,06:09,1329:03,0.0,0.0,2.0,192:07,79.0,1911.0
0,20172018,Anaheim Ducks,National Hockey League,1,30,7,62,80,62,34.0,37,0.0,2.0,0.0,117.0,5.98,1628:17,180.0,0.0,07:32,1425:09,0.0,0.0,1.0,195:36,99.0,1907.0
0,20182019,Anaheim Ducks,National Hockey League,1,13,3,62,74,62,-8.0,16,0.0,0.0,0.0,96.0,3.13,1650:43,184.0,0.0,09:36,1406:07,0.0,0.0,1.0,235:00,90.0,2099.0
0,20192020,Anaheim Ducks,National Hockey League,1,8,1,37,50,37,-10.0,9,0.0,0.0,0.0,64.0,1.6,1031:33,113.0,0.0,05:44,900:37,0.0,0.0,1.0,125:12,65.0,1320.0
0,20202021,Anaheim Ducks,National Hockey League,1,6,1,30,23,30,-3.0,7,0.0,1.0,0.0,19.0,5.3,413:35,61.0,0.0,00:19,354:00,0.0,1.0,0.0,59:16,31.0,543.0
0,20212022,Anaheim Ducks,National Hockey League,1,5,4,53,45,53,0.0,9,0.0,0.0,0.0,61.0,6.6,888:37,116.0,0.0,01:39,780:29,0.0,0.0,0.0,106:29,45.0,1092.0
0,20212022,Colorado Avalanche,National Hockey League,2,5,2,12,22,12,-11.0,7,0.0,0.0,0.0,31.0,6.5,382:53,63.0,0.0,00:31,348:07,0.0,0.0,0.0,34:15,25.0,525.0
