,season,team,league,sequenceNumber,timeOnIce,shutouts,ties,wins,losses,goalAgainstAverage,games,goalsAgainst,saves,savePercentage,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20032004,Laval,QAAA,1,00:00,2.0,0.0,16.0,4.0,2.8,27,62.0,,,,,,,,,,,,,,
0,20042005,Lewiston,QMJHL,1,1353:00,0.0,3.0,7.0,12.0,2.97,23,67.0,672.0,0.909,739.0,,,,,,,,,,,
0,20052006,Lewiston,QMJHL,1,3241:00,2.0,0.0,27.0,26.0,2.7,54,146.0,1440.0,0.908,1586.0,,,,,,,,,,,
0,20052006,Canada,WJ18-A,2,,1.0,1.0,3.0,3.0,1.71,7,12.0,,,,,,,,,,,,,,
0,20062007,Lewiston,QMJHL,1,2186:00,2.0,,26.0,10.0,2.58,37,94.0,896.0,0.905,990.0,,,,,,,,,,,
0,20072008,Los Angeles Kings,National Hockey League,1,238:23,0.0,,1.0,3.0,4.027127,4,16.0,102.0,0.864407,118.0,0.0,36.0,1.0,65.0,2.0,75.0,41.0,4.0,87.8048780487805,50.0,86.66666666666667
0,20072008,Lewiston,QMJHL,2,2024:23,0.0,,18.0,15.0,2.73,34,92.0,909.0,0.908,1001.0,,,,,,,,,,,
0,20072008,Canada,WJC-A,3,,1.0,0.0,1.0,1.0,2.0,2,4.0,72.0,0.947368,76.0,,,,,,,,,,,
0,20072008,Manchester,AHL,4,,0.0,1.0,1.0,1.0,1.63,3,5.0,88.0,0.946,93.0,,,,,,,,,,,
0,20082009,Manchester,AHL,1,3101:00,5.0,4.0,23.0,24.0,2.4,54,124.0,1435.0,0.91,1311.0,,,,,,,,,,,
0,20092010,Los Angeles Kings,National Hockey League,1,185:00,1.0,,3.0,0.0,1.297297,3,4.0,90.0,0.957447,94.0,0.0,14.0,3.0,73.0,3.0,76.0,15.0,3.0,93.33333333333333,100.0,96.05263157894737
0,20092010,Manchester,AHL,2,3424:00,9.0,6.0,30.0,21.0,2.03,58,116.0,1707.0,0.936,1823.0,,,,,,,,,,,
0,20102011,Los Angeles Kings,National Hockey League,1,1378:15,3.0,,11.0,8.0,2.481408,25,57.0,595.0,0.912577,652.0,3.0,92.0,9.0,494.0,11.0,537.0,104.0,22.0,88.46153846153845,81.81818181818183,91.9925512104283
0,20102011,Canada,WC-A,2,179:00,0.0,0.0,2.0,1.0,2.01,3,6.0,66.0,0.916667,72.0,,,,,,,,,,,
0,20112012,Los Angeles Kings,National Hockey League,1,890:12,1.0,,5.0,6.0,2.35902,16,35.0,348.0,0.908616,383.0,2.0,75.0,10.0,263.0,10.0,292.0,81.0,13.0,92.5925925925926,100.0,90.06849315068493
0,20122013,Los Angeles Kings,National Hockey League,1,768:21,1.0,,9.0,3.0,1.874146,14,24.0,282.0,0.921569,306.0,1.0,46.0,3.0,233.0,3.0,250.0,53.0,12.0,86.79245283018868,100.0,93.2
0,20122013,Heilbronn,German-2,2,793:00,1.0,0.0,6.0,7.0,2.57,13,34.0,,,,,,,,,,,,,,
0,20132014,Toronto Maple Leafs,National Hockey League,1,3083:34,1.0,,26.0,19.0,2.685202,55,138.0,1649.0,0.922776,1787.0,7.0,238.0,47.0,1364.0,55.0,1462.0,270.0,49.0,88.14814814814815,85.45454545454545,93.296853625171
0,20142015,Toronto Maple Leafs,National Hockey League,1,3177:09,2.0,,21.0,28.0,2.870497,58,152.0,1583.0,0.912392,1735.0,7.0,245.0,63.0,1275.0,70.0,1384.0,281.0,55.0,87.18861209964413,90.0,92.12427745664739
0,20152016,Toronto Maple Leafs,National Hockey League,1,2146:46,3.0,,12.0,21.0,2.878748,38,103.0,1011.0,0.90754,1114.0,3.0,134.0,23.0,854.0,27.0,938.0,149.0,36.0,89.93288590604027,85.18518518518519,91.04477611940298
0,20152016,Toronto,AHL,2,240:00,3.0,1.0,3.0,0.0,1.25,4,5.0,91.0,0.948,96.0,,,,,,,,,,,
0,20152016,Toronto Marlies,AHL,13377,,,,,,1.25,4,,,0.948,,,,,,,,,,,,
0,20162017,Anaheim Ducks,National Hockey League,1,1993:11,2.0,,21.0,7.0,2.498516,39,83.0,899.0,0.915479,982.0,4.0,163.0,14.0,722.0,17.0,782.0,183.0,33.0,89.07103825136612,82.35294117647058,92.32736572890026
0,20172018,Colorado Avalanche,National Hockey League,1,2001:23,2.0,0.0,19.0,13.0,2.84803,37,95.0,997.0,0.913004,1092.0,3.0,178.0,21.0,798.0,27.0,865.0,200.0,34.0,89.0,77.77777777777779,92.25433526011561
0,20182019,Detroit Red Wings,National Hockey League,1,1859:54,1.0,0.0,9.0,18.0,3.16146,35,98.0,927.0,0.90439,1025.0,5.0,116.0,21.0,790.0,22.0,874.0,129.0,30.0,89.92248062015504,95.45454545454545,90.38901601830663
0,20192020,Detroit Red Wings,National Hockey League,1,2565:56,1.0,0.0,15.0,22.0,2.9463,46,126.0,1227.0,0.907,1353.0,3.0,194.0,42.0,991.0,49.0,1079.0,225.0,41.0,86.22222222222223,85.71428571428571,91.84430027803522
0,20202021,Detroit Red Wings,National Hockey League,1,1306:27,0.0,0.0,9.0,11.0,2.9852,24,65.0,692.0,0.914,757.0,1.0,79.0,24.0,589.0,26.0,640.0,91.0,23.0,86.81318681318682,92.3076923076923,92.03125
0,20212022,New Jersey Devils,National Hockey League,1,510:06,0.0,0.0,4.0,4.0,3.05822,10,26.0,238.0,0.902,264.0,1.0,36.0,10.0,192.0,11.0,209.0,44.0,8.0,81.81818181818183,90.9090909090909,91.86602870813397
