,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,shortHandedGoals,plusMinus,shots,shotPct,gameWinningGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Peterborough,Minor-ON,1,48,24,26,57,26,72,,,,,,,,,,,,,,,,,
0,20092010,Ottawa,OHL,1,8,4,12,64,12,12,1.0,0.0,3.0,,,,,,,,,,,,,,
0,20102011,Ottawa,OHL,1,25,9,28,68,28,34,3.0,0.0,11.0,,,,,,,,,,,,,,
0,20112012,Ottawa,OHL,1,43,17,14,64,14,60,8.0,2.0,21.0,,,,,,,,,,,,,,
0,20122013,Ottawa,OHL,1,29,11,10,42,10,40,7.0,0.0,-14.0,,,,,,,,,,,,,,
0,20122013,Owen Sound,OHL,2,16,8,2,27,2,24,6.0,0.0,6.0,,,,,,,,,,,,,,
0,20122013,Binghamton,AHL,3,1,1,0,3,0,2,0.0,0.0,2.0,6.0,16.67,0.0,,,,,,,,,,,
0,20132014,Ottawa Senators,National Hockey League,1,6,3,14,49,14,9,0.0,0.0,-5.0,82.0,3.66,2.0,843:01,45.0,0.0,69:41,687:32,0.0,1.0,0.0,85:48,49.0,1122.0
0,20132014,Binghamton,AHL,2,17,2,10,27,10,19,0.0,0.0,11.0,64.0,3.1,2.0,,,,,,,,,,,
0,20142015,Ottawa Senators,National Hockey League,1,16,5,6,81,6,21,1.0,0.0,-4.0,130.0,3.85,0.0,1562:29,89.0,4.0,81:53,1290:15,0.0,0.0,0.0,190:21,113.0,1946.0
0,20152016,Ottawa Senators,National Hockey League,1,16,10,18,75,18,26,0.0,0.0,9.0,116.0,8.62,2.0,1447:31,70.0,2.0,40:23,1222:00,0.0,0.0,0.0,185:08,130.0,1831.0
0,20152016,Canada,WC-A,2,5,1,0,10,0,6,1.0,0.0,8.0,12.0,,0.0,,,,,,,,,,,
0,20152016,Canada,WC,17155,5,1,0,10,0,6,,,8.0,,,,,,,,,,,,,,
0,20162017,Ottawa Senators,National Hockey League,1,15,2,20,79,20,17,0.0,0.0,-11.0,143.0,1.4,0.0,1833:12,111.0,1.0,74:23,1520:17,100.0,0.0,2.0,238:32,159.0,2418.0
0,20172018,Ottawa Senators,National Hockey League,1,14,5,12,82,12,19,0.0,0.0,-27.0,143.0,3.5,1.0,1913:50,163.0,5.0,52:12,1634:44,0.0,0.0,0.0,226:54,171.0,2442.0
0,20182019,Ottawa Senators,National Hockey League,1,19,7,18,74,18,26,0.0,0.0,-22.0,132.0,5.3,2.0,1669:31,120.0,1.0,34:50,1450:03,0.0,0.0,0.0,184:38,142.0,2048.0
0,20192020,Toronto Maple Leafs,National Hockey League,1,7,1,20,56,20,8,0.0,0.0,7.0,48.0,2.1,1.0,1150:18,92.0,0.0,04:10,987:07,0.0,0.0,0.0,159:01,79.0,1381.0
0,20202021,Pittsburgh Penguins,National Hockey League,1,13,4,10,53,10,17,0.0,0.0,18.0,58.0,6.9,1.0,981:28,74.0,0.0,03:18,844:05,0.0,0.0,0.0,134:05,70.0,1211.0
0,20212022,Edmonton Oilers,National Hockey League,1,23,5,14,78,14,28,0.0,0.0,8.0,102.0,4.9,0.0,1629:55,117.0,0.0,02:45,1426:52,0.0,0.0,3.0,200:18,121.0,1843.0
