,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,faceOffPct,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,Laser HT U16,Jr. C SM-sarja Q,10222668,16,9,0,11,0,0.0,25,,,,,,,,,,,,,,,,
0,20062007,Kärpät U16,Jr. C SM-sarja Q,10154268,17,20,2,11,2,0.0,37,,,,,,,,,,,,,,,,
0,20072008,Karpat U18,Fin-U18,1,27,22,20,31,20,,49,0.0,,,,,,,,,,,,,,,
0,20082009,Suomi U20,Finland-2,1,3,4,0,6,0,,7,0.0,,,,,,,,,,,,,,,
0,20082009,Karpat Jr.,Fin-Jr.,2,44,22,45,38,45,,66,0.0,,,,,,,,,,,,,,,
0,20082009,Karpat,Finland,3,0,0,0,2,0,,0,0.0,,,,,,,,,,,,,,,
0,20082009,Finland,WJ18-A,5,11,2,0,6,0,,13,0.0,,,,,,,,,,,,,,,
0,20092010,Suomi U20,Finland-2,1,0,0,0,1,0,,0,0.0,,,,,,,,,,,,,,,
0,20092010,Hifk,Finland,2,27,13,2,43,2,,40,,,,,,,,,,,,,,,,
0,20092010,Finland,WJ18-A,3,9,4,4,6,4,,13,0.0,,,,,,,,,,,,,,,
0,20102011,HIFK,Finland,1,28,8,14,39,14,,36,,,,,,,,,,,,,,,,
0,20102011,Finland,WC-A,2,7,2,2,9,2,3.0,9,,1.0,1.0,0.0,,,,,,,,,,,,
0,20102011,Finland,WJ18-A,3,8,2,6,6,6,4.0,10,,1.0,0.0,1.0,,,,,,,,,,,,
0,20112012,Finland,WC-A,1,4,1,2,10,2,-1.0,5,,0.0,0.0,0.0,,,,,,,,,,,,
0,20112012,Finland,WJC-A,2,9,2,0,7,0,4.0,11,,1.0,0.0,0.0,,,,,,,,,,,,
0,20112012,HIFK,Finland,3,31,20,18,45,18,,51,,,,,,,,,,,,,,,,
0,20122013,Minnesota Wild,National Hockey League,1,6,2,6,27,6,-4.0,8,47.09,0.0,0.0,0.0,355:49,36.0,15.0,2.0,46:44,308:54,5.56,0.0,0.0,00:11,8.0,488.0
0,20122013,Finland,WC-A,2,2,1,0,4,0,1.0,3,,1.0,0.0,0.0,,,,,,,,,,,,
0,20122013,Houston,AHL,3,18,10,8,29,8,-1.0,28,,4.0,2.0,0.0,,53.0,,,,,18.87,,,,,
0,20132014,Minnesota Wild,National Hockey League,1,33,8,22,63,22,-3.0,41,52.6,2.0,2.0,0.0,1091:28,104.0,38.0,12.0,159:39,902:05,7.69,0.0,0.0,29:44,46.0,1410.0
0,20132014,Finland,Olympics,2,4,3,4,6,4,3.0,7,,2.0,0.0,0.0,,20.0,,,,,,,,,,
0,20142015,Minnesota Wild,National Hockey League,1,31,8,20,68,20,17.0,39,48.37,0.0,2.0,0.0,1216:59,99.0,47.0,8.0,146:53,1040:15,8.08,0.0,0.0,29:51,45.0,1489.0
0,20152016,Minnesota Wild,National Hockey League,1,31,13,20,82,20,-12.0,44,48.66,2.0,3.0,1.0,1485:48,160.0,86.0,11.0,215:14,1223:42,8.13,0.0,1.0,46:52,57.0,1855.0
0,20152016,Finland,WC-A,2,8,4,2,10,2,6.0,12,,1.0,0.0,0.0,,13.0,,,,,,,,,,
0,20152016,Finland,WC,17055,8,4,2,10,2,6.0,12,,,,,,,,,,,,,,,,
0,20162017,Minnesota Wild,National Hockey League,1,43,26,12,81,12,23.0,69,48.48,7.0,4.0,3.0,1524:47,177.0,50.0,20.0,177:06,1226:01,14.69,1.0,4.0,121:40,50.0,1919.0
0,20162017,Finland,WCup,17116,0,0,0,3,0,-4.0,0,,,,,,,,,,,,,,,,
0,20172018,Minnesota Wild,National Hockey League,1,46,21,18,77,18,13.0,67,55.2,7.0,2.0,1.0,1446:11,193.0,47.0,19.0,192:12,1106:26,10.88,0.0,3.0,147:33,45.0,1727.0
0,20172018,Finland,WC,17055,7,2,2,8,2,3.0,9,,,,,,,,,,,,,,,,
0,20182019,Minnesota Wild,National Hockey League,1,34,15,20,63,20,-2.0,49,44.98,2.0,5.0,2.0,1178:45,160.0,28.0,18.0,172:50,957:24,9.38,1.0,2.0,48:31,33.0,1393.0
0,20182019,Nashville Predators,National Hockey League,2,4,1,4,16,4,-6.0,5,43.59,0.0,0.0,0.0,270:23,29.0,18.0,2.0,29:38,240:15,3.45,0.0,0.0,00:30,7.0,337.0
0,20192020,Nashville Predators,National Hockey League,1,13,17,28,63,28,-4.0,30,48.67,4.0,4.0,1.0,1121:33,130.0,42.0,6.0,154:08,918:14,13.1,2.0,1.0,49:11,55.0,1362.0
0,20202021,Nashville Predators,National Hockey League,1,14,13,14,51,14,-1.0,27,51.81,5.0,1.0,0.0,992:23,74.0,46.0,7.0,131:05,748:57,17.6,0.0,0.0,112:21,42.0,1215.0
0,20212022,Nashville Predators,National Hockey League,1,53,11,33,80,33,-9.0,64,47.18,3.0,3.0,0.0,1633:10,117.0,92.0,28.0,250:21,1233:12,9.4,0.0,0.0,149:37,45.0,1923.0
