,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,Ottawa West,OJHL-B,1,23,20,33,33,33,43,,,,,,,,,,,,,,,,,
0,20062007,Gatineau,QMJHL,1,23,21,46,68,46,44,6.0,5.0,2.0,7.0,,,,,,,,,,,,,
0,20072008,Gatineau,QMJHL,1,31,37,25,52,25,68,7.0,,0.0,29.0,,,,,,,,,,,,,
0,20082009,Gatineau,QMJHL,1,66,33,32,64,32,99,12.0,,2.0,28.0,,,,,,,,,,,,,
0,20092010,Portland,AHL,1,19,14,59,57,59,33,4.0,2.0,1.0,-5.0,,,,,,,,,,,,,
0,20102011,Buffalo Sabres,National Hockey League,1,1,1,2,8,2,2,0.0,0.0,0.0,0.0,87:38,5.0,18.0,0.0,00:40,85:21,40.85,20.0,0.0,0.0,01:37,2.0,125.0
0,20102011,Portland,AHL,2,27,26,52,67,52,53,10.0,0.0,3.0,0.0,,123.0,,,,,,21.14,,,,,
0,20112012,Calgary Flames,National Hockey League,1,2,3,2,22,2,5,0.0,1.0,0.0,3.0,225:04,13.0,26.0,0.0,03:35,220:48,36.36,23.08,0.0,0.0,00:41,2.0,307.0
0,20112012,Abbotsford,AHL,2,14,7,40,39,40,21,1.0,1.0,0.0,0.0,,58.0,,,,,,12.07,,,,,
0,20122013,Calgary Flames,National Hockey League,1,1,0,2,4,2,1,0.0,0.0,0.0,-2.0,41:49,1.0,3.0,0.0,00:59,38:19,41.18,0.0,0.0,0.0,02:31,1.0,63.0
0,20122013,Abbotsford,AHL,2,9,6,38,38,38,15,2.0,2.0,0.0,-7.0,,42.0,,,,,,14.29,,,,,
0,20132014,Calgary Flames,National Hockey League,1,14,7,27,47,27,21,2.0,1.0,1.0,6.0,678:49,46.0,63.0,3.0,34:06,582:40,21.88,15.22,0.0,4.0,62:03,10.0,1037.0
0,20132014,Abbotsford,AHL,2,13,5,4,23,4,18,2.0,0.0,0.0,10.0,,26.0,,,,,,19.2,,,,,
0,20142015,Calgary Flames,National Hockey League,1,13,6,8,57,8,19,1.0,0.0,0.0,-2.0,824:41,62.0,101.0,1.0,28:20,721:35,35.05,9.68,0.0,2.0,74:46,24.0,1326.0
0,20152016,Montréal Canadiens,National Hockey League,1,7,11,11,62,11,18,0.0,2.0,3.0,-9.0,853:02,50.0,112.0,0.0,08:26,730:14,60.0,22.0,1.0,5.0,114:22,25.0,1369.0
0,20162017,Montréal Canadiens,National Hockey League,1,21,22,29,81,29,43,0.0,6.0,1.0,21.0,1220:28,96.0,119.0,4.0,44:14,1015:42,66.67,22.92,1.0,1.0,160:32,34.0,1849.0
0,20172018,Montréal Canadiens,National Hockey League,1,15,20,23,82,23,35,2.0,1.0,1.0,-4.0,1322:17,115.0,137.0,4.0,92:01,1078:49,37.04,17.39,0.0,2.0,151:27,55.0,1826.0
0,20182019,Montréal Canadiens,National Hockey League,1,16,15,17,56,17,31,0.0,3.0,2.0,16.0,815:44,94.0,114.0,1.0,60:18,677:56,34.29,15.96,1.0,3.0,77:30,36.0,1160.0
0,20192020,Montréal Canadiens,National Hockey League,1,6,4,4,29,4,10,0.0,0.0,1.0,5.0,415:28,29.0,42.0,0.0,04:53,357:43,16.67,13.8,0.0,1.0,52:52,18.0,610.0
0,20202021,Montréal Canadiens,National Hockey League,1,11,5,12,46,12,16,0.0,1.0,1.0,5.0,591:14,44.0,116.0,0.0,01:57,515:32,42.31,11.4,0.0,1.0,73:45,22.0,882.0
0,20212022,Montréal Canadiens,National Hockey League,1,3,4,2,27,2,7,0.0,2.0,0.0,-8.0,340:13,33.0,66.0,0.0,07:56,293:55,47.83,12.1,0.0,0.0,38:22,7.0,491.0
