,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,faceOffPct,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,Kiekko-Vantaa U16,Jr. C SM-sarja Q,10154218,3,0,12,11,12,0.0,3,,,,,,,,,,,,,,,,
0,20072008,K-Vantaa U18,Fin-U18,1,1,0,2,2,2,,1,0.0,,,,,,,,,,,,,,,
0,20082009,K-Vantaa U18,Fin-U18,1,4,3,14,10,14,,7,0.0,,,,,,,,,,,,,,,
0,20092010,K-Vantaa U18,Fin-U18,1,16,3,69,32,69,,19,0.0,,,,,,,,,,,,,,,
0,20092010,Finland,WJ18-A,5,1,1,6,6,6,,2,0.0,,,,,,,,,,,,,,,
0,20102011,Suomi U20,Finland-2,1,2,1,31,8,31,,3,,,,,,,,,,,,,,,,
0,20102011,Blues Jr.,Fin-Jr.,2,20,3,61,36,61,,23,,,,,,,,,,,,,,,,
0,20112012,Blues Jr.,Fin-Jr.,1,4,0,0,5,0,,4,,,,,,,,,,,,,,,,
0,20112012,Blues,Finland,2,7,5,30,41,30,,12,,,,,,,,,,,,,,,,
0,20112012,Finland,WJC-A,3,2,1,6,7,6,3.0,3,,1.0,1.0,0.0,,,,,,,,,,,,
0,20122013,Blues,Finland,1,3,2,34,34,34,,5,,,,,,,,,,,,,,,,
0,20122013,Peoria,AHL,2,3,1,6,14,6,0.0,4,,0.0,1.0,0.0,18.0,5.56,,,,,,,,,,
0,20132014,Chicago,AHL,1,4,4,33,54,33,20.0,8,,0.0,1.0,0.0,59.0,6.8,,,,,,,,,,
0,20142015,Chicago,AHL,1,7,1,47,64,47,0.0,8,,0.0,1.0,0.0,59.0,1.7,,,,,,,,,,
0,20142015,Quad City,ECHL,2,0,1,0,2,0,-1.0,1,,0.0,,0.0,7.0,14.3,,,,,,,,,,
0,20152016,Karpat,Finland,1,11,1,40,60,40,,12,,,,,,,,,,,,,,,,
0,20152016,Kärpät,Champions HL,542,2,3,10,13,10,4.0,5,,,,,,,,,,,,,,,,
0,20152016,Kärpät,Liiga,919,11,1,40,60,40,15.0,12,,,,,,,,,,,,,,,,
0,20162017,Kärpät,Champions HL,542,0,1,12,6,12,4.0,1,,,,,,,,,,,,,,,,
0,20162017,Kärpät,Liiga,919,5,0,61,53,61,-4.0,5,,,,,,,,,,,,,,,,
0,20172018,Kärpät,Liiga,919,18,6,44,58,44,28.0,24,,,,,,,,,,,,,,,,
0,20172018,Finland,EHT,68516,0,0,0,3,0,1.0,0,,,,,,,,,,,,,,,,
0,20182019,Kärpät,Champions HL,542,1,1,16,10,16,1.0,2,,,,,,,,,,,,,,,,
0,20182019,Kärpät,Liiga,919,12,11,94,52,94,29.0,23,,,,,,,,,,,,,,,,
0,20182019,Finland,WC,17055,1,1,4,10,4,4.0,2,,,,,,,,,,,,,,,,
0,20182019,Finland,EHT,68516,1,1,6,6,6,-2.0,2,,,,,,,,,,,,,,,,
0,20192020,Anaheim Ducks,National Hockey League,1,0,1,2,5,2,1.0,1,0.0,0.0,0.0,0.0,4.0,25.0,90:36,15.0,0.0,01:52,82:11,0.0,0.0,06:33,7.0,123.0
0,20192020,San Diego Gulls,AHL,85177,12,1,24,47,24,12.0,13,,,,,,,,,,,,,,,,
0,20202021,Anaheim Ducks,National Hockey League,1,1,0,31,42,31,0.0,1,0.0,0.0,0.0,0.0,41.0,0.0,781:57,168.0,0.0,00:46,689:40,0.0,0.0,91:31,65.0,1029.0
0,20202021,Carolina Hurricanes,National Hockey League,2,1,2,4,15,4,4.0,3,0.0,0.0,1.0,0.0,13.0,15.4,245:15,47.0,0.0,00:40,221:52,0.0,1.0,22:43,18.0,292.0
0,20212022,Dallas Stars,National Hockey League,1,8,4,43,80,43,1.0,12,0.0,0.0,0.0,0.0,68.0,5.9,1296:40,248.0,0.0,03:03,1112:05,0.0,1.0,181:32,112.0,1664.0
