,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games
0,20132014,San Jose Jr. Sharks 16U AAA,NAPHL 16U,107150,0.911,2.0,9
0,20142015,San Jose Jr. Sharks 18U AAA,NAPHL 18U,57371,0.916,2.39,15
0,20152016,Muskegon Lumberjacks,USHL,6276,0.873,4.28,19
0,20162017,Springfield Jr. Blues,NAHL,13404,0.909,3.05,10
0,20162017,Wenatchee Wild,BCHL,111754,0.887,2.45,14
0,20172018,Univ. of Denver,NCAA,20900,0.929,2.99,3
0,20182019,Univ. of Denver,NCAA,20900,0.934,1.85,20
0,20192020,Univ. of Denver,NCAA,20900,0.908,2.08,9
0,20202021,Chicago Wolves,AHL,957,0.895,3.0,2
0,20202021,Florida Everblades,ECHL,2565,0.911,2.95,22
0,20212022,Milwaukee Admirals,AHL,1017,0.898,3.06,24
0,20212022,Florida Everblades,ECHL,2565,0.954,1.36,3
