,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,York Simcoe,Minor-ON,1,47,67,65,71,65,114,,,,,,,,,,,,,,,,,
0,20082009,Villanova,OJHL,2,1,2,2,2,2,3,0.0,0.0,0.0,,,,,,,,,,,,,,
0,20092010,Brampton,OHL,1,13,6,34,63,34,19,1.0,2.0,0.0,-3.0,,,,,,,,,,,,,
0,20102011,Brampton,OHL,1,15,24,36,65,36,39,8.0,7.0,0.0,-4.0,,,,,,,,,,,,,
0,20112012,Brampton,OHL,1,26,26,58,60,58,52,7.0,4.0,1.0,14.0,,,,,,,,,,,,,
0,20122013,Brampton,OHL,1,14,38,59,62,59,52,17.0,7.0,4.0,-2.0,,,,,,,,,,,,,
0,20132014,North Bay,OHL,1,34,33,64,63,64,67,10.0,8.0,7.0,18.0,,,,,,,,,,,,,
0,20142015,San Jose Sharks,National Hockey League,1,8,4,35,60,35,12,0.0,2.0,0.0,-1.0,664:18,68.0,76.0,0.0,16:16,620:55,52.17,5.88,0.0,1.0,27:07,24.0,994.0
0,20142015,Worcester,AHL,2,4,2,11,7,11,6,0.0,0.0,0.0,-1.0,,14.0,,,,,,14.3,,,,,
0,20152016,San Jose Sharks,National Hockey League,1,3,0,16,14,16,3,0.0,0.0,0.0,1.0,143:47,7.0,8.0,0.0,00:28,130:10,66.67,0.0,0.0,1.0,13:09,4.0,222.0
0,20152016,San Jose,AHL,2,19,20,43,57,43,39,5.0,4.0,0.0,10.0,,161.0,,,,,,12.4,,,,,
0,20152016,San Jose Barracuda,AHL,187427,19,20,43,57,43,39,,,,10.0,,,,,,,,,,,,,
0,20162017,San Jose Sharks,National Hockey League,1,1,0,0,3,0,1,0.0,0.0,0.0,0.0,33:55,3.0,3.0,0.0,00:05,32:37,0.0,0.0,0.0,0.0,01:13,1.0,54.0
0,20162017,San Jose Barracuda,AHL,187427,20,25,55,61,55,45,,,,16.0,,,,,,,,,,,,,
0,20172018,San Jose Sharks,National Hockey League,1,7,7,28,47,28,14,0.0,1.0,1.0,1.0,511:33,57.0,68.0,0.0,08:01,462:54,58.78,12.28,0.0,1.0,40:38,30.0,792.0
0,20182019,San Jose Sharks,National Hockey League,1,10,7,76,82,76,17,0.0,3.0,1.0,4.0,902:44,84.0,125.0,0.0,03:54,780:43,53.72,8.33,0.0,1.0,118:07,68.0,1411.0
0,20192020,San Jose Sharks,National Hockey League,1,16,8,80,62,80,24,0.0,2.0,0.0,-8.0,1015:17,94.0,140.0,2.0,46:14,817:22,49.21,8.5,0.0,1.0,151:41,63.0,1422.0
0,20192020,Tampa Bay Lightning,National Hockey League,2,2,0,17,8,17,2,0.0,0.0,0.0,0.0,99:16,8.0,22.0,0.0,00:16,80:30,48.84,0.0,0.0,0.0,18:30,3.0,145.0
0,20202021,Tampa Bay Lightning,National Hockey League,1,14,6,52,55,52,20,0.0,1.0,0.0,16.0,831:38,72.0,111.0,0.0,02:37,695:32,50.0,8.3,0.0,0.0,133:29,27.0,1130.0
0,20212022,New York Rangers,National Hockey League,1,20,13,69,79,69,33,0.0,2.0,1.0,13.0,1320:16,116.0,130.0,0.0,47:03,1089:55,49.39,11.2,0.0,4.0,183:18,54.0,1627.0
