,season,team,league,sequenceNumber,timeOnIce,shutouts,ties,wins,losses,goalAgainstAverage,games,goalsAgainst,saves,savePercentage,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20032004,Interlake,MMHL,1,863:00,1,2.0,6,5,2.85,27,41,,,,,,,,,,,,,,
0,20042005,Interlake,MMHL,1,1646:00,4,2.0,19,6,2.11,37,3,55.0,0.948,58.0,,,,,,,,,,,
0,20052006,Red Deer,WHL,1,1709:00,0,3.0,7,18,2.81,34,80,811.0,0.91,891.0,,,,,,,,,,,
0,20062007,Red Deer,WHL,1,3339:00,3,7.0,26,23,2.66,60,148,1529.0,0.912,1677.0,,,,,,,,,,,
0,20072008,Red Deer,WHL,1,,1,0.0,8,15,2.73,30,76,826.0,0.92,902.0,,,,,,,,,,,
0,20082009,Toronto,AHL,1,183:00,0,0.0,1,2,3.28,3,10,85.0,0.88,75.0,,,,,,,,,,,
0,20082009,Reading,ECHL,2,1236:00,0,3.0,10,7,3.3,22,68,708.0,0.904,640.0,,,,,,,,,,,
0,20082009,South Carolina,ECHL,3,363:00,2,0.0,6,0,1.32,6,8,205.0,0.961,197.0,,,,,,,,,,,
0,20092010,Toronto,AHL,1,1520:00,1,2.0,14,8,2.25,26,57,700.0,0.925,757.0,,,,,,,,,,,
0,20102011,Toronto Maple Leafs,National Hockey League,1,2080:12,3,,20,10,2.595967,37,90,1044.0,0.920635,1134.0,5.0,136.0,35.0,873.0,39.0,936.0,159.0,35.0,85.53459119496856,89.74358974358975,93.26923076923077
0,20102011,Toronto,AHL,2,858:00,3,1.0,9,5,2.59,15,37,462.0,0.92,425.0,,,,,,,,,,,
0,20102011,Canada,WC-A,3,235:00,0,0.0,4,0,2.04,4,8,92.0,0.92,100.0,,,,,,,,,,,
0,20112012,Toronto Maple Leafs,National Hockey League,1,1879:15,3,,14,14,3.09698,34,97,877.0,0.900411,974.0,4.0,126.0,24.0,727.0,26.0,792.0,156.0,34.0,80.76923076923077,92.3076923076923,91.79292929292929
0,20122013,Toronto Maple Leafs,National Hockey League,1,1856:09,4,,19,8,2.456698,33,76,919.0,0.923618,995.0,5.0,103.0,24.0,792.0,26.0,857.0,112.0,31.0,91.96428571428571,92.3076923076923,92.41540256709452
0,20132014,Toronto Maple Leafs,National Hockey League,1,1784:39,1,,12,16,3.294764,36,98,997.0,0.910502,1095.0,1.0,138.0,25.0,834.0,27.0,904.0,164.0,32.0,84.14634146341463,92.5925925925926,92.2566371681416
0,20132014,Canada,WC-A,2,245:00,0,0.0,3,1,2.2,4,9,92.0,0.910891,101.0,,,,,,,,,,,
0,20142015,Toronto Maple Leafs,National Hockey League,1,1766:53,0,,9,16,3.158103,35,93,908.0,0.907093,1001.0,1.0,122.0,18.0,768.0,23.0,840.0,138.0,27.0,88.40579710144928,78.26086956521739,91.42857142857143
0,20152016,Toronto Maple Leafs,National Hockey League,1,1809:01,0,,11,12,2.487539,32,75,845.0,0.918478,920.0,7.0,98.0,18.0,729.0,20.0,780.0,120.0,29.0,81.66666666666667,90.0,93.46153846153847
0,20152016,San Jose Sharks,National Hockey League,2,481:26,3,,6,2,1.620162,8,13,195.0,0.9375,208.0,0.0,27.0,6.0,162.0,8.0,170.0,30.0,8.0,90.0,75.0,95.29411764705881
0,20162017,Florida Panthers,National Hockey League,1,2324:35,3,,18,16,2.529486,43,98,1124.0,0.919804,1222.0,5.0,145.0,17.0,962.0,21.0,1035.0,166.0,39.0,87.34939759036145,80.95238095238095,92.94685990338164
0,20172018,Florida Panthers,National Hockey League,1,2411:25,4,0.0,22,14,2.985797,44,120,1253.0,0.9126,1373.0,6.0,213.0,25.0,1015.0,27.0,1110.0,236.0,42.0,90.2542372881356,92.5925925925926,91.44144144144144
0,20182019,Florida Panthers,National Hockey League,1,1805:11,0,0.0,13,12,3.091099,36,93,836.0,0.899892,929.0,5.0,93.0,30.0,713.0,33.0,785.0,111.0,29.0,83.78378378378379,90.9090909090909,90.828025477707
0,20192020,Carolina Hurricanes,National Hockey League,1,1378:01,3,0.0,14,6,2.656,25,61,651.0,0.914,712.0,2.0,109.0,13.0,529.0,15.0,574.0,123.0,24.0,88.6178861788618,86.66666666666667,92.1602787456446
0,20202021,Carolina Hurricanes,National Hockey League,1,1331:06,0,0.0,15,5,2.6595,22,59,568.0,0.906,627.0,2.0,92.0,11.0,465.0,11.0,508.0,108.0,21.0,85.18518518518519,100.0,91.53543307086615
0,20212022,San Jose Sharks,National Hockey League,1,2672:41,1,0.0,19,17,2.89597,48,129,1321.0,0.911,1450.0,10.0,173.0,29.0,1119.0,33.0,1231.0,186.0,46.0,93.01075268817203,87.87878787878788,90.90170593013809
