,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,faceOffPct,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,Notre Dame Hounds Bantam AAA,SSMHL,128999,25,8,18,27,18,0.0,33,,,,,,,,,,,,,,,,
0,20062007,Notre Dame,SMHL,1,13,5,72,41,72,,18,0.0,,,,,,,,,,,,,,,
0,20062007,Kootenay,WHL,2,0,0,0,3,0,-1.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20072008,Kootenay,WHL,1,9,2,63,65,63,12.0,11,,0.0,,0.0,,,,,,,,,,,,
0,20082009,Kootenay,WHL,1,26,10,140,67,140,-4.0,36,,4.0,,2.0,,,,,,,,,,,,
0,20082009,Canada,WJ18-A,3,0,0,2,6,2,,0,0.0,,,,,,,,,,,,,,,
0,20092010,Kootenay,WHL,1,40,17,121,64,121,-5.0,57,,11.0,,0.0,,,,,,,,,,,,
0,20102011,Kootenay,WHL,1,51,21,95,59,95,25.0,72,,7.0,,0.0,,,,,,,,,,,,
0,20112012,Buffalo Sabres,National Hockey League,1,7,1,15,25,15,-1.0,8,0.0,1.0,0.0,0.0,445:58,23.0,49.0,1.0,11:48,400:57,4.35,0.0,0.0,33:13,30.0,587.0
0,20112012,Rochester,AHL,2,25,5,31,45,31,15.0,30,,1.0,1.0,0.0,,68.0,,,,,7.35,,,,,
0,20122013,Rochester,AHL,1,31,5,50,62,50,-1.0,36,,4.0,1.0,0.0,,111.0,,,,,4.5,,,,,
0,20132014,Buffalo Sabres,National Hockey League,1,0,0,6,12,6,1.0,0,0.0,0.0,0.0,0.0,206:44,10.0,25.0,0.0,23:12,171:42,0.0,0.0,0.0,11:50,12.0,266.0
0,20132014,Rochester,AHL,2,22,7,45,38,45,9.0,29,,4.0,1.0,0.0,,84.0,,,,,8.3,,,,,
0,20132014,Manchester,AHL,3,4,3,18,14,18,5.0,7,,1.0,0.0,1.0,,23.0,,,,,13.0,,,,,
0,20142015,Los Angeles Kings,National Hockey League,1,22,2,52,71,52,11.0,24,100.0,0.0,1.0,0.0,1128:50,74.0,175.0,5.0,76:07,1000:46,2.7,0.0,0.0,51:57,56.0,1543.0
0,20152016,Los Angeles Kings,National Hockey League,1,12,2,92,81,92,11.0,14,0.0,0.0,1.0,0.0,1524:01,91.0,206.0,1.0,23:52,1360:09,2.2,0.0,1.0,140:00,95.0,2111.0
0,20162017,Los Angeles Kings,National Hockey League,1,2,2,54,49,54,1.0,4,0.0,0.0,0.0,0.0,738:12,47.0,110.0,0.0,04:19,706:07,4.26,0.0,0.0,27:46,54.0,1056.0
0,20172018,Vegas Golden Knights,National Hockey League,1,10,5,52,76,52,26.0,15,0.0,0.0,1.0,0.0,1531:32,88.0,225.0,0.0,05:40,1319:21,5.68,0.0,0.0,206:31,176.0,1920.0
0,20182019,Vegas Golden Knights,National Hockey League,1,12,4,52,81,52,11.0,16,0.0,0.0,1.0,0.0,1577:46,84.0,200.0,0.0,04:07,1345:38,4.76,0.0,1.0,228:01,139.0,1927.0
0,20192020,Vegas Golden Knights,National Hockey League,1,7,2,40,71,40,1.0,9,0.0,0.0,0.0,1.0,1421:02,73.0,201.0,0.0,04:10,1197:22,2.7,0.0,1.0,219:30,133.0,1749.0
0,20202021,Vegas Golden Knights,National Hockey League,1,6,2,16,41,16,10.0,8,0.0,0.0,0.0,0.0,791:15,39.0,98.0,0.0,00:49,683:48,5.1,0.0,0.0,106:38,76.0,949.0
0,20212022,Vegas Golden Knights,National Hockey League,1,15,3,42,69,42,10.0,18,0.0,0.0,0.0,0.0,1359:18,85.0,154.0,0.0,01:26,1176:14,3.5,0.0,1.0,181:38,179.0,1637.0
