,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Compuware Bantam Minor AAA,T1EMBHL,167820,18,12,40,31,40,0.0,30,,,,,,,,,,,,,,,,
0,20082009,Compuware Bantam Major AAA,T1EBHL,143939,8,17,40,30,40,0.0,25,,,,,,,,,,,,,,,,
0,20092010,Det. Compuware,T1EHL,1,22,16,28,38,28,,38,,,,,,,,,,,,,,,,
0,20092010,Det. Compuware,Exhib.,2,4,1,8,6,8,,5,,,,,,,,,,,,,,,,
0,20102011,Dubuque,USHL,1,14,14,48,57,48,-14.0,28,4.0,3.0,0.0,,,,,,,,,,,,,
0,20112012,USNTDP,USHL,1,6,5,59,24,59,,11,,,,,,,,,,,,,,,,
0,20112012,USNTDP,U-18,2,9,16,26,36,26,,25,,,,,,,,,,,,,,,,
0,20112012,U.S.A.,WJ18-A,3,2,1,2,6,2,2.0,3,1.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,Miami U.,CCHA,1,24,15,22,40,22,,39,4.0,3.0,1.0,,,,,,,,,,,,,
0,20122013,U.S.A.,WJC-A,2,3,3,4,7,4,1.0,6,1.0,0.0,0.0,,,,,,,,,,,,,
0,20132014,Miami U.,NCHC,1,25,19,28,38,28,,44,6.0,4.0,4.0,,,,,,,,,,,,,
0,20132014,U.S.A.,WJC-A,2,2,4,0,5,0,1.0,6,2.0,0.0,1.0,20.0,,,,,,,,,,,,
0,20142015,Miami U.,NCHC,1,20,20,12,38,12,,40,6.0,2.0,2.0,,,,,,,,,,,,,
0,20152016,Hershey,AHL,1,29,26,34,74,34,4.0,55,7.0,1.0,0.0,163.0,16.0,,,,,,,,,,,
0,20152016,Hershey Bears,AHL,997,29,26,34,74,34,4.0,55,,,,,,,,,,,,,,,,
0,20162017,Washington Capitals,National Hockey League,1,0,0,0,3,0,0.0,0,0.0,0.0,0.0,2.0,0.0,25:44,1.0,0.0,00:00,25:44,0.0,0.0,0.0,00:00,0.0,37.0
0,20162017,Hershey Bears,AHL,997,14,13,12,39,12,4.0,27,,,,,,,,,,,,,,,,
0,20172018,Hershey Bears,AHL,997,18,20,49,60,49,-13.0,38,,,,,,,,,,,,,,,,
0,20182019,Hershey Bears,AHL,997,29,31,84,64,84,0.0,60,,,,,,,,,,,,,,,,
0,20192020,Montréal Canadiens,National Hockey League,1,0,0,2,9,2,-1.0,0,0.0,0.0,0.0,6.0,0.0,74:19,15.0,0.0,00:00,74:19,100.0,0.0,0.0,00:00,1.0,107.0
0,20192020,Wilkes-Barre/Scranton Penguins,AHL,1077,3,3,6,7,6,-5.0,6,,,,,,,,,,,,,,,,
0,20192020,Laval Rocket,AHL,222817,18,13,19,39,19,-12.0,31,,,,,,,,,,,,,,,,
0,20202021,Grand Rapids Griffins,AHL,987,14,20,22,32,22,1.0,34,,,,,,,,,,,,,,,,
0,20212022,Detroit Red Wings,National Hockey League,1,0,0,2,4,2,-2.0,0,0.0,0.0,0.0,4.0,0.0,33:46,3.0,0.0,03:49,29:57,0.0,0.0,0.0,00:00,1.0,44.0
0,20212022,Grand Rapids Griffins,AHL,987,25,28,24,49,24,-14.0,53,,,,,,,,,,,,,,,,
0,20212022,USA,WC,17215,0,1,2,9,2,2.0,1,,,,,,,,,,,,,,,,
