,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Malden Catholic High,USHS-Prep,62758,16,2,0,21,0,0.0,18,,,,,,,,,,,,,,,,
0,20122013,Malden Catholic High,USHS-Prep,62758,17,6,12,25,12,0.0,23,,,,,,,,,,,,,,,,
0,20132014,USNTDP,USHL,1,1,2,18,33,18,-10.0,3,42.0,0.0,4.8,0.0,1.0,,,,,,,,,,,
0,20132014,USNTDP,U-17,2,7,1,25,19,25,,8,,,,,,,,,,,,,,,,
0,20142015,USNTDP,USHL,1,5,3,53,22,53,16.0,8,22.0,0.0,13.6,0.0,0.0,,,,,,,,,,,
0,20142015,USNTDP,U-18,2,11,6,14,35,14,,17,,,,,,,,,,,,,,,,
0,20142015,U.S.A.,WJ18-A,3,3,1,4,7,4,12.0,4,8.0,0.0,12.5,0.0,0.0,,,,,,,,,,,
0,20152016,Boston College,H-East,1,23,4,46,39,46,27.0,27,51.0,3.0,7.8,0.0,0.0,,,,,,,,,,,
0,20152016,Boston College,NCAA,9670,23,4,46,39,46,27.0,27,,,,,,,,,,,,,,,,
0,20162017,Boston College,NCAA,9670,17,5,46,37,46,7.0,22,,,,,,,,,,,,,,,,
0,20162017,USA U20,WJC-20,17276,3,0,6,7,6,-1.0,3,,,,,,,,,,,,,,,,
0,20172018,Boston College,NCAA,9670,13,6,45,36,45,-2.0,19,,,,,,,,,,,,,,,,
0,20182019,Rochester Americans,AHL,1047,2,1,0,4,0,1.0,3,,,,,,,,,,,,,,,,
0,20182019,Boston College,NCAA,9670,12,2,26,39,26,-6.0,14,,,,,,,,,,,,,,,,
0,20192020,Rochester Americans,AHL,1047,6,2,30,25,30,3.0,8,,,,,,,,,,,,,,,,
0,20202021,Rochester Americans,AHL,1047,9,2,34,22,34,-10.0,11,,,,,,,,,,,,,,,,
0,20212022,Buffalo Sabres,National Hockey League,1,6,0,36,36,36,-19.0,6,41.0,0.0,0.0,0.0,0.0,607:30,86.0,0.0,01:51,564:53,0.0,0.0,0.0,40:46,35.0,848.0
0,20212022,Rochester Americans,AHL,1047,8,4,43,28,43,-1.0,12,,,,,,,,,,,,,,,,
