,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Sun County,Minor-ON,1,30,4,34,30,34,34,,,,,,,,,,,,,,,,,
0,20102011,Sun County,Exhib.,2,7,5,18,14,18,12,,,,,,,,,,,,,,,,,
0,20112012,Barrie,OHL,1,19,10,34,63,34,29,7.0,1.0,0.0,-5.0,,,,,,,,,,,,,
0,20122013,Barrie,OHL,1,27,7,64,54,64,34,4.0,1.0,1.0,29.0,,,,,,,,,,,,,
0,20132014,Barrie,OHL,1,30,23,91,58,91,53,16.0,4.0,1.0,9.0,,,,,,,,,,,,,
0,20142015,Florida Panthers,National Hockey League,1,27,12,32,81,32,39,6.0,4.0,0.0,12.0,1766:37,170.0,109.0,13.0,227:24,1504:41,0.0,7.06,0.0,0.0,34:32,80.0,1966.0
0,20142015,Canada,WC-A,2,3,4,6,10,6,7,0.0,1.0,0.0,10.0,,11.0,,,,,,,,,,,
0,20152016,Florida Panthers,National Hockey League,1,21,15,41,78,41,36,3.0,4.0,0.0,18.0,1690:49,182.0,87.0,9.0,221:15,1411:37,0.0,8.24,0.0,0.0,57:57,59.0,1878.0
0,20162017,Florida Panthers,National Hockey League,1,11,10,58,68,58,21,4.0,2.0,1.0,-23.0,1459:17,225.0,88.0,8.0,189:29,1214:38,0.0,4.44,1.0,1.0,55:10,62.0,1618.0
0,20162017,Team North America,WCup,176776,0,0,0,1,0,0,,,,0.0,,,,,,,,,,,,,
0,20172018,Florida Panthers,National Hockey League,1,22,16,71,82,71,38,5.0,4.0,0.0,9.0,1917:54,189.0,69.0,11.0,174:23,1559:42,0.0,8.47,1.0,0.0,183:49,121.0,2376.0
0,20172018,Canada,WC,17155,5,1,6,10,6,6,,,,5.0,,,,,,,,,,,,,
0,20182019,Florida Panthers,National Hockey League,1,24,13,47,82,47,37,5.0,1.0,0.0,1.0,1938:49,180.0,114.0,10.0,139:17,1610:48,0.0,7.22,1.0,0.0,188:44,88.0,2468.0
0,20192020,Florida Panthers,National Hockey League,1,36,5,26,67,26,41,0.0,1.0,0.0,12.0,1539:25,147.0,34.0,6.0,96:47,1306:29,0.0,3.4,1.0,1.0,136:09,84.0,1838.0
0,20202021,Florida Panthers,National Hockey League,1,11,11,33,35,33,22,6.0,3.0,0.0,5.0,878:11,101.0,24.0,11.0,135:50,654:16,0.0,10.9,1.0,0.0,88:05,27.0,1018.0
0,20212022,Florida Panthers,National Hockey League,1,42,15,26,61,26,57,3.0,2.0,0.0,38.0,1520:12,180.0,62.0,20.0,214:17,1135:14,0.0,8.3,2.0,3.0,170:41,69.0,1831.0
