,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,evenStrengthSavePercentage,shortHandedSavePercentage
0,20112012,SSAC Lions Bantam AAA,AMBHL,47158,0.91,2.59,18,,,,,,,,,,,,,,,,,,,
0,20122013,SSAC Lions Bantam AAA,AMBHL,47158,0.929,1.75,21,,,,,,,,,,,,,,,,,,,
0,20132014,Lethbridge Hurricanes,WHL,8951,0.866,5.17,4,,,,,,,,,,,,,,,,,,,
0,20132014,SSAC Athletics U18 AAA,AEHL U18,37761,0.916,2.74,20,,,,,,,,,,,,,,,,,,,
0,20142015,Lethbridge Hurricanes,WHL,8951,0.909,3.69,43,,,,,,,,,,,,,,,,,,,
0,20142015,Canada Black U17,WHC-17,163780,0.859,4.05,3,,,,,,,,,,,,,,,,,,,
0,20152016,Lethbridge Hurricanes,WHL,8951,0.92,2.73,44,,,,,,,,,,,,,,,,,,,
0,20152016,Canada U18,WJC-18,17193,0.86,2.82,3,,,,,,,,,,,,,,,,,,,
0,20162017,Lethbridge Hurricanes,WHL,8951,0.905,3.26,60,,,,,,,,,,,,,,,,,,,
0,20172018,Lethbridge Hurricanes,WHL,8951,0.897,3.38,31,,,,,,,,,,,,,,,,,,,
0,20172018,Swift Current Broncos,WHL,9491,0.914,2.68,25,,,,,,,,,,,,,,,,,,,
0,20182019,Bakersfield Condors,AHL,7257,0.879,2.99,6,,,,,,,,,,,,,,,,,,,
0,20182019,Wichita Thunder,ECHL,8565,0.903,3.16,41,,,,,,,,,,,,,,,,,,,
0,20192020,Bakersfield Condors,AHL,7257,0.892,3.31,41,,,,,,,,,,,,,,,,,,,
0,20192020,Wichita Thunder,ECHL,8565,0.894,3.62,3,,,,,,,,,,,,,,,,,,,
0,20202021,Edmonton Oilers,National Hockey League,1,0.868,5.0265,1,59:41,0.0,0.0,0.0,1.0,0.0,33.0,5.0,0.0,28.0,0.0,31.0,7.0,1.0,38.0,5.0,71.42857142857143,90.32258064516128,
0,20202021,Bakersfield Condors,AHL,7257,0.914,2.38,31,,,,,,,,,,,,,,,,,,,
0,20212022,Edmonton Oilers,National Hockey League,1,0.913,2.61527,13,734:09,0.0,1.0,0.0,6.0,6.0,335.0,46.0,6.0,283.0,7.0,308.0,52.0,12.0,367.0,32.0,88.46153846153845,91.88311688311688,85.71428571428571
0,20212022,Bakersfield Condors,AHL,7257,0.92,2.21,35,,,,,,,,,,,,,,,,,,,
