,season,team,league,sequenceNumber,assists,goals,games,points,pim,penaltyMinutes,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Hopkins,High-MN,1,25,26,26,51,,,,,,,,,,,,,,,,,,,
0,20092010,USNTDP,USHL,1,10,8,35,18,18.0,18,,,,,,,,,,,,,,,,,
0,20092010,USNTDP,U-17,2,4,2,17,6,4.0,4,,,,,,,,,,,,,,,,,
0,20092010,USNTDP,U-18,3,0,0,1,0,0.0,0,,,,,,,,,,,,,,,,,
0,20102011,USNTDP,USHL,1,13,5,24,18,10.0,10,0.0,0.0,0.0,2.0,,,,,,,,,,,,,
0,20102011,USNTDP,U-18,2,12,8,36,20,6.0,6,,,,,,,,,,,,,,,,,
0,20102011,U.S.A.,WJ18-A,3,4,2,6,6,2.0,2,0.0,0.0,1.0,5.0,,,,,,,,,,,,,
0,20112012,U. of Minnesota,WCHA,1,8,1,35,9,4.0,4,0.0,0.0,0.0,,,,,,,,,,,,,,
0,20122013,U. of Minnesota,WCHA,1,11,3,40,14,8.0,8,3.0,0.0,0.0,,,,,,,,,,,,,,
0,20132014,U. of Minnesota,Big Ten,1,23,9,41,32,18.0,18,5.0,0.0,0.0,,,,,,,,,,,,,,
0,20142015,U. of Minnesota,Big Ten,1,22,19,32,41,10.0,10,10.0,6.0,2.0,,,,,,,,,,,,,,
0,20142015,Hershey,AHL,2,1,1,2,2,0.0,0,1.0,0.0,0.0,-2.0,5.0,20.0,,,,,,,,,,,
0,20152016,Hershey,AHL,1,32,21,76,53,24.0,24,7.0,2.0,0.0,6.0,116.0,18.1,,,,,,,,,,,
0,20152016,Hershey Bears,AHL,997,32,21,76,53,24.0,24,,,,6.0,,,,,,,,,,,,,
0,20162017,Hershey Bears,AHL,997,47,16,76,63,16.0,16,,,,19.0,,,,,,,,,,,,,
0,20172018,Washington Capitals,National Hockey League,1,1,0,8,1,2.0,2,0.0,0.0,0.0,2.0,2.0,0.0,70:36,2.0,0.0,00:05,70:31,50.0,0.0,0.0,00:00,1.0,100.0
0,20172018,Hershey Bears,AHL,997,32,15,61,47,12.0,12,,,,-24.0,,,,,,,,,,,,,
0,20182019,Washington Capitals,National Hockey League,1,15,5,53,20,6.0,6,0.0,1.0,0.0,6.0,35.0,14.29,520:54,13.0,2.0,13:59,476:36,36.19,0.0,0.0,30:19,21.0,695.0
0,20182019,Hershey Bears,AHL,997,1,0,2,1,2.0,2,,,,-2.0,,,,,,,,,,,,,
0,20192020,Washington Capitals,National Hockey League,1,7,3,24,10,2.0,2,0.0,0.0,0.0,9.0,26.0,11.5,282:04,14.0,1.0,20:54,254:11,42.02,0.0,0.0,06:59,9.0,346.0
0,20192020,Hershey Bears,AHL,997,2,4,4,6,2.0,2,,,,1.0,,,,,,,,,,,,,
0,20202021,Toronto Maple Leafs,National Hockey League,1,5,3,20,8,2.0,2,1.0,0.0,0.0,1.0,15.0,20.0,193:12,9.0,1.0,16:48,175:32,24.0,0.0,0.0,00:52,9.0,267.0
0,20202021,Vancouver Canucks,National Hockey League,2,0,2,19,2,0.0,0,0.0,0.0,0.0,-6.0,8.0,25.0,225:10,9.0,0.0,21:22,202:54,51.11,0.0,0.0,00:54,6.0,347.0
0,20212022,Arizona Coyotes,National Hockey League,1,18,17,74,35,34.0,34,2.0,2.0,0.0,-10.0,88.0,19.3,1221:58,71.0,4.0,122:37,1052:37,45.31,1.0,0.0,46:44,55.0,1692.0
