,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20142015,Belarus U18,WJC-18 D1A,17058,2,4,0,5,0,2.0,6,,,,,,,,,,,,,,,,
0,20142015,RCOP Raubichi,Belarus2,122258,15,28,12,40,12,,43,,,,,,,,,,,,,,,,
0,20152016,Belarus U18,WJC-18 D1A,17775,0,2,0,5,0,1.0,2,,,,,,,,,,,,,,,,
0,20152016,Belarus U20,WJC-20,17796,0,1,0,6,0,-3.0,1,,,,,,,,,,,,,,,,
0,20152016,Dinamo-Raubichi,MHL,162742,6,6,12,30,12,-25.0,12,,,,,,,,,,,,,,,,
0,20162017,Belarus,WC,17735,1,2,0,7,0,1.0,3,,,,,,,,,,,,,,,,
0,20162017,Belarus U20,WJC-20 D1A,17797,2,0,2,5,2,1.0,2,,,,,,,,,,,,,,,,
0,20162017,Team Belarus U20,Belarus,230364,13,15,18,38,18,11.0,28,,,,,,,,,,,,,,,,
0,20172018,Dinamo Minsk,KHL,17224,8,4,12,47,12,-5.0,12,,,,,,,,,,,,,,,,
0,20172018,Belarus,WC,17735,1,0,6,7,6,-6.0,1,,,,,,,,,,,,,,,,
0,20172018,Belarus U20,WJC-20,17796,2,3,0,6,0,-3.0,5,,,,,,,,,,,,,,,,
0,20182019,Belarus,WC D1A,17737,0,1,0,5,0,-2.0,1,,,,,,,,,,,,,,,,
0,20182019,Binghamton Devils,AHL,233827,8,9,14,68,14,-17.0,17,,,,,,,,,,,,,,,,
0,20192020,Binghamton Devils,AHL,233827,15,10,4,57,4,13.0,25,,,,,,,,,,,,,,,,
0,20202021,New Jersey Devils,National Hockey League,1,14,16,4,54,4,-4.0,30,907:36,114.0,20.0,2.0,2.0,54:06,757:13,28.26,14.0,3.0,1.0,1.0,1.0,96:17,20.0,1200.0
0,20202021,Dinamo Minsk,KHL,17224,8,17,41,34,41,11.0,25,,,,,,,,,,,,,,,,
0,20202021,Belarus,WC,17735,1,2,4,7,4,-4.0,3,,,,,,,,,,,,,,,,
0,20212022,New Jersey Devils,National Hockey League,1,22,24,23,76,23,-14.0,46,1254:35,168.0,30.0,2.0,3.0,92:28,1084:07,40.45,14.3,3.0,0.0,2.0,2.0,78:00,26.0,1667.0
0,20212022,Belarus,OGQ,17485,0,3,2,3,2,2.0,3,,,,,,,,,,,,,,,,
