,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Vaughan,GTHL,1,17,16,19,41,19,33,,,,,,,,,,,,,,,,,
0,20092010,Villanova,OJAHL,1,31,16,44,56,44,47,2.0,2.0,0.0,,,,,,,,,,,,,,
0,20102011,Villanova,ON-Jr.A,1,39,24,25,49,25,63,8.0,5.0,1.0,,,,,,,,,,,,,,
0,20112012,U. of Michigan,CCHA,1,15,11,18,40,18,26,3.0,2.0,0.0,,,,,,,,,,,,,,
0,20122013,U. of Michigan,CCHA,1,19,9,32,40,32,28,1.0,1.0,0.0,,,,,,,,,,,,,,
0,20132014,U. of Michigan,Big Ten,1,11,13,29,35,29,24,4.0,3.0,0.0,,,,,,,,,,,,,,
0,20132014,Charlotte,AHL,2,1,0,6,3,6,1,0.0,0.0,0.0,6.0,0.0,0.0,,,,,,,,,,,
0,20142015,Charlotte,AHL,1,19,11,20,76,20,30,2.0,1.0,0.0,174.0,6.3,-10.0,,,,,,,,,,,
0,20152016,Carolina Hurricanes,National Hockey League,1,10,7,18,41,18,17,0.0,1.0,0.0,68.0,10.29,0.0,584:55,113.0,0.0,31:27,553:18,35.0,1.0,0.0,00:10,21.0,789.0
0,20152016,Charlotte Checkers,AHL,2357,10,8,12,25,12,18,,,,,,4.0,,,,,,,,,,,
0,20162017,Carolina Hurricanes,National Hockey League,1,6,1,15,36,15,7,0.0,1.0,0.0,68.0,1.47,-12.0,442:39,91.0,1.0,17:24,424:22,0.0,1.0,0.0,00:53,10.0,621.0
0,20162017,Charlotte Checkers,AHL,2357,16,12,22,40,22,28,,,,,,3.0,,,,,,,,,,,
0,20172018,Carolina Hurricanes,National Hockey League,1,8,5,17,49,17,13,0.0,1.0,0.0,64.0,7.81,0.0,514:36,88.0,0.0,06:09,508:10,0.0,0.0,0.0,00:17,14.0,734.0
0,20172018,Charlotte Checkers,AHL,2357,8,4,8,14,8,12,,,,,,1.0,,,,,,,,,,,
0,20182019,Carolina Hurricanes,National Hockey League,1,3,1,8,21,8,4,0.0,0.0,0.0,27.0,3.7,-2.0,208:11,49.0,0.0,09:13,198:04,60.0,0.0,0.0,00:54,6.0,287.0
0,20182019,Nashville Predators,National Hockey League,2,0,0,0,3,0,0,0.0,0.0,0.0,4.0,0.0,-1.0,35:04,5.0,0.0,00:00,35:04,0.0,0.0,0.0,00:00,3.0,52.0
0,20182019,Milwaukee Admirals,AHL,1017,7,5,6,24,6,12,,,,,,7.0,,,,,,,,,,,
0,20182019,Charlotte Checkers,AHL,2357,0,0,19,2,19,0,,,,,,-1.0,,,,,,,,,,,
0,20192020,New York Rangers,National Hockey League,1,3,1,2,20,2,4,0.0,0.0,0.0,35.0,2.9,1.0,225:46,38.0,0.0,00:20,223:59,0.0,0.0,0.0,01:27,20.0,315.0
0,20192020,Hartford Wolf Pack,AHL,847,12,14,39,43,39,26,,,,,,10.0,,,,,,,,,,,
0,20202021,New York Rangers,National Hockey League,1,7,1,13,31,13,8,0.0,0.0,0.0,44.0,2.3,2.0,343:53,78.0,0.0,03:43,334:37,42.86,0.0,0.0,05:33,16.0,482.0
0,20212022,Abbotsford Canucks,AHL,33767,24,12,37,42,37,36,,,,,,3.0,,,,,,,,,,,
