,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Gästrikland,TV-Pucken,10966,3,4,2,8,2,7,,,,,,,,,,,,,,,,,
0,20102011,Brynäs IF U16,U16 SM,43847,8,8,8,8,8,16,,,,,,,,,,,,,,,,,
0,20112012,Brynas U18,Swe-U18,1,14,12,8,30,8,26,,,,,,,,,,,,,,,,,
0,20122013,Brynas U18,Swe-U18,1,28,31,14,33,14,59,,,,,,,,,,,,,,,,,
0,20122013,Brynas Jr.,Swe-Jr.,2,0,1,0,3,0,1,,,,,,,,,,,,,,,,,
0,20132014,Brynas U18,Swe-U18,1,5,8,0,6,0,13,,,,,,,,,,,,,,,,,
0,20132014,Brynas,Sweden,2,0,0,0,4,0,0,,,,,,,,,,,,,,,,,
0,20132014,Brynas Jr.,Swe-Jr.,3,20,13,28,43,28,33,,,,,,,,,,,,,,,,,
0,20132014,Sweden,WJ18-A,4,3,3,2,7,2,6,23.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,
0,20142015,Brynas,Sweden,1,7,8,16,37,16,15,,,,,,,,,,,,,,,,,
0,20142015,Sweden,WJC-A,2,5,4,0,7,0,9,17.0,2.0,1.0,0.0,-1.0,,,,,,,,,,,,
0,20152016,Lehigh Valley,AHL,1,5,2,0,8,0,7,14.0,0.0,0.0,0.0,1.0,14.3,,,,,,,,,,,
0,20152016,Brynas,Sweden,2,17,8,14,48,14,25,,,,,,,,,,,,,,,,,
0,20152016,Sweden,WJC-A,3,3,3,0,7,0,6,21.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,
0,20152016,Brynäs IF,SHL,819,17,8,14,48,14,25,,,,,3.0,,,,,,,,,,,,
0,20152016,Sweden U20,WJC-20,8596,3,3,0,7,0,6,,,,,1.0,,,,,,,,,,,,
0,20152016,Lehigh Valley Phantoms,AHL,173347,5,2,0,8,0,7,,,,,1.0,,,,,,,,,,,,
0,20162017,Brynäs IF,SHL,819,25,22,18,52,18,47,,,,,16.0,,,,,,,,,,,,
0,20162017,Sweden,EHT,89816,0,1,0,3,0,1,,,,,3.0,,,,,,,,,,,,
0,20172018,Philadelphia Flyers,National Hockey League,1,4,2,8,23,8,6,36.0,0.0,1.0,0.0,4.0,5.56,335:28,27.0,1.0,34:08,301:20,0.0,0.0,0.0,00:00,13.0,452.0
0,20172018,Lehigh Valley Phantoms,AHL,173347,18,16,10,54,10,34,,,,,4.0,,,,,,,,,,,,
0,20182019,Philadelphia Flyers,National Hockey League,1,16,17,20,81,20,33,162.0,2.0,2.0,0.0,-9.0,10.49,1113:15,68.0,3.0,87:36,959:41,30.0,0.0,0.0,65:58,52.0,1532.0
0,20182019,Sweden,WC,6815,1,3,12,8,12,4,,,,,0.0,,,,,,,,,,,,
0,20182019,Sweden,EHT,89816,0,1,0,3,0,1,,,,,-3.0,,,,,,,,,,,,
0,20192020,Philadelphia Flyers,National Hockey League,1,7,11,4,30,4,18,72.0,3.0,0.0,0.0,4.0,15.3,528:15,31.0,4.0,67:30,416:39,40.63,0.0,0.0,44:06,16.0,763.0
0,20202021,Philadelphia Flyers,National Hockey League,1,6,8,9,50,9,14,58.0,0.0,1.0,0.0,-9.0,13.8,659:05,43.0,0.0,24:21,558:47,60.0,0.0,0.0,75:57,24.0,1013.0
0,20212022,Philadelphia Flyers,National Hockey League,1,14,12,22,79,22,26,127.0,0.0,1.0,0.0,-11.0,9.4,1090:16,83.0,1.0,45:09,981:30,36.36,0.0,0.0,63:37,48.0,1599.0
