,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games
0,20112012,Long Island Royals 13U AAA,AYHL 13U,183089,0.896,5.05,20
0,20142015,P.A.L. Junior Islanders 18U AAA,USPHL 18U,162938,1.0,0.0,1
0,20142015,P.A.L. Junior Islanders 16U AAA,USPHL 16U,162946,0.895,4.83,20
0,20152016,Long Island Gulls 18U AAA,AYHL 18U,203428,0.927,3.17,12
0,20162017,Amarillo Bulls,NAHL,72444,0.906,3.37,13
0,20162017,New Jersey Jr. Titans,NAHL,190304,0.903,3.21,15
0,20172018,Amarillo Bulls,NAHL,72444,0.896,3.27,3
0,20172018,P.A.L. Junior Islanders,NCDC,241975,0.917,3.07,23
0,20182019,Muskegon Lumberjacks,USHL,6276,0.915,2.44,52
0,20192020,Western Michigan Univ.,NCAA,13060,0.91,2.65,34
0,20202021,Western Michigan Univ.,NCAA,13060,0.889,2.84,4
0,20212022,Providence Bruins,AHL,897,0.92,2.54,5
0,20212022,Western Michigan Univ.,NCAA,13060,0.912,2.55,39
