,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,South St. Paul,High-MN,1,15,6,32,26,32,0.0,21,,,,,,,,,,,,,,,,
0,20082009,USNTDP,NAHL,1,9,3,20,38,20,,12,,,,,,,,,,,,,,,,
0,20082009,USNTDP,U-17,2,9,7,35,17,35,0.0,16,,,,,,,,,,,,,,,,
0,20082009,USNTDP,U-18,3,0,0,0,1,0,0.0,0,,,,,,,,,,,,,,,,
0,20092010,USNTDP,USHL,1,3,9,46,21,46,0.0,12,,,,,,,,,,,,,,,,
0,20092010,USNTDP,U-18,2,9,12,20,39,20,0.0,21,,,,,,,,,,,,,,,,
0,20092010,U.S.A.,WJ18-A,5,3,1,6,7,6,0.0,4,,,,,,,,,,,,,,,,
0,20102011,U. Minn-Duluth,WCHA,1,25,8,47,39,47,,33,6.0,2.0,0.0,,,,,,,,,,,,,
0,20102011,U.S.A.,WJC-A,2,3,1,0,6,0,,4,1.0,0.0,0.0,2.0,,,,,,,,,,,,
0,20112012,Carolina Hurricanes,National Hockey League,1,14,8,29,66,29,0.0,22,5.0,2.0,0.0,-16.0,1507:43,101.0,113.0,12.0,200:31,1187:17,7.92,1.0,0.0,119:55,85.0,1913.0
0,20112012,U.S.A.,WC-A,2,4,4,2,8,2,,8,1.0,1.0,0.0,9.0,,,,,,,,,,,,
0,20112012,Charlotte,AHL,3,4,2,11,12,11,,6,1.0,1.0,0.0,-3.0,,23.0,,,,,8.7,,,,,
0,20122013,Carolina Hurricanes,National Hockey League,1,10,5,15,38,15,0.0,15,1.0,0.0,1.0,1.0,912:18,76.0,63.0,3.0,100:33,698:22,6.58,0.0,1.0,113:23,47.0,1134.0
0,20122013,U.S.A.,WC-A,2,6,0,2,10,2,,6,0.0,0.0,0.0,1.0,,,,,,,,,,,,
0,20122013,Charlotte,AHL,3,19,5,16,31,16,,24,1.0,0.0,0.0,2.0,,77.0,,,,,6.49,,,,,
0,20132014,Carolina Hurricanes,National Hockey League,1,27,5,37,76,37,0.0,32,2.0,1.0,0.0,-9.0,1779:17,152.0,94.0,8.0,160:57,1433:59,3.29,0.0,1.0,184:21,102.0,2264.0
0,20132014,U.S.A.,Olympics,2,0,0,0,2,0,,0,0.0,0.0,0.0,-1.0,,0.0,,,,,,,,,,
0,20142015,Carolina Hurricanes,National Hockey League,1,34,15,30,82,30,0.0,49,7.0,4.0,2.0,-19.0,2002:56,238.0,157.0,20.0,222:32,1617:38,6.3,0.0,2.0,162:46,114.0,2501.0
0,20142015,U.S.A.,WC-A,2,3,0,4,10,4,,3,0.0,0.0,0.0,5.0,,15.0,,,,,,,,,,
0,20152016,Carolina Hurricanes,National Hockey League,1,21,16,27,64,27,0.0,37,12.0,4.0,0.0,-22.0,1538:51,184.0,109.0,17.0,205:26,1212:07,8.7,0.0,0.0,121:18,65.0,1826.0
0,20162017,Carolina Hurricanes,National Hockey League,1,20,17,32,75,32,0.0,37,4.0,2.0,0.0,-18.0,1735:33,225.0,117.0,13.0,204:17,1478:16,7.56,0.0,0.0,53:00,84.0,1987.0
0,20172018,Carolina Hurricanes,National Hockey League,1,23,8,48,76,48,0.0,31,3.0,3.0,0.0,-26.0,1692:21,211.0,128.0,19.0,222:56,1428:30,3.79,0.0,0.0,40:55,90.0,1987.0
0,20182019,Carolina Hurricanes,National Hockey League,1,24,11,47,82,47,0.0,35,6.0,3.0,0.0,9.0,1838:45,217.0,156.0,10.0,241:11,1456:11,5.07,0.0,0.0,141:23,121.0,2150.0
0,20192020,St. Louis Blues,National Hockey League,1,11,5,32,69,32,0.0,16,1.0,1.0,0.0,-3.0,1419:07,147.0,82.0,3.0,75:07,1268:33,3.4,0.0,1.0,75:27,76.0,1807.0
0,20202021,St. Louis Blues,National Hockey League,1,18,7,35,56,35,0.0,25,1.0,2.0,0.0,11.0,1358:32,117.0,127.0,5.0,49:02,1159:55,6.0,1.0,2.0,149:35,87.0,1700.0
0,20212022,St. Louis Blues,National Hockey League,1,31,16,43,76,43,0.0,47,1.0,6.0,0.0,41.0,1762:40,167.0,149.0,7.0,120:25,1508:02,9.6,1.0,0.0,134:13,101.0,2351.0
