,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,powerPlayGoals,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedGoals,shortHandedTimeOnIce,shifts,shots,hits,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,blocked
0,20022003,Thunder Bay Kings Mn Midget AAA,Midget,96861,23,4,46,49,46,0.0,27,,,,,,,,,,,,,,,,
0,20032004,Sudbury,OHL,1,13,1,34,61,34,-6.0,14,00:00,0.0,00:00,00:00,0.0,0.0,00:00,0.0,,,,,,,,
0,20042005,Sudbury,OHL,1,20,6,53,65,53,22.0,26,00:00,4.0,00:00,00:00,0.0,0.0,00:00,0.0,,,,,,,,
0,20052006,Sudbury,OHL,1,38,11,60,57,60,12.0,49,00:00,6.0,00:00,00:00,0.0,0.0,00:00,0.0,,,,,,,,
0,20052006,Canada,WJC-A,2,1,0,4,6,4,,1,00:00,,00:00,00:00,0.0,,00:00,0.0,,,,,,,,
0,20062007,Sudbury,OHL,1,29,5,68,53,68,7.0,34,,2.0,,,,0.0,,,,,,,,,,
0,20062007,Canada,WJC-A,3,0,0,4,6,4,,0,,,,,,,,,,,,,,,,
0,20072008,New York Rangers,National Hockey League,1,8,2,42,80,42,2.0,10,1504:05,0.0,27:59,1303:21,0.0,0.0,172:45,1956.0,78.0,124.0,0.0,2.56,0.0,0.0,1.0,62.0
0,20082009,New York Rangers,National Hockey League,1,12,3,64,82,64,-7.0,15,1732:41,0.0,43:16,1447:59,0.0,0.0,241:26,2252.0,96.0,189.0,1.0,3.13,1.0,0.0,1.0,75.0
0,20092010,New York Rangers,National Hockey League,1,19,8,44,82,44,11.0,27,1896:36,0.0,54:11,1553:12,0.0,0.0,289:13,2375.0,78.0,178.0,0.0,10.26,2.0,0.0,0.0,97.0
0,20092010,Canada,WC-A,5,1,0,2,7,2,,1,,,,,0.0,,,,,,,,,,,
0,20102011,New York Rangers,National Hockey League,1,22,7,50,77,50,8.0,29,1981:55,4.0,202:49,1537:27,0.0,2.0,241:39,2270.0,116.0,140.0,11.0,6.03,2.0,0.0,4.0,109.0
0,20112012,New York Rangers,National Hockey League,1,3,2,16,46,16,-7.0,5,915:02,1.0,22:11,813:12,0.0,0.0,79:39,1087.0,61.0,55.0,2.0,3.28,0.0,0.0,1.0,68.0
0,20122013,New York Rangers,National Hockey League,1,9,2,14,21,14,4.0,11,513:27,1.0,21:56,425:41,0.0,0.0,65:50,610.0,20.0,47.0,3.0,10.0,0.0,0.0,0.0,36.0
0,20132014,New York Rangers,National Hockey League,1,11,3,24,72,24,-1.0,14,1478:08,1.0,27:03,1306:00,100.0,0.0,145:05,1978.0,92.0,83.0,1.0,3.26,0.0,0.0,1.0,84.0
0,20142015,New York Rangers,National Hockey League,1,15,5,42,80,42,18.0,20,1690:59,0.0,09:31,1505:27,50.0,0.0,176:01,2283.0,97.0,99.0,0.0,5.15,0.0,0.0,2.0,123.0
0,20152016,New York Rangers,National Hockey League,1,13,2,36,77,36,2.0,15,1515:18,0.0,08:09,1331:46,25.0,0.0,175:23,2102.0,65.0,65.0,0.0,3.08,1.0,0.0,0.0,120.0
0,20162017,New York Rangers,National Hockey League,1,7,3,34,72,34,9.0,10,1380:42,0.0,03:26,1236:06,0.0,0.0,141:10,1907.0,70.0,89.0,0.0,4.29,0.0,0.0,1.0,97.0
0,20172018,New York Rangers,National Hockey League,1,7,1,18,72,18,11.0,8,1334:19,0.0,02:46,1128:11,0.0,0.0,203:22,1824.0,68.0,76.0,0.0,1.47,0.0,0.0,0.0,96.0
0,20182019,New York Rangers,National Hockey League,1,10,3,32,79,32,-9.0,13,1534:12,0.0,02:23,1303:27,0.0,0.0,228:22,2061.0,84.0,94.0,0.0,3.57,0.0,0.0,0.0,119.0
0,20192020,New York Rangers,National Hockey League,1,9,2,16,52,16,5.0,11,917:23,0.0,02:55,772:35,0.0,0.0,141:53,1187.0,46.0,69.0,0.0,4.3,0.0,0.0,0.0,76.0
0,20202021,Detroit Red Wings,National Hockey League,1,7,3,20,56,20,-5.0,10,1030:56,0.0,05:06,910:47,0.0,0.0,115:03,1318.0,53.0,58.0,0.0,5.7,0.0,0.0,0.0,45.0
0,20212022,Detroit Red Wings,National Hockey League,1,13,3,28,71,28,-1.0,16,1236:58,0.0,01:49,1077:24,0.0,0.0,157:45,1590.0,76.0,94.0,0.0,3.9,1.0,0.0,0.0,75.0
