,season,team,league,sequenceNumber,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,goalsAgainst,saves,savePercentage,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20082009,Pittsburgh Hornets 16U AAA,T1EHL 16U,104406,1.33,17,,,,,,,,,,,,,,,,,,,,
0,20092010,USNTDP,USHL,1,3.69,18,1023:00,0.0,0.0,7.0,9.0,63.0,,,,,,,,,,,,,,
0,20092010,USNTDP,U-17,2,2.87,6,335:00,0.0,1.0,3.0,1.0,16.0,,,,,,,,,,,,,,
0,20092010,USNTDP,U-18,3,2.0,2,120:00,0.0,0.0,2.0,0.0,4.0,,,,,,,,,,,,,,
0,20102011,USNTDP,USHL,1,2.38,17,983:00,1.0,3.0,9.0,4.0,39.0,488.0,0.926,527.0,,,,,,,,,,,
0,20102011,USNTDP,U-18,2,2.68,23,1255:00,0.0,0.0,15.0,7.0,56.0,,,,,,,,,,,,,,
0,20102011,U.S.A.,WJ18-A,3,2.34,6,359:00,0.0,0.0,6.0,0.0,14.0,,,,,,,,,,,,,,
0,20112012,Kitchener,OHL,1,2.75,32,1897:00,1.0,0.0,21.0,10.0,87.0,1127.0,0.928,1214.0,,,,,,,,,,,
0,20112012,U.S.A.,WJC-A,2,4.0,1,60:00,0.0,0.0,0.0,1.0,4.0,23.0,0.851852,27.0,,,,,,,,,,,
0,20122013,U.S.A.,WJC-A,1,1.36,7,398:00,1.0,0.0,5.0,2.0,9.0,193.0,0.955446,202.0,,,,,,,,,,,
0,20122013,U.S.A.,WC-A,2,1.56,5,308:00,1.0,,3.0,1.0,8.0,156.0,0.95122,164.0,,,,,,,,,,,
0,20122013,Norfolk,AHL,3,4.5,1,40:00,0.0,0.0,0.0,0.0,3.0,18.0,0.857,21.0,,,,,,,,,,,
0,20122013,Kitchener,OHL,4,2.41,27,1615:00,1.0,1.0,17.0,9.0,65.0,840.0,0.928,905.0,,,,,,,,,,,
0,20132014,Anaheim Ducks,National Hockey League,1,1.325113,3,181:07,1.0,,3.0,0.0,4.0,83.0,0.954023,87.0,0.0,18.0,1.0,64.0,1.0,68.0,18.0,3.0,100.0,100.0,94.11764705882352
0,20132014,Norfolk,AHL,2,2.34,45,2587:00,5.0,4.0,21.0,17.0,101.0,1141.0,0.919,1242.0,,,,,,,,,,,
0,20142015,Anaheim Ducks,National Hockey League,1,2.597176,23,1339:55,1.0,,13.0,8.0,58.0,616.0,0.913947,674.0,0.0,80.0,12.0,524.0,13.0,565.0,96.0,21.0,83.33333333333334,92.3076923076923,92.7433628318584
0,20142015,Norfolk,AHL,2,2.07,11,665:00,1.0,2.0,6.0,3.0,23.0,333.0,0.935,356.0,,,,,,,,,,,
0,20142015,Norfolk Admirals,AHL,1027,2.07,11,,,,,,,,0.935,,,,,,,,,,,,
0,20152016,Anaheim Ducks,National Hockey League,1,2.06566,40,2294:40,4.0,,21.0,13.0,79.0,913.0,0.920363,992.0,4.0,165.0,12.0,736.0,12.0,802.0,178.0,38.0,92.69662921348315,100.0,91.77057356608479
0,20152016,San Diego Gulls,AHL,85177,2.63,13,,,,,,,,0.917,,,,,,,,,,,,
0,20162017,Anaheim Ducks,National Hockey League,1,2.216686,52,2950:21,6.0,,25.0,16.0,109.0,1328.0,0.924148,1437.0,9.0,229.0,29.0,1070.0,32.0,1153.0,252.0,49.0,90.87301587301587,90.625,92.80138768430182
0,20162017,Team North America,WCup,176776,2.09,2,,,,,,,,0.932,,,,,,,,,,,,
0,20172018,Anaheim Ducks,National Hockey League,1,2.432563,60,3428:29,4.0,0.0,31.0,18.0,139.0,1733.0,0.925748,1872.0,7.0,274.0,45.0,1414.0,48.0,1525.0,299.0,60.0,91.63879598662207,93.75,92.72131147540983
0,20182019,Anaheim Ducks,National Hockey League,1,2.839439,58,3233:02,2.0,0.0,26.0,22.0,153.0,1685.0,0.916757,1838.0,8.0,285.0,43.0,1357.0,46.0,1470.0,322.0,57.0,88.50931677018633,93.47826086956522,92.31292517006803
0,20192020,Anaheim Ducks,National Hockey League,1,2.9987,51,2981:17,1.0,0.0,20.0,26.0,149.0,1403.0,0.904,1552.0,5.0,144.0,37.0,1222.0,40.0,1339.0,173.0,51.0,83.23699421965318,92.5,91.2621359223301
0,20202021,Anaheim Ducks,National Hockey League,1,2.9845,35,2030:30,3.0,0.0,9.0,19.0,101.0,941.0,0.903,1042.0,7.0,125.0,16.0,800.0,19.0,877.0,146.0,35.0,85.61643835616438,84.21052631578947,91.22006841505132
0,20212022,Anaheim Ducks,National Hockey League,1,3.18953,56,3235:35,1.0,0.0,18.0,26.0,172.0,1617.0,0.904,1789.0,11.0,227.0,44.0,1346.0,46.0,1489.0,254.0,56.0,89.37007874015748,95.65217391304348,90.39623908663532
