,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20042005,Coquitlam,BCHL,1,00:00,14,9,100,50,00:00,00:00,100,0.0,00:00,23,0.0,,,,,,,,,,,
0,20042005,Vancouver,WHL,2,00:00,0,0,2,1,00:00,00:00,2,0.0,00:00,0,0.0,0.0,0.0,0.0,,,,,,,,
0,20052006,Vancouver,WHL,1,00:00,10,9,149,62,00:00,00:00,149,0.0,00:00,19,0.0,3.0,0.0,4.0,,,,,,,,
0,20062007,Vancouver,WHL,1,,38,30,147,70,,,147,,,68,,13.0,0.0,32.0,6.0,,,,,,,
0,20072008,Boston Bruins,National Hockey League,1,933:03,19,8,89,77,79:42,851:13,89,50.0,02:08,27,1173.0,1.0,0.0,-2.0,4.0,88.0,181.0,3.0,9.09,0.0,0.0,28.0
0,20082009,Boston Bruins,National Hockey League,1,1075:58,25,17,136,72,119:51,953:57,136,60.0,02:10,42,1269.0,2.0,0.0,17.0,3.0,97.0,262.0,8.0,17.53,0.0,0.0,33.0
0,20092010,Boston Bruins,National Hockey League,1,717:44,11,9,44,50,36:43,679:16,44,21.43,01:45,20,871.0,0.0,0.0,-7.0,2.0,72.0,141.0,1.0,12.5,0.0,0.0,14.0
0,20102011,Boston Bruins,National Hockey League,1,1309:49,32,30,121,79,198:39,1109:07,121,38.89,02:03,62,1537.0,5.0,0.0,28.0,7.0,173.0,167.0,14.0,17.34,0.0,0.0,22.0
0,20112012,Boston Bruins,National Hockey League,1,1379:21,35,26,135,81,180:29,1196:48,135,46.67,02:04,61,1613.0,7.0,0.0,7.0,1.0,149.0,201.0,11.0,17.45,0.0,0.0,26.0
0,20122013,Boston Bruins,National Hockey League,1,777:57,20,7,75,46,91:01,685:25,75,48.57,01:31,27,912.0,0.0,0.0,8.0,0.0,79.0,139.0,2.0,8.86,0.0,0.0,16.0
0,20132014,Boston Bruins,National Hockey League,1,1390:03,35,24,91,80,187:53,1201:13,91,46.56,00:57,59,1602.0,3.0,0.0,30.0,5.0,153.0,240.0,12.0,15.69,1.0,0.0,22.0
0,20142015,Boston Bruins,National Hockey League,1,1324:58,26,18,81,81,148:01,1172:46,81,44.74,04:11,44,1648.0,2.0,0.0,13.0,4.0,141.0,259.0,8.0,12.77,0.0,0.0,23.0
0,20152016,Los Angeles Kings,National Hockey League,1,1396:12,35,20,79,81,172:38,1219:32,79,35.0,04:02,55,1715.0,2.0,0.0,26.0,5.0,124.0,244.0,8.0,16.13,0.0,0.0,22.0
0,20162017,Edmonton Oilers,National Hockey League,1,1407:15,27,23,50,82,223:57,1182:38,50,57.14,00:40,50,1769.0,12.0,0.0,-3.0,3.0,175.0,202.0,25.0,13.14,0.0,0.0,20.0
0,20172018,Edmonton Oilers,National Hockey League,1,1308:46,24,10,80,82,174:54,1132:33,80,55.77,01:19,34,1646.0,3.0,0.0,-12.0,1.0,147.0,254.0,7.0,6.8,0.0,0.0,25.0
0,20182019,Edmonton Oilers,National Hockey League,1,1045:38,14,6,91,79,106:07,939:31,91,55.56,00:00,20,1422.0,2.0,0.0,-9.0,0.0,74.0,259.0,4.0,8.11,0.0,0.0,22.0
0,20192020,Calgary Flames,National Hockey League,1,906:37,12,8,54,68,103:54,802:07,54,43.48,00:36,20,1193.0,5.0,0.0,-6.0,1.0,83.0,198.0,8.0,9.6,0.0,0.0,20.0
0,20202021,Calgary Flames,National Hockey League,1,763:11,13,10,46,56,83:19,678:29,46,27.27,01:23,23,1023.0,2.0,0.0,-8.0,0.0,74.0,139.0,2.0,13.5,0.0,0.0,12.0
0,20212022,Calgary Flames,National Hockey League,1,1005:02,11,10,84,82,92:26,911:57,84,55.88,00:39,21,1429.0,2.0,0.0,-9.0,0.0,95.0,209.0,3.0,10.5,0.0,0.0,22.0
