,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals
0,20122013,KOOVEE U16,Jr. C Mestis Q,10090799,2,0,0,1,0,0.0,2,,,,
0,20132014,Ilves U18,Fin-U18,1,4,4,0,11,0,,8,,,,
0,20142015,Ilves U18,Fin-U18,1,32,25,20,38,20,,57,,,,
0,20152016,Ilves Jr.,Fin-Jr.,1,17,9,14,40,14,,26,,,,
0,20152016,Finland,WJ18-A,2,0,0,2,7,2,-1.0,0,8.0,0.0,0.0,0.0
0,20152016,Finland U18,WJC-18,17093,0,0,2,7,2,-1.0,0,,,,
0,20152016,Ilves U20,U20 SM-sarja,25870,17,9,14,40,14,12.0,26,,,,
0,20152016,Finland U18,Hlinka Gretzky Cup,158280,0,1,0,5,0,3.0,1,,,,
0,20162017,Ilves U20,U20 SM-sarja,25870,31,23,18,38,18,28.0,54,,,,
0,20172018,Ilves,Liiga,889,12,2,8,45,8,-2.0,14,,,,
0,20172018,Providence Bruins,AHL,897,0,2,0,10,0,0.0,2,,,,
0,20172018,Finland U20,WJC-20,17116,1,3,0,5,0,2.0,4,,,,
0,20182019,Providence Bruins,AHL,897,0,2,6,45,6,-6.0,2,,,,
0,20182019,Atlanta Gladiators,ECHL,8735,1,0,4,7,4,0.0,1,,,,
0,20192020,Providence Bruins,AHL,897,9,9,14,43,14,7.0,18,,,,
0,20192020,Atlanta Gladiators,ECHL,8735,4,1,2,5,2,1.0,5,,,,
0,20202021,Ilves,Liiga,889,2,3,2,13,2,4.0,5,,,,
0,20202021,Providence Bruins,AHL,897,3,3,2,21,2,0.0,6,,,,
0,20202021,KOOVEE,Mestis,7327,11,6,10,10,10,4.0,17,,,,
0,20212022,Providence Bruins,AHL,897,19,11,20,62,20,21.0,30,,,,
