,season,team,league,sequenceNumber,timeOnIce,assists,goals,games,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,points,shifts,pim,penaltyMinutes,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20042005,St. Mary's Prep,High-MI,1,00:00,8,2,23,00:00,00:00,0.0,00:00,10,0.0,,,,,,,,,,,,,
0,20052006,Det. Caesers,MWEHL,1,00:00,21,7,33,00:00,00:00,0.0,00:00,28,0.0,24.0,24,,,,,,,,,,,
0,20052006,Des Moines,USHL,2,00:00,14,1,48,00:00,00:00,0.0,00:00,15,0.0,68.0,68,0.0,0.0,0.0,6.0,,,,,,,
0,20062007,Des Moines,USHL,1,,27,18,55,,,,,45,,71.0,71,15.0,2.0,0.0,0.0,,,,,,,
0,20072008,Michigan State,CCHA,1,,21,3,42,,,,,24,,28.0,28,,,,,,,,,,,
0,20082009,Michigan State,CCHA,1,,12,2,38,,,,,14,,32.0,32,,,,,,,,,,,
0,20092010,Michigan State,CCHA,1,,25,4,38,,,,,29,,26.0,26,,,,,,,,,,,
0,20092010,Springfield,AHL,2,,3,0,8,,,,,3,,2.0,2,0.0,0.0,0.0,-10.0,,,,,,,
0,20102011,Edmonton Oilers,National Hockey League,1,713:05,4,1,35,76:28,591:48,0.0,44:49,5,941.0,10.0,10,0.0,0.0,0.0,-12.0,41.0,48.0,3.0,2.44,0.0,0.0,49.0
0,20102011,Oklahoma City,AHL,2,,17,7,41,,,,,24,,18.0,18,2.0,1.0,1.0,-6.0,90.0,,,7.78,,,
0,20112012,Edmonton Oilers,National Hockey League,1,1588:31,23,2,73,93:26,1313:23,0.0,181:42,25,2052.0,26.0,26,1.0,0.0,0.0,-7.0,111.0,126.0,6.0,1.8,0.0,0.0,126.0
0,20112012,Oklahoma City,AHL,2,,1,0,2,,,,,1,,2.0,2,0.0,0.0,0.0,1.0,5.0,,,0.0,,,
0,20112012,U.S.A.,WC-A,3,,3,2,8,,,,,5,,4.0,4,0.0,0.0,0.0,4.0,,,,,,,
0,20122013,Edmonton Oilers,National Hockey League,1,1051:38,9,3,48,28:36,862:01,0.0,161:01,12,1306.0,29.0,29,0.0,0.0,1.0,1.0,66.0,112.0,0.0,4.55,0.0,1.0,86.0
0,20122013,U.S.A.,WC-A,2,,0,0,10,,,,,0,,4.0,4,0.0,0.0,0.0,-3.0,,,,,,,
0,20132014,Edmonton Oilers,National Hockey League,1,1726:47,10,7,80,67:23,1414:55,0.0,244:29,17,2088.0,42.0,42,1.0,0.0,0.0,-22.0,96.0,181.0,2.0,7.29,0.0,0.0,132.0
0,20132014,U.S.A.,WC-A,2,,4,0,7,,,,,4,,4.0,4,0.0,0.0,0.0,0.0,9.0,,,,,,
0,20142015,Edmonton Oilers,National Hockey League,1,1236:03,11,4,59,68:23,1073:48,0.0,93:52,15,1604.0,32.0,32,1.0,1.0,0.0,-25.0,103.0,101.0,4.0,3.88,0.0,1.0,77.0
0,20142015,Montréal Canadiens,National Hockey League,2,421:31,4,3,19,31:57,350:08,0.0,39:26,7,541.0,10.0,10,0.0,0.0,0.0,-3.0,23.0,44.0,0.0,13.04,0.0,0.0,32.0
0,20152016,Montréal Canadiens,National Hockey League,1,1089:10,11,5,51,91:33,877:29,100.0,120:08,16,1370.0,16.0,16,1.0,2.0,0.0,-6.0,98.0,86.0,5.0,5.1,0.0,3.0,73.0
0,20162017,Montréal Canadiens,National Hockey League,1,1769:12,20,8,80,141:16,1483:32,0.0,144:24,28,2177.0,22.0,22,2.0,1.0,0.0,3.0,172.0,171.0,7.0,4.65,0.0,0.0,145.0
0,20172018,Montréal Canadiens,National Hockey League,1,1926:35,30,12,82,228:19,1504:03,0.0,194:13,42,2356.0,28.0,28,6.0,2.0,0.0,-30.0,178.0,167.0,23.0,6.74,0.0,0.0,138.0
0,20182019,Montréal Canadiens,National Hockey League,1,1895:47,33,13,82,207:44,1516:00,0.0,172:03,46,2185.0,28.0,28,3.0,4.0,0.0,-5.0,172.0,190.0,11.0,7.56,2.0,1.0,123.0
0,20192020,Montréal Canadiens,National Hockey League,1,1678:52,29,11,71,170:41,1360:02,0.0,148:09,40,1825.0,26.0,26,3.0,3.0,1.0,-10.0,158.0,177.0,12.0,7.0,2.0,1.0,79.0
0,20202021,Montréal Canadiens,National Hockey League,1,1250:34,30,12,55,130:12,1014:38,0.0,105:44,42,1378.0,20.0,20,4.0,2.0,0.0,6.0,128.0,97.0,15.0,9.4,0.0,1.0,60.0
0,20212022,Montréal Canadiens,National Hockey League,1,1504:00,21,6,68,116:59,1229:01,0.0,158:00,27,1669.0,36.0,36,0.0,1.0,0.0,-11.0,124.0,140.0,3.0,4.8,0.0,1.0,117.0
