,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,St. Thomas Acad.,High-MN,1,20,14,0,25,0,34,,,,,,,,,,,,,,,,,
0,20122013,St. Thomas Acad.,High-MN,1,22,25,6,25,6,47,,,,,,,,,,,,,,,,,
0,20132014,Southeast,UMHSEL,1,22,11,8,19,8,33,,,,,,,,,,,,,,,,,
0,20132014,St. Thomas Acad.,High-MN,2,44,26,8,25,8,70,,,,,,,,,,,,,,,,,
0,20132014,USNTDP,USHL,3,0,0,0,2,0,0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
0,20142015,Waterloo,USHL,1,34,14,12,46,12,48,123.0,3.0,11.4,2.0,0.0,14.0,,,,,,,,,,,
0,20152016,U. of Minnesota,Big Ten,1,21,6,4,37,4,27,,2.0,,2.0,0.0,3.0,,,,,,,,,,,
0,20152016,Univ. of Minnesota,NCAA,8320,21,6,4,37,4,27,,,,,,3.0,,,,,,,,,,,
0,20162017,Univ. of Minnesota,NCAA,8320,9,5,10,20,10,14,,,,,,-1.0,,,,,,,,,,,
0,20172018,Univ. of Minnesota,NCAA,8320,23,3,8,34,8,26,,,,,,6.0,,,,,,,,,,,
0,20182019,Milwaukee Admirals,AHL,1017,1,0,0,3,0,1,,,,,,-1.0,,,,,,,,,,,
0,20182019,Univ. of Minnesota,NCAA,8320,17,4,4,38,4,21,,,,,,-14.0,,,,,,,,,,,
0,20192020,Milwaukee Admirals,AHL,1017,31,11,18,60,18,42,,,,,,20.0,,,,,,,,,,,
0,20202021,Chicago Wolves,AHL,957,24,8,4,27,4,32,,,,,,12.0,,,,,,,,,,,
0,20202021,Florida Everblades,ECHL,2565,2,1,0,3,0,3,,,,,,0.0,,,,,,,,,,,
0,20212022,Nashville Predators,National Hockey League,1,6,1,2,27,2,7,25.0,1.0,4.0,0.0,0.0,-4.0,318:26,4.0,4.0,47:03,271:16,43.97,0.0,0.0,00:07,6.0,406.0
0,20212022,Milwaukee Admirals,AHL,1017,27,7,16,42,16,34,,,,,,4.0,,,,,,,,,,,
