,season,team,league,sequenceNumber,timeOnIce,shutouts,ties,wins,losses,goalAgainstAverage,games,goalsAgainst,savePercentage,ot,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,shotsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20122013,Spartak Jr.,Russia-Jr.,1,886:00,2.0,4.0,9.0,1.0,2.1,15,31.0,,,,,,,,,,,,,,
0,20132014,Spartak Jr.,Russia-Jr.,1,1399:00,5.0,4.0,14.0,5.0,1.42,23,33.0,,,,,,,,,,,,,,
0,20132014,Spartak,KHL,2,428:00,1.0,0.0,1.0,5.0,2.8,9,20.0,,,,,,,,,,,,,,
0,20142015,St. Petersburg,KHL,1,231:00,0.0,0.0,3.0,0.0,2.33,6,9.0,,,,,,,,,,,,,,
0,20142015,SKA-Kareliya,Russia-2,2,488:00,1.0,0.0,3.0,3.0,1.72,8,14.0,,,,,,,,,,,,,,
0,20142015,St. Petersburg Jr.,Russia-Jr.,3,159:00,0.0,0.0,2.0,0.0,2.26,3,6.0,,,,,,,,,,,,,,
0,20142015,SKA St. Petersburg,KHL,2434,,,,,,2.33,6,,0.917,,,,,,,,,,,,,
0,20142015,Russia U20,WJC-20,17546,,,,,,1.98,5,,0.938,,,,,,,,,,,,,
0,20142015,SKA-Neva St. Petersburg,VHL,46357,,,,,,1.72,8,,0.943,,,,,,,,,,,,,
0,20142015,SKA-1946 St. Petersburg,MHL,49762,,,,,,2.26,3,,0.934,,,,,,,,,,,,,
0,20152016,St. Petersburg Jr.,Russia-Jr.,1,119:00,0.0,0.0,1.0,1.0,1.51,2,3.0,,,,,,,,,,,,,,
0,20152016,SKA-Neva,Russia-2,2,1513:00,6.0,0.0,16.0,6.0,1.19,25,30.0,,,,,,,,,,,,,,
0,20152016,St. Petersburg,KHL,3,419:00,1.0,0.0,5.0,2.0,2.58,7,18.0,,,,,,,,,,,,,,
0,20152016,SKA St. Petersburg,KHL,2434,,,,,,2.58,7,,0.912,,,,,,,,,,,,,
0,20152016,SKA-Neva St. Petersburg,VHL,46357,,,,,,1.19,25,,0.954,,,,,,,,,,,,,
0,20152016,SKA-1946 St. Petersburg,MHL,49762,,,,,,1.51,2,,0.946,,,,,,,,,,,,,
0,20162017,SKA St. Petersburg,KHL,2434,,,,,,1.64,39,,0.937,,,,,,,,,,,,,
0,20172018,SKA St. Petersburg,KHL,2434,,,,,,1.7,28,,0.933,,,,,,,,,,,,,
0,20172018,Russia,WC,17485,,,,,,1.46,4,,0.942,,,,,,,,,,,,,
0,20182019,SKA St. Petersburg,KHL,2434,,,,,,1.11,28,,0.953,,,,,,,,,,,,,
0,20192020,New York Rangers,National Hockey League,1,691:35,0.0,0.0,10.0,2.0,2.516,12,29.0,0.932,0.0,395.0,54.0,11.0,330.0,12.0,353.0,59.0,12.0,424.0,91.52542372881356,91.66666666666666,93.48441926345609
0,20192020,Hartford Wolf Pack,AHL,847,,,,,,1.9,25,,0.934,,,,,,,,,,,,,
0,20202021,New York Rangers,National Hockey League,1,1899:01,2.0,0.0,16.0,14.0,2.6224,35,83.0,0.916,3.0,904.0,120.0,24.0,760.0,24.0,821.0,142.0,31.0,987.0,84.50704225352112,100.0,92.5700365408039
0,20212022,New York Rangers,National Hockey League,1,3070:32,6.0,0.0,36.0,13.0,2.0713,53,106.0,0.935,4.0,1516.0,235.0,38.0,1243.0,38.0,1331.0,253.0,52.0,1622.0,92.88537549407114,100.0,93.38842975206612
