,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,shots,hits,powerPlayGoals,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,blocked,plusMinus
0,20012002,Dartmouth,NSMHL,1,00:00,98,95,114.0,74,00:00,00:00,114,0.0,00:00,193,0.0,,,,,,,,,,,
0,20022003,Shat.-St. Mary's,High-MN,1,00:00,90,72,,57,00:00,00:00,,0.0,00:00,162,0.0,,,,,,,,,,,
0,20032004,Rimouski,QMJHL,1,00:00,81,54,74.0,59,00:00,00:00,74,0.0,00:00,135,0.0,,,,,,,,,,,
0,20032004,Canada,WJC-A,2,00:00,3,2,4.0,6,00:00,00:00,4,0.0,00:00,5,0.0,,,,,,,,,,,
0,20042005,Rimouski,QMJHL,1,00:00,102,66,84.0,62,00:00,00:00,84,0.0,00:00,168,0.0,,,,,,,,,,,
0,20042005,Canada,WJC-A,2,00:00,3,6,4.0,6,00:00,00:00,4,0.0,00:00,9,0.0,,,,,,,,,,,
0,20042005,Rimouski,M-Cup,3,00:00,5,6,6.0,5,00:00,00:00,6,0.0,00:00,11,0.0,,,,,,,,,,,
0,20052006,Pittsburgh Penguins,National Hockey League,1,1630:16,63,39,110.0,81,459:15,1119:25,110,45.49,51:36,102,1957.0,278.0,66.0,16.0,47.0,14.03,5.0,3.0,0.0,2.0,43.0,-1.0
0,20052006,Canada,WC-A,5,00:00,8,8,10.0,9,00:00,00:00,10,0.0,00:00,16,0.0,,,,,,,,,,,
0,20062007,Pittsburgh Penguins,National Hockey League,1,1639:58,84,36,60.0,79,461:10,1159:27,60,49.76,19:21,120,1930.0,250.0,55.0,13.0,61.0,14.4,4.0,0.0,0.0,0.0,43.0,10.0
0,20072008,Pittsburgh Penguins,National Hockey League,1,1104:53,48,24,39.0,53,275:56,791:31,39,51.41,37:26,72,1294.0,173.0,50.0,6.0,27.0,13.87,4.0,0.0,0.0,1.0,40.0,18.0
0,20082009,Pittsburgh Penguins,National Hockey League,1,1689:33,70,33,76.0,77,413:51,1202:02,76,51.33,73:40,103,1834.0,238.0,80.0,7.0,40.0,13.87,3.0,1.0,0.0,1.0,42.0,3.0
0,20092010,Pittsburgh Penguins,National Hockey League,1,1778:19,58,51,71.0,81,405:35,1300:50,71,55.89,71:54,109,1900.0,298.0,63.0,13.0,34.0,17.11,6.0,1.0,2.0,3.0,43.0,15.0
0,20092010,Canada,Olympics,3,,3,4,4.0,7,,,4,0.0,,7,,,,,,,,,,,,
0,20102011,Pittsburgh Penguins,National Hockey League,1,898:37,34,32,31.0,41,222:28,656:48,31,55.66,19:21,66,930.0,161.0,31.0,10.0,19.0,19.88,3.0,0.0,1.0,1.0,23.0,20.0
0,20112012,Pittsburgh Penguins,National Hockey League,1,406:23,29,8,14.0,22,85:24,318:13,14,50.11,02:46,37,453.0,75.0,11.0,2.0,11.0,10.67,3.0,0.0,0.0,0.0,7.0,15.0
0,20122013,Pittsburgh Penguins,National Hockey League,1,759:45,41,15,16.0,36,157:05,577:39,16,54.32,25:01,56,820.0,124.0,21.0,3.0,17.0,12.1,1.0,0.0,0.0,0.0,18.0,26.0
0,20132014,Pittsburgh Penguins,National Hockey League,1,1757:47,68,36,46.0,80,343:02,1374:25,46,52.52,40:20,104,1917.0,259.0,47.0,11.0,38.0,13.9,5.0,1.0,0.0,0.0,28.0,18.0
0,20132014,Canada,Olympics,2,,2,1,0.0,6,,,0,,,3,,11.0,,0.0,,,0.0,,0.0,,,4.0
0,20142015,Pittsburgh Penguins,National Hockey League,1,1537:45,56,28,47.0,77,278:04,1231:26,47,49.91,28:15,84,1924.0,237.0,66.0,10.0,31.0,11.81,3.0,1.0,0.0,0.0,29.0,5.0
0,20142015,Canada,WC-A,2,,7,4,2.0,9,,,2,,,11,,22.0,,1.0,,,1.0,,0.0,,,1.0
0,20152016,Pittsburgh Penguins,National Hockey League,1,1637:33,49,36,42.0,80,296:16,1308:59,42,51.7,32:18,85,2114.0,248.0,90.0,10.0,24.0,14.52,9.0,2.0,0.0,0.0,35.0,19.0
0,20162017,Pittsburgh Penguins,National Hockey League,1,1490:50,45,44,24.0,75,269:45,1212:14,24,48.17,08:51,89,1852.0,255.0,80.0,14.0,25.0,17.25,5.0,1.0,0.0,0.0,27.0,17.0
0,20162017,Canada,WCup,17216,,7,3,0.0,6,,,0,,,10,,,,,,,,,,,,8.0
0,20172018,Pittsburgh Penguins,National Hockey League,1,1696:31,60,29,46.0,82,299:20,1376:05,46,53.02,21:06,89,2106.0,247.0,75.0,9.0,38.0,11.74,6.0,3.0,0.0,0.0,36.0,0.0
0,20182019,Pittsburgh Penguins,National Hockey League,1,1658:21,65,35,36.0,79,253:17,1360:17,36,55.42,44:47,100,2036.0,220.0,85.0,12.0,29.0,15.91,3.0,1.0,0.0,2.0,43.0,18.0
0,20192020,Pittsburgh Penguins,National Hockey League,1,831:00,31,16,15.0,41,157:53,661:20,15,55.63,11:47,47,1000.0,109.0,28.0,4.0,17.0,14.7,4.0,2.0,0.0,0.0,17.0,-8.0
0,20202021,Pittsburgh Penguins,National Hockey League,1,1121:54,38,24,26.0,55,166:34,946:58,26,53.57,08:22,62,1392.0,159.0,44.0,5.0,22.0,15.1,5.0,2.0,1.0,1.0,28.0,8.0
0,20212022,Pittsburgh Penguins,National Hockey League,1,1378:14,53,31,32.0,69,230:31,1140:14,32,52.41,07:29,84,1691.0,208.0,50.0,8.0,30.0,14.9,9.0,1.0,0.0,0.0,37.0,19.0
