,season,team,league,sequenceNumber,timeOnIce,shutouts,goalAgainstAverage,games,goalsAgainst,ties,wins,losses,saves,savePercentage,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20042005,Yaroslavl 2,Russia-3,1,369:00,1.0,2.43,8,15.0,,,,,,,,,,,,,,,,,
0,20042005,Russia,WJ18-A,4,,,,4,,,,,,,,,,,,,,,,,,
0,20052006,Yaroslavl 2,Russia-3,1,1782:00,8.0,2.02,33,60.0,,,,,,,,,,,,,,,,,
0,20062007,Yaroslavl 2,Russia-3,1,120:00,0.0,1.5,2,3.0,,,,,,,,,,,,,,,,,
0,20062007,Yaroslavl,Russia,2,1936:00,3.0,2.17,33,70.0,,,,,,,,,,,,,,,,,
0,20062007,Russia,WJC-A,3,358:00,2.0,1.51,6,9.0,0.0,5.0,1.0,127.0,0.933824,136.0,,,,,,,,,,,
0,20072008,Yaroslavl,Russia,1,,3.0,2.45,44,106.0,,,,,,,,,,,,,,,,,
0,20082009,Washington Capitals,National Hockey League,1,328:33,0.0,2.374068,6,13.0,,4.0,0.0,146.0,0.918239,159.0,1.0,28.0,5.0,113.0,5.0,123.0,31.0,5.0,90.32258064516128,100.0,91.869918699187
0,20082009,Hershey,AHL,2,1551:00,2.0,2.4,27,62.0,1.0,19.0,7.0,736.0,0.92,674.0,,,,,,,,,,,
0,20092010,Washington Capitals,National Hockey League,1,1527:26,2.0,2.553303,26,65.0,,15.0,4.0,653.0,0.909471,718.0,6.0,89.0,15.0,549.0,16.0,591.0,111.0,23.0,80.18018018018019,93.75,92.89340101522842
0,20092010,Hershey,AHL,2,185:00,0.0,1.95,3,6.0,0.0,3.0,0.0,84.0,0.933,90.0,,,,,,,,,,,
0,20092010,Russia,WC-A,4,298:00,1.0,1.41,5,7.0,0.0,4.0,1.0,135.0,0.950704,142.0,,,,,,,,,,,
0,20102011,Washington Capitals,National Hockey League,1,1560:03,2.0,2.230698,27,58.0,,11.0,9.0,701.0,0.923584,759.0,5.0,116.0,17.0,568.0,18.0,611.0,130.0,25.0,89.23076923076924,94.44444444444444,92.96235679214404
0,20102011,Hershey,AHL,2,179:00,0.0,3.36,3,10.0,0.0,2.0,1.0,69.0,0.855,59.0,,,,,,,,,,,
0,20112012,Colorado Avalanche,National Hockey League,1,3151:21,4.0,2.589366,53,136.0,,26.0,24.0,1428.0,0.913043,1564.0,3.0,193.0,24.0,1211.0,26.0,1312.0,226.0,52.0,85.39823008849558,92.3076923076923,92.30182926829268
0,20112012,Russia,WC-A,2,440:00,1.0,1.77,8,13.0,0.0,8.0,0.0,201.0,0.939252,214.0,,,,,,,,,,,
0,20122013,Colorado Avalanche,National Hockey League,1,1949:39,3.0,3.015926,35,98.0,,11.0,21.0,909.0,0.902681,1007.0,3.0,164.0,21.0,724.0,23.0,795.0,189.0,33.0,86.77248677248677,91.30434782608695,91.06918238993711
0,20122013,Russia,WC-A,2,201:00,0.0,3.59,4,12.0,0.0,2.0,1.0,86.0,0.877551,98.0,,,,,,,,,,,
0,20122013,Yaroslavl,KHL,3,929:00,3.0,1.74,16,27.0,0.0,8.0,4.0,,,,,,,,,,,,,,
0,20132014,Colorado Avalanche,National Hockey League,1,3639:46,2.0,2.406748,63,146.0,,41.0,14.0,1867.0,0.927471,2013.0,6.0,273.0,39.0,1555.0,40.0,1667.0,306.0,60.0,89.2156862745098,97.5,93.28134373125376
0,20132014,Russia,Olympics,2,152:00,,1.9856,3,5.0,,,,,,,,,,,,,,,,,
0,20142015,Colorado Avalanche,National Hockey League,1,3306:50,5.0,2.558339,57,141.0,,28.0,20.0,1650.0,0.921273,1791.0,8.0,244.0,35.0,1371.0,36.0,1496.0,259.0,57.0,94.20849420849422,97.22222222222221,91.64438502673798
0,20152016,Colorado Avalanche,National Hockey League,1,3159:25,2.0,2.810645,57,148.0,,27.0,25.0,1566.0,0.913652,1714.0,3.0,207.0,45.0,1314.0,49.0,1424.0,241.0,57.0,85.89211618257261,91.83673469387756,92.2752808988764
0,20162017,Colorado Avalanche,National Hockey League,1,1347:47,1.0,3.383333,24,76.0,,6.0,17.0,669.0,0.897987,745.0,0.0,109.0,21.0,539.0,21.0,596.0,128.0,23.0,85.15625,100.0,90.43624161073825
0,20172018,Colorado Avalanche,National Hockey League,1,2861:03,2.0,2.684329,51,128.0,0.0,24.0,16.0,1467.0,0.919749,1595.0,6.0,225.0,43.0,1199.0,48.0,1299.0,248.0,47.0,90.7258064516129,89.58333333333334,92.30177059276366
0,20182019,Colorado Avalanche,National Hockey League,1,2839:12,2.0,2.874049,49,136.0,0.0,20.0,19.0,1360.0,0.909091,1496.0,9.0,234.0,31.0,1095.0,33.0,1195.0,268.0,49.0,87.31343283582089,93.93939393939394,91.63179916317992
