,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,shortHandedGoals,gameWinningGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,Little Caesars Bantam Minor AAA,T1EMBHL,142440,30,30,36,31,36,0.0,60,,,,,,,,,,,,,,,,
0,20072008,Little Caesars Bantam Major AAA,T1EBHL,142479,31,25,18,30,18,0.0,56,,,,,,,,,,,,,,,,
0,20082009,Little Caesars,T1EHL,1,19,27,32,44,32,,46,,,,,,,,,,,,,,,,
0,20092010,Saginaw,OHL,1,28,15,56,68,56,5.0,43,5.0,0.0,,,,,,,,,,,,,,
0,20102011,Saginaw,OHL,1,36,26,60,68,60,14.0,62,8.0,5.0,,,,,,,,,,,,,,
0,20112012,Saginaw,OHL,1,56,29,65,65,65,15.0,85,9.0,4.0,,,,,,,,,,,,,,
0,20122013,U.S.A.,WJC-A,1,3,3,10,7,10,5.0,6,1.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,Saginaw,OHL,2,26,24,34,35,34,18.0,50,4.0,3.0,,,,,,,,,,,,,,
0,20122013,Plymouth,OHL,3,33,26,24,28,24,31.0,59,6.0,2.0,,,,,,,,,,,,,,
0,20132014,Florida Panthers,National Hockey League,1,3,5,6,20,6,-11.0,8,1.0,1.0,0.0,377:44,38.0,39.0,1.0,51:07,280:58,47.7,13.16,0.0,1.0,45:39,11.0,502.0
0,20132014,San Antonio,AHL,2,26,16,32,55,32,-5.0,42,4.0,1.0,3.0,,153.0,,,,,,10.5,,,,,
0,20132014,U.S.A.,WC-A,3,0,0,4,6,4,-1.0,0,0.0,0.0,0.0,,8.0,,,,,,,,,,,
0,20142015,Florida Panthers,National Hockey League,1,15,7,24,50,24,9.0,22,1.0,0.0,0.0,700:16,89.0,93.0,1.0,45:18,649:58,48.65,7.87,0.0,0.0,05:00,19.0,859.0
0,20142015,San Antonio,AHL,2,11,8,19,23,19,1.0,19,2.0,1.0,0.0,,54.0,,,,,,14.8,,,,,
0,20152016,Florida Panthers,National Hockey League,1,28,25,44,76,44,15.0,53,4.0,1.0,4.0,1350:32,174.0,125.0,13.0,203:43,1086:34,49.46,14.37,0.0,1.0,60:15,41.0,1618.0
0,20162017,Florida Panthers,National Hockey League,1,31,23,43,82,43,-13.0,54,2.0,0.0,2.0,1707:53,230.0,164.0,12.0,224:07,1326:26,50.18,10.0,1.0,1.0,157:20,51.0,2101.0
0,20162017,Team North America,WCup,176776,0,1,2,3,2,0.0,1,,,,,,,,,,,,,,,,
0,20172018,Florida Panthers,National Hockey League,1,44,31,54,82,54,-9.0,75,13.0,3.0,5.0,1751:52,287.0,145.0,27.0,285:13,1318:31,54.09,10.8,0.0,4.0,148:08,55.0,2168.0
0,20182019,Florida Panthers,National Hockey League,1,24,10,54,55,54,-9.0,34,3.0,1.0,1.0,1081:16,158.0,112.0,13.0,135:31,855:35,51.82,6.33,0.0,1.0,90:10,42.0,1366.0
0,20192020,Florida Panthers,National Hockey League,1,26,10,33,55,33,-3.0,36,0.0,1.0,1.0,927:28,129.0,83.0,5.0,107:40,796:02,52.33,7.8,0.0,1.0,23:46,33.0,1137.0
0,20192020,Carolina Hurricanes,National Hockey League,2,1,1,16,7,16,-5.0,2,1.0,0.0,1.0,109:31,12.0,18.0,2.0,14:41,86:27,51.2,8.3,1.0,0.0,08:23,4.0,149.0
0,20202021,Carolina Hurricanes,National Hockey League,1,26,17,20,47,20,-3.0,43,7.0,0.0,2.0,856:37,123.0,107.0,18.0,138:07,669:56,56.05,13.8,0.0,0.0,48:34,28.0,1041.0
0,20212022,Carolina Hurricanes,National Hockey League,1,30,21,78,81,78,21.0,51,6.0,0.0,3.0,1447:47,168.0,185.0,12.0,233:03,1071:36,54.62,12.5,0.0,0.0,143:08,46.0,1727.0
