,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20152016,Slovakia Selects U12,WSI U12,206776,4,1,0,6,0,5,
0,20172018,HK Poprad U16,Slovakia U16,184601,23,26,6,41,6,49,4.0
0,20182019,HK Poprad U20,Slovakia U20,33545,0,0,0,1,0,0,0.0
0,20182019,HK Poprad U18,Slovakia U18,35063,24,23,10,47,10,47,13.0
0,20182019,HK Poprad U16,Slovakia U16,184601,4,4,0,4,0,8,10.0
0,20192020,HK Poprad U20,Slovakia U20,33545,28,13,8,33,8,41,25.0
0,20202021,HK Poprad,Slovakia,2488,10,4,4,36,4,14,9.0
0,20202021,Slovakia U20,WJC-20,17376,0,0,0,2,0,0,-4.0
0,20212022,HK Poprad,Continental Cup,1803,0,0,0,3,0,0,-1.0
0,20212022,HK Poprad,Slovakia,2488,8,8,8,37,8,16,-4.0
0,20212022,Slovakia U18,Hlinka Gretzky Cup,158310,6,2,0,5,0,8,-2.0
