,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20022003,Grand Rapids,High-MN,1,00:00,20,14,22,28,00:00,00:00,22,0.0,00:00,34,0.0,,,,,,,,,,,
0,20032004,Grand Rapids,High-MN,1,00:00,31,25,16,26,00:00,00:00,16,0.0,00:00,56,0.0,,,,,,,,,,,
0,20032004,Sioux Falls,USHL,2,00:00,2,0,6,10,00:00,00:00,6,0.0,00:00,2,0.0,0.0,0.0,0.0,-5.0,,,,,,,
0,20042005,U. Of Minnesota,WCHA,1,00:00,15,5,44,33,00:00,00:00,44,0.0,00:00,20,0.0,,,,,,,,,,,
0,20042005,United States,WJC-A,2,00:00,1,0,2,7,00:00,00:00,2,0.0,00:00,1,0.0,,,,,,,,,,,
0,20052006,U. Of Minnesota,WCHA,1,00:00,28,11,63,41,00:00,00:00,63,0.0,00:00,39,0.0,,,,,,,,,,,
0,20062007,U. Of Minnesota,WCHA,1,,30,9,51,44,,,51,,,39,,,,,,,,,,,,
0,20072008,Pittsburgh Penguins,National Hockey League,1,41:49,2,0,2,3,07:30,33:51,2,0.0,00:28,2,57.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0
0,20072008,Wilkes-Barre,AHL,2,,28,10,53,70,,,53,,,38,,7.0,,0.0,15.0,,,,,,,
0,20082009,Pittsburgh Penguins,National Hockey League,1,823:52,14,6,16,45,180:04,640:02,16,0.0,03:46,20,919.0,4.0,0.0,0.0,5.0,61.0,30.0,8.0,9.84,0.0,0.0,49.0
0,20082009,Wilkes-Barre,AHL,2,,16,2,16,26,,,16,,,18,,1.0,0.0,0.0,-1.0,,,,,,,
0,20092010,Pittsburgh Penguins,National Hockey League,1,1478:16,29,8,22,69,260:38,1112:54,22,0.0,104:44,37,1656.0,2.0,0.0,0.0,7.0,98.0,50.0,17.0,8.16,0.0,0.0,93.0
0,20102011,Pittsburgh Penguins,National Hockey League,1,1245:56,22,9,28,60,233:33,940:39,28,0.0,71:44,31,1395.0,4.0,4.0,0.0,20.0,101.0,51.0,17.0,8.91,1.0,0.0,74.0
0,20102011,Dallas Stars,National Hockey League,2,599:37,10,5,12,23,99:10,461:09,12,0.0,39:18,15,657.0,3.0,0.0,0.0,0.0,61.0,24.0,7.0,8.2,0.0,0.0,32.0
0,20112012,Dallas Stars,National Hockey League,1,1616:46,21,9,16,71,223:45,1302:04,16,0.0,90:57,30,1869.0,2.0,1.0,0.0,0.0,140.0,49.0,9.0,6.43,0.0,1.0,93.0
0,20112012,U.S.A.,WC-A,2,,4,1,2,8,,,2,,,5,,0.0,0.0,0.0,7.0,,,,,,,
0,20122013,Dallas Stars,National Hockey League,1,1052:07,24,3,18,47,135:46,848:38,18,0.0,67:43,27,1273.0,0.0,0.0,0.0,4.0,80.0,56.0,11.0,3.75,0.0,1.0,66.0
0,20132014,Dallas Stars,National Hockey League,1,1969:23,36,6,28,81,267:57,1501:03,28,0.0,200:23,42,2282.0,3.0,0.0,0.0,9.0,141.0,94.0,15.0,4.26,0.0,0.0,154.0
0,20142015,Dallas Stars,National Hockey League,1,1928:43,32,4,24,81,169:27,1520:35,24,0.0,238:41,36,2487.0,0.0,0.0,0.0,0.0,122.0,100.0,8.0,3.28,0.0,2.0,157.0
0,20152016,Dallas Stars,National Hockey League,1,1954:22,32,5,34,82,160:33,1602:15,34,0.0,191:34,37,2416.0,1.0,1.0,0.0,21.0,127.0,100.0,5.0,3.94,0.0,1.0,159.0
0,20162017,Arizona Coyotes,National Hockey League,1,1913:00,30,6,28,82,178:26,1532:32,28,0.0,202:02,36,2356.0,1.0,0.0,1.0,-9.0,112.0,137.0,8.0,5.36,0.0,2.0,143.0
0,20172018,Arizona Coyotes,National Hockey League,1,1815:38,23,12,26,78,150:48,1515:06,26,0.0,149:44,35,2225.0,3.0,3.0,0.0,-31.0,119.0,114.0,11.0,10.08,1.0,0.0,154.0
0,20182019,Arizona Coyotes,National Hockey League,1,1582:05,24,3,16,76,140:20,1322:48,16,100.0,118:57,27,1878.0,1.0,0.0,0.0,-7.0,102.0,79.0,7.0,2.94,0.0,2.0,154.0
0,20192020,Arizona Coyotes,National Hockey League,1,1613:59,28,4,24,70,134:50,1313:51,24,0.0,165:18,32,1927.0,2.0,0.0,0.0,8.0,101.0,91.0,11.0,4.0,0.0,0.0,134.0
0,20202021,Arizona Coyotes,National Hockey League,1,1288:22,19,3,14,56,55:00,1068:51,14,0.0,164:31,22,1474.0,0.0,0.0,0.0,2.0,72.0,76.0,7.0,4.2,0.0,0.0,108.0
0,20212022,Minnesota Wild,National Hockey League,1,1363:04,28,2,34,72,85:43,1193:03,34,0.0,84:18,30,1605.0,0.0,0.0,0.0,41.0,80.0,56.0,4.0,2.5,0.0,0.0,96.0
