,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20122013,HC Olomouc U16,Czech U16,83697,5,3,0,31,0,-1.0,8,,,,,,,,,,,,,,,,
0,20132014,HC Olomouc U16,Czech U16,83697,8,4,8,28,8,5.0,12,,,,,,,,,,,,,,,,
0,20142015,HC Olomouc U18,Czech U18,40662,6,3,6,19,6,7.0,9,,,,,,,,,,,,,,,,
0,20142015,HC Olomouc U16,Czech U16,83697,18,11,16,32,16,11.0,29,,,,,,,,,,,,,,,,
0,20152016,HC Olomouc U18,Czechia U18,42484,7,3,4,12,4,10.0,10,,,,,,,,,,,,,,,,
0,20152016,HC Olomouc U20,Czechia U20,42497,11,1,10,22,10,-1.0,12,,,,,,,,,,,,,,,,
0,20152016,Czechia U17,WHC-17,61320,2,1,2,5,2,,3,,,,,,,,,,,,,,,,
0,20162017,HC Olomouc,Czechia,14376,5,1,14,36,14,-7.0,6,,,,,,,,,,,,,,,,
0,20162017,Czechia U18,WJC-18,17013,1,0,0,2,0,0.0,1,,,,,,,,,,,,,,,,
0,20162017,HC Olomouc U18,Czechia U18,42484,4,1,0,3,0,1.0,5,,,,,,,,,,,,,,,,
0,20162017,HC Olomouc U20,Czechia U20,42497,4,1,0,5,0,0.0,5,,,,,,,,,,,,,,,,
0,20162017,Czechia U18,Hlinka Gretzky Cup,158320,3,2,2,5,2,6.0,5,,,,,,,,,,,,,,,,
0,20172018,HC Olomouc,Czechia,14376,11,2,10,42,10,5.0,13,,,,,,,,,,,,,,,,
0,20172018,Czechia U20,WJC-20,17046,2,0,4,7,4,-3.0,2,,,,,,,,,,,,,,,,
0,20172018,Czechia,EHT,68526,0,0,0,2,0,-1.0,0,,,,,,,,,,,,,,,,
0,20182019,HC Olomouc,Czechia,14376,13,4,12,40,12,4.0,17,,,,,,,,,,,,,,,,
0,20182019,Czechia U20,WJC-20,17046,1,0,2,5,2,-2.0,1,,,,,,,,,,,,,,,,
0,20182019,Czechia,EHT,68526,0,0,0,1,0,0.0,0,,,,,,,,,,,,,,,,
0,20192020,Jukurit,Liiga,4659,13,2,20,43,20,-17.0,15,,,,,,,,,,,,,,,,
0,20192020,Jukurit U20,U20 SM-sarja,30790,0,0,0,2,0,0.0,0,,,,,,,,,,,,,,,,
0,20192020,Czechia,EHT,68526,0,0,2,3,2,-1.0,0,,,,,,,,,,,,,,,,
0,20202021,Jukurit,Liiga,4659,9,2,16,47,16,-19.0,11,,,,,,,,,,,,,,,,
0,20202021,Czechia,EHT,68526,1,1,0,3,0,1.0,2,,,,,,,,,,,,,,,,
0,20212022,Chicago Blackhawks,National Hockey League,1,0,0,0,6,0,0.0,0,108:57,8.0,2.0,0.0,0.0,09:28,90:54,0.0,0.0,0.0,0.0,0.0,0.0,08:35,9.0,136.0
0,20212022,Rockford IceHogs,AHL,8267,18,2,14,59,14,-1.0,20,,,,,,,,,,,,,,,,
