,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals
0,20122013,Malden Catholic High,USHS-Prep,62758,10,4,0.0,22,0,0.0,14,,,,,
0,20132014,Malden Catholic High,USHS-Prep,62758,5,7,0.0,15,0,0.0,12,,,,,
0,20142015,Malden Catholic High,USHS-Prep,63472,10,14,,21,,,24,,,,,
0,20142015,USA U18,Hlinka Gretzky Cup,140070,1,0,8.0,5,8,0.0,1,,,,,
0,20142015,Team Orange,USA-S17,177525,1,4,,5,,,5,,,,,
0,20152016,Cedar Rapids,USHL,1,17,19,99.0,56,99,5.0,36,115.0,4.0,16.5,3.0,2.0
0,20152016,Cedar Rapids RoughRiders,USHL,8756,17,19,99.0,56,99,5.0,36,,,,,
0,20162017,Northeastern Univ.,NCAA,15210,12,9,36.0,38,36,6.0,21,,,,,
0,20172018,Northeastern Univ.,NCAA,15210,8,5,31.0,31,31,10.0,13,,,,,
0,20182019,Northeastern Univ.,NCAA,15210,11,8,18.0,37,18,5.0,19,,,,,
0,20192020,Northeastern Univ.,NCAA,15210,13,9,24.0,30,24,4.0,22,,,,,
0,20202021,Providence Bruins,AHL,897,3,2,15.0,17,15,2.0,5,,,,,
0,20202021,Jacksonville Icemen,ECHL,41615,1,1,2.0,3,2,1.0,2,,,,,
0,20212022,Providence Bruins,AHL,897,10,7,52.0,59,52,2.0,17,,,,,
