,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20132014,Yellowhead Chiefs Bantam AAA,WBAAA,138449,6,3,16,32,16,9,
0,20142015,Yellowhead Chiefs Bantam AAA,WBAAA,138449,20,7,18,31,18,27,
0,20152016,Regina Pats,WHL,9641,0,0,0,1,0,0,1.0
0,20152016,Yellowhead Chiefs U18 AAA,MU18HL,24070,19,7,6,37,6,26,
0,20152016,Team Manitoba,WCCC-16,113423,0,0,0,5,0,0,
0,20162017,Red Deer Rebels,WHL,9631,2,0,4,24,4,2,-3.0
0,20162017,Regina Pats,WHL,9641,2,0,2,18,2,2,-2.0
0,20162017,Canada Red U17,WHC-17,163770,0,0,2,5,2,0,
0,20172018,Red Deer Rebels,WHL,9631,29,3,22,64,22,32,-16.0
0,20182019,Red Deer Rebels,WHL,9631,27,7,6,67,6,34,-8.0
0,20192020,Winnipeg Ice,WHL,9601,16,3,14,23,14,19,12.0
0,20192020,Red Deer Rebels,WHL,9631,16,7,26,39,26,23,-14.0
0,20202021,Texas Stars,AHL,45177,1,1,4,25,4,2,0.0
0,20212022,Idaho Steelheads,ECHL,7155,8,0,6,11,6,8,-1.0
0,20212022,Texas Stars,AHL,45177,2,1,10,30,10,3,-1.0
