,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games
0,20132014,Connecticut Jr. Rangers 16U AAA,USPHL 16U,163056,0.878,5.44,7
0,20142015,Connecticut Jr. Rangers 18U AAA,USPHL 18U,173538,0.91,4.03,14
0,20152016,Brunswick School,USHS-Prep,93912,0.952,1.28,8
0,20162017,Mid Fairfield Rangers 18U AAA,18U AAA,90108,0.936,,21
0,20162017,Brunswick School,USHS-Prep,93912,0.936,2.41,22
0,20172018,Fargo Force,USHL,12786,0.932,1.86,34
0,20182019,Univ. of Michigan,NCAA,8590,0.895,2.91,21
0,20192020,Univ. of Michigan,NCAA,8590,0.939,1.85,35
0,20202021,Univ. of Michigan,NCAA,8590,0.93,1.89,21
0,20212022,Skellefteå AIK,SHL,1019,0.914,2.19,22
0,20212022,USA,OG,16972,0.945,1.85,2
0,20212022,USA,WC,17215,0.888,2.42,4
