,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20172018,Dynamo Minsk Selects U15,WSI U15,260060,2,1,2,5,2,3,
0,20182019,Team Belarus U18,Belarus2,230188,2,0,2,5,2,2,-4.0
0,20182019,Team Belarus U17,Belarus Vysshaya,230197,15,10,28,40,28,25,
0,20182019,Belarus U17,EYOF,234827,0,0,2,3,2,0,-1.0
0,20192020,Team Belarus U18,Belarus2,230188,19,6,34,33,34,25,9.0
0,20192020,Team Belarus U20,Belarus2,230368,7,0,6,24,6,7,-3.0
0,20202021,Belarus U18,WJC-18,17773,4,1,4,5,4,5,3.0
0,20202021,Dinamo-Molodechno,Belarus,172564,9,3,30,46,30,12,-2.0
0,20212022,Belarus U20,WJC-20 D1A,17797,4,1,29,5,29,5,6.0
0,20212022,Flint Firebirds,OHL,187098,26,18,18,57,18,44,13.0
