,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games
0,20142015,Calgary Bisons U15 AAA,AEHL U15,62869,0.95,1.21,17
0,20152016,Calgary Bisons U15 AAA,AEHL U15,62869,0.948,1.22,19
0,20162017,Calgary Buffaloes U18 AAA,AEHL U18,37501,0.925,2.06,17
0,20172018,Prince George Cougars,WHL,9621,0.885,3.96,32
0,20172018,Canada White U17,WHC-17,163790,0.915,2.42,5
0,20182019,Prince George Cougars,WHL,9621,0.899,3.25,55
0,20182019,Canada U18,WJC-18,17193,0.914,3.02,4
0,20192020,Prince George Cougars,WHL,9621,0.917,2.93,50
0,20202021,Prince George Cougars,WHL,9621,0.915,2.74,15
0,20212022,Portland Winterhawks,WHL,8511,0.931,2.16,28
0,20212022,Prince George Cougars,WHL,9621,0.923,2.75,14
