,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20102011,Lloydminster Heat U15 AAA,AEHL U15,61919,19,10,14,33,14,29,
0,20112012,Lloydminster Rage U16 AAA,AEHL U16,92130,26,22,26,38,26,48,
0,20122013,Lloydminster Bobcats U18 AAA,AEHL U18,37771,18,7,26,32,26,25,
0,20132014,Bonnyville Pontiacs,AJHL,20772,11,11,22,54,22,22,
0,20142015,Bonnyville Pontiacs,AJHL,20772,18,21,40,51,40,39,
0,20152016,Bonnyville Pontiacs,AJHL,20772,32,36,40,47,40,68,
0,20152016,Canada West U19,WJAC-19,87372,2,3,2,4,2,5,
0,20162017,Colgate Univ.,NCAA,9690,14,5,12,35,12,19,-14.0
0,20172018,Colgate Univ.,NCAA,9690,16,14,20,40,20,30,3.0
0,20182019,Colgate Univ.,NCAA,9690,15,8,32,36,32,23,-15.0
0,20192020,Colgate Univ.,NCAA,9690,10,10,58,34,58,20,0.0
0,20202021,Wichita Thunder,ECHL,8565,11,6,2,18,2,17,15.0
0,20202021,Toronto Marlies,AHL,13377,2,2,6,21,6,4,-10.0
0,20212022,Toronto Marlies,AHL,13377,11,24,16,61,16,35,-2.0
0,20212022,Newfoundland Growlers,ECHL,258575,2,2,8,4,8,4,1.0
