,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Kent School,USHS-Prep,27858,20,18,0,26,0,0.0,38,,,,,,,,,,,,,,,,
0,20102011,Kent School,USHS-Prep,27858,21,31,0,27,0,0.0,52,,,,,,,,,,,,,,,,
0,20122013,Providence,H-East,1,5,6,26,33,26,-2.0,11,0.0,0.0,1.0,,,,,,,,,,,,,
0,20132014,Providence,H-East,1,11,11,20,39,20,3.0,22,2.0,2.0,3.0,,,,,,,,,,,,,
0,20142015,Providence,H-East,1,17,15,26,41,26,,32,4.0,2.0,1.0,,,,,,,,,,,,,
0,20152016,Boston Bruins,National Hockey League,1,1,0,8,19,8,-4.0,1,0.0,0.0,0.0,187:57,18.0,52.0,0.0,01:41,161:56,44.12,0.0,0.0,0.0,24:20,4.0,278.0
0,20152016,Providence,AHL,2,12,7,19,45,19,12.0,19,2.0,1.0,0.0,,88.0,,,,,,8.0,,,,,
0,20152016,Providence Bruins,AHL,897,12,7,19,45,19,12.0,19,,,,,,,,,,,,,,,,
0,20162017,Boston Bruins,National Hockey League,1,3,2,16,29,16,3.0,5,0.0,0.0,0.0,300:47,24.0,80.0,0.0,00:49,294:08,37.93,8.33,0.0,0.0,05:50,5.0,431.0
0,20162017,Providence Bruins,AHL,897,8,6,11,30,11,8.0,14,,,,,,,,,,,,,,,,
0,20172018,Boston Bruins,National Hockey League,1,1,10,9,60,9,-6.0,11,0.0,0.0,1.0,774:47,66.0,152.0,0.0,04:47,687:58,45.16,15.15,0.0,1.0,82:02,41.0,1038.0
0,20182019,Boston Bruins,National Hockey League,1,8,6,47,72,47,-3.0,14,0.0,2.0,0.0,934:59,99.0,221.0,0.0,03:05,819:12,49.63,6.06,0.0,0.0,112:42,36.0,1238.0
0,20192020,Florida Panthers,National Hockey League,1,7,20,21,66,21,2.0,27,0.0,5.0,1.0,1053:47,108.0,121.0,0.0,05:27,880:50,47.98,18.5,0.0,1.0,167:30,103.0,1429.0
0,20202021,Florida Panthers,National Hockey League,1,7,4,9,41,9,0.0,11,1.0,1.0,0.0,631:08,68.0,91.0,3.0,18:36,502:55,52.41,5.9,0.0,1.0,109:37,63.0,847.0
0,20212022,Florida Panthers,National Hockey League,1,5,3,11,20,11,2.0,8,0.0,1.0,0.0,239:40,32.0,48.0,0.0,03:15,212:36,50.6,9.4,0.0,0.0,23:49,16.0,325.0
0,20212022,Charlotte Checkers,AHL,2357,0,0,0,2,0,-2.0,0,,,,,,,,,,,,,,,,
