,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,faceOffPct,powerPlayGoals,shortHandedGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,Huron Perth Lakers Min Mdgt AAA,AHMMPL,70968,40,31,60.0,51,60,0.0,71,,,,,,,,,,,,,,,,
0,20062007,Tor. Jr. Canadiens,GTHL,1,43,31,,50,,,74,0.0,,,,,,,,,,,,,,,
0,20062007,Tor. Canadiens,OPJHL,2,0,1,0.0,1,0,,1,0.0,,,,,,,,,,,,,,,
0,20072008,Erie,OHL,1,33,19,14.0,61,14,-18.0,52,,6.0,3.0,,,,,,,,,,,,,
0,20082009,Erie,OHL,1,50,16,26.0,68,26,1.0,66,,5.0,4.0,,,,,,,,,,,,,
0,20082009,Canada,WJ18-A,3,3,2,0.0,6,0,,5,0.0,,,,,,,,,,,,,,,
0,20092010,Colorado Avalanche,National Hockey League,1,18,8,18.0,81,18,4.0,26,47.83,0.0,2.0,1358:04,135.0,37.0,0.0,47:36,1074:32,5.93,2.0,0.0,2.0,235:56,53.0,1862.0
0,20102011,Colorado Avalanche,National Hockey League,1,13,13,16.0,74,16,-7.0,26,51.8,2.0,1.0,1188:14,119.0,53.0,4.0,46:22,963:44,10.92,0.0,0.0,2.0,178:08,31.0,1614.0
0,20112012,Colorado Avalanche,National Hockey League,1,37,18,12.0,81,12,-1.0,55,52.81,4.0,0.0,1581:58,189.0,62.0,15.0,191:35,1295:36,9.52,3.0,2.0,0.0,94:47,50.0,2055.0
0,20112012,Canada,WC-A,2,2,2,4.0,7,4,3.0,4,,0.0,0.0,,,,,,,,0.0,,,,,
0,20122013,Colorado Avalanche,National Hockey League,1,14,6,4.0,29,4,-3.0,20,52.85,3.0,0.0,536:44,66.0,7.0,6.0,74:41,435:43,9.09,0.0,0.0,0.0,26:20,14.0,678.0
0,20122013,Canada,WC-A,2,2,1,0.0,8,0,4.0,3,,0.0,0.0,,,,,,,,0.0,,,,,
0,20122013,Magnitogorsk,KHL,3,5,5,2.0,12,2,,10,,,,,,,,,,,,,,,,
0,20132014,Colorado Avalanche,National Hockey League,1,36,28,2.0,80,2,-1.0,64,51.75,9.0,0.0,1585:38,201.0,22.0,22.0,213:19,1279:24,13.93,6.0,2.0,0.0,92:55,43.0,1941.0
0,20142015,Colorado Avalanche,National Hockey League,1,38,17,12.0,82,12,-5.0,55,53.45,2.0,1.0,1617:06,171.0,38.0,12.0,215:15,1254:04,9.94,1.0,1.0,2.0,147:47,48.0,2030.0
0,20142015,Canada,WC-A,2,9,2,0.0,10,0,10.0,11,,0.0,0.0,,23.0,,,,,,0.0,,,,,
0,20152016,Buffalo Sabres,National Hockey League,1,39,21,8.0,71,8,-16.0,60,56.51,8.0,1.0,1543:11,157.0,17.0,22.0,231:58,1162:44,13.38,2.0,1.0,1.0,148:29,43.0,1835.0
0,20152016,Canada,WC-A,2,6,2,2.0,10,2,9.0,8,,0.0,1.0,,18.0,,,,,,0.0,,,,,
0,20152016,Canada,WC,17155,6,2,2.0,10,2,9.0,8,,,,,,,,,,,,,,,,
0,20162017,Buffalo Sabres,National Hockey League,1,35,20,10.0,72,10,-1.0,55,58.01,8.0,1.0,1545:00,189.0,21.0,24.0,208:42,1168:39,10.58,3.0,0.0,2.0,167:39,45.0,1833.0
0,20162017,Canada,WC,17155,3,6,0.0,10,0,1.0,9,,,,,,,,,,,,,,,,
0,20162017,Canada,WCup,17216,0,0,0.0,6,0,-1.0,0,,,,,,,,,,,,,,,,
0,20172018,Buffalo Sabres,National Hockey League,1,37,24,2.0,81,2,-23.0,61,59.98,15.0,0.0,1686:10,230.0,42.0,23.0,291:35,1268:27,10.43,3.0,1.0,4.0,126:08,48.0,2134.0
0,20172018,Canada,WC,17155,0,4,2.0,10,2,5.0,4,,,,,,,,,,,,,,,,
0,20182019,St. Louis Blues,National Hockey League,1,49,28,12.0,82,12,22.0,77,56.86,6.0,1.0,1702:13,234.0,31.0,22.0,234:08,1304:28,11.97,5.0,2.0,3.0,163:37,36.0,2103.0
0,20192020,St. Louis Blues,National Hockey League,1,49,12,10.0,71,10,11.0,61,56.56,2.0,1.0,1460:45,118.0,16.0,18.0,205:23,1103:07,10.2,3.0,1.0,1.0,152:15,42.0,1737.0
0,20202021,St. Louis Blues,National Hockey League,1,30,24,18.0,56,18,26.0,54,58.78,4.0,2.0,1161:56,129.0,24.0,12.0,148:36,899:11,18.6,4.0,2.0,2.0,114:09,26.0,1392.0
0,20212022,St. Louis Blues,National Hockey League,1,37,21,12.0,78,12,11.0,58,56.78,9.0,0.0,1488:18,168.0,20.0,16.0,202:11,1140:54,12.5,0.0,0.0,1.0,145:13,38.0,1850.0
