,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,HC Kometa Brno U16,Czech U16,83447,0,0,0,1,0,0.0,0,,,,,,,,,,,,,,,,
0,20102011,Bili Tygri Liberec U16,Czech U16,83457,11,12,12,24,12,20.0,23,,,,,,,,,,,,,,,,
0,20112012,Liberec U18,CzR-U18,1,15,10,20,36,20,,25,,,,,,,,,,,,,,,,
0,20112012,Liberec Jr.,CzRep-Jr.,2,0,0,0,1,0,,0,,,,,,,,,,,,,,,,
0,20122013,Liberec U18,CzR-U18,1,7,6,4,6,4,,13,,,,,,,,,,,,,,,,
0,20122013,Benatky,CzRep-2,2,0,0,0,1,0,,0,,,,,,,,,,,,,,,,
0,20122013,Liberec Jr.,CzRep-Jr.,3,26,14,26,39,26,,40,,,,,,,,,,,,,,,,
0,20132014,Liberec Jr.,CzRep-Jr.,1,11,6,64,10,64,,17,,,,,,,,,,,,,,,,
0,20132014,Benatky,CzRep-2,2,5,4,6,12,6,,9,,,,,,,,,,,,,,,,
0,20132014,Liberec,CzRep,3,4,4,10,38,10,,8,,,,,,,,,,,,,,,,
0,20132014,Czech Republic,WJ18-A,4,2,3,4,7,4,2.0,5,15.0,0.0,2.0,0.0,,,,,,,,,,,,
0,20142015,Sarnia,OHL,1,18,16,56,37,56,5.0,34,,6.0,0.0,0.0,,,,,,,,,,,,
0,20152016,New Jersey Devils,National Hockey League,1,2,0,0,1,0,4.0,2,3.0,0.0,0.0,0.0,16:51,1.0,0.0,04:14,11:42,33.33,0.0,0.0,0.0,00:55,0.0,21.0
0,20152016,Czech Republic,WJC-A,6,1,0,0,3,0,-1.0,1,6.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20152016,Sarnia,OHL,7,36,28,97,51,97,17.0,64,163.0,10.0,4.0,2.0,,,,,,,17.2,,,,,
0,20152016,Albany,AHL,8,2,1,2,3,2,3.0,3,6.0,0.0,0.0,0.0,,,,,,,16.7,,,,,
0,20152016,Sarnia Sting,OHL,9498,36,28,97,51,97,17.0,64,,,,,,,,,,,,,,,,
0,20152016,Czechia U20,WJC-20,17046,1,0,0,3,0,-1.0,1,,,,,,,,,,,,,,,,
0,20152016,Albany Devils,AHL,70157,2,1,2,3,2,3.0,3,,,,,,,,,,,,,,,,
0,20162017,New Jersey Devils,National Hockey League,1,16,8,19,70,19,-17.0,24,83.0,5.0,2.0,0.0,1001:33,54.0,13.0,128:46,823:46,40.26,9.64,0.0,0.0,49:01,24.0,1299.0
0,20172018,New Jersey Devils,National Hockey League,1,17,8,30,69,30,-3.0,25,112.0,2.0,0.0,1.0,991:37,70.0,5.0,90:10,829:06,43.86,7.14,0.0,1.0,72:21,22.0,1298.0
0,20182019,New Jersey Devils,National Hockey League,1,12,13,15,61,15,-6.0,25,99.0,4.0,2.0,2.0,980:51,68.0,6.0,103:01,744:43,48.88,13.13,0.0,3.0,133:07,24.0,1224.0
0,20182019,Binghamton Devils,AHL,233827,5,0,2,4,2,2.0,5,,,,,,,,,,,,,,,,
0,20192020,New Jersey Devils,National Hockey League,1,24,8,14,65,14,-12.0,32,97.0,3.0,1.0,2.0,1057:23,62.0,8.0,106:40,818:37,43.27,8.2,0.0,4.0,132:06,19.0,1343.0
0,20202021,New Jersey Devils,National Hockey League,1,18,17,10,50,10,-11.0,35,103.0,5.0,4.0,0.0,857:45,42.0,11.0,133:37,657:20,51.49,16.5,2.0,0.0,66:48,10.0,1168.0
0,20212022,New Jersey Devils,National Hockey League,1,21,15,22,70,22,-21.0,36,148.0,4.0,1.0,0.0,1179:13,80.0,8.0,153:24,999:09,50.13,10.1,1.0,0.0,26:40,18.0,1548.0
