,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Team Newfoundland,CWG,94465,2,0,4,6,4,2,,,,,,,,,,,,,,,,,
0,20112012,St. John's Priv.,Minor-NF,1,20,18,45,23,45,38,,,,,,,,,,,,,,,,,
0,20122013,Cape Breton,QMJHL,1,14,8,33,58,33,22,96.0,1.0,8.3,1.0,0.0,-30.0,,,,,,,,,,,
0,20132014,Cape Breton,QMJHL,1,19,14,54,56,54,33,120.0,7.0,11.7,3.0,2.0,-8.0,,,,,,,,,,,
0,20132014,Canada,WJ18-A,4,1,0,2,7,2,1,4.0,0.0,,0.0,0.0,1.0,,,,,,,,,,,
0,20142015,Cape Breton,QMJHL,1,16,19,54,38,54,35,102.0,4.0,18.6,1.0,0.0,1.0,,,,,,,,,,,
0,20152016,Cape Breton,QMJHL,1,23,16,86,50,86,39,,2.0,,3.0,2.0,-3.0,,,,,,,,,,,
0,20152016,Cape Breton Eagles,QMJHL,9690,23,16,86,50,86,39,,,,,,-3.0,,,,,,,,,,,
0,20162017,Charlotte Checkers,AHL,2357,4,2,11,42,11,6,,,,,,-4.0,,,,,,,,,,,
0,20162017,Florida Everblades,ECHL,2565,8,3,16,21,16,11,,,,,,1.0,,,,,,,,,,,
0,20172018,Charlotte Checkers,AHL,2357,21,7,32,68,32,28,,,,,,13.0,,,,,,,,,,,
0,20182019,Carolina Hurricanes,National Hockey League,1,2,1,6,20,6,3,16.0,0.0,6.25,0.0,0.0,-3.0,189:08,39.0,0.0,02:56,182:07,46.94,0.0,0.0,04:05,5.0,269.0
0,20182019,Charlotte Checkers,AHL,2357,3,3,56,38,56,6,,,,,,-7.0,,,,,,,,,,,
0,20192020,Carolina Hurricanes,National Hockey League,1,1,0,4,5,4,1,4.0,0.0,0.0,0.0,0.0,-2.0,38:15,5.0,0.0,00:26,37:14,38.24,0.0,0.0,00:35,0.0,57.0
0,20192020,Charlotte Checkers,AHL,2357,13,6,63,53,63,19,,,,,,6.0,,,,,,,,,,,
0,20202021,Ottawa Senators,National Hockey League,1,3,0,4,13,4,3,16.0,0.0,0.0,0.0,0.0,2.0,123:08,23.0,0.0,00:16,118:29,50.7,0.0,0.0,04:23,8.0,193.0
0,20202021,Belleville Senators,AHL,227817,3,2,6,8,6,5,,,,,,1.0,,,,,,,,,,,
0,20212022,Ottawa Senators,National Hockey League,1,1,0,6,9,6,1,8.0,0.0,0.0,0.0,0.0,-3.0,75:05,12.0,0.0,00:04,72:45,50.0,0.0,0.0,02:16,3.0,111.0
0,20212022,Belleville Senators,AHL,227817,6,6,36,35,36,12,,,,,,-1.0,,,,,,,,,,,
