,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games
0,20162017,Cambridge Winter Hawks,GOJHL,31252,0.95,1.53,2
0,20162017,Cambridge Hawks U16 AAA,ALLIANCE U16,77174,0.916,2.41,17
0,20172018,Cambridge Redhawks,GOJHL,55362,0.899,3.46,35
0,20182019,Barrie Colts,OHL,9368,0.911,3.36,27
0,20192020,Barrie Colts,OHL,9368,0.888,3.99,33
0,20212022,Kalamazoo Wings,ECHL,8075,0.907,3.05,15
0,20212022,Cleveland Monsters,AHL,22447,0.905,2.84,29
