,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,Wind. Jr. Spitfires,Minor-ON,1,48,32,136,57,136,0.0,80,,,,,,,,,,,,,,,,
0,20062007,Leamington,OJHL-B,2,0,0,6,2,6,,0,0.0,0.0,0.0,,,,,,,,,,,,,
0,20072008,Peterborough,OHL,1,12,9,74,58,74,,21,1.0,,0.0,-1.0,,,,,,,,,,,,
0,20082009,Peterborough,OHL,1,39,24,136,61,136,,63,13.0,,1.0,-14.0,,,,,,,,,,,,
0,20082009,Canada,WJ18-A,3,3,2,0,6,0,0.0,5,,,,,,,,,,,,,,,,
0,20092010,Peterborough,OHL,1,19,8,58,33,58,,27,1.0,,1.0,-18.0,,,,,,,,,,,,
0,20092010,Windsor,OHL,2,0,4,23,5,23,,4,0.0,,0.0,1.0,,,,,,,,,,,,
0,20102011,Windsor,OHL,1,51,26,67,56,67,,77,6.0,,0.0,10.0,,,,,,,,,,,,
0,20102011,Canada,WJC-A,2,1,2,27,5,27,,3,0.0,0.0,0.0,1.0,,,,,,,,,,,,
0,20112012,Buffalo Sabres,National Hockey League,1,4,3,20,27,20,50.0,7,0.0,0.0,0.0,-1.0,322:07,36.0,39.0,1.0,23:21,298:39,8.33,0.0,0.0,00:07,1.0,409.0
0,20112012,Vancouver Canucks,National Hockey League,2,2,1,31,17,31,44.44,3,0.0,0.0,0.0,-1.0,174:51,18.0,40.0,0.0,00:07,174:44,5.56,0.0,0.0,00:00,1.0,249.0
0,20112012,Rochester,AHL,3,11,15,31,30,31,,26,2.0,1.0,1.0,4.0,,94.0,,,,,15.96,,,,,
0,20122013,Vancouver Canucks,National Hockey League,1,4,7,51,39,51,42.86,11,2.0,1.0,0.0,-7.0,525:44,49.0,70.0,3.0,57:25,468:19,14.29,0.0,0.0,00:00,4.0,714.0
0,20122013,Chicago,AHL,2,13,8,61,29,61,,21,2.0,0.0,0.0,-3.0,,78.0,,,,,10.26,,,,,
0,20132014,Vancouver Canucks,National Hockey League,1,15,14,124,73,124,28.57,29,1.0,2.0,0.0,-4.0,943:49,91.0,91.0,1.0,51:32,891:50,15.38,0.0,0.0,00:27,6.0,1254.0
0,20142015,Vancouver Canucks,National Hockey League,1,6,10,81,42,81,0.0,16,1.0,3.0,0.0,-5.0,529:58,55.0,88.0,1.0,27:27,501:47,18.18,0.0,0.0,00:44,2.0,714.0
0,20152016,Edmonton Oilers,National Hockey League,1,5,3,114,36,114,25.0,8,0.0,0.0,0.0,-7.0,448:16,42.0,95.0,0.0,08:24,433:20,7.14,0.0,0.0,06:32,6.0,599.0
0,20152016,Bakersfield,AHL,2,1,2,16,7,16,,3,0.0,1.0,0.0,0.0,,14.0,,,,,14.3,,,,,
0,20152016,Bakersfield Condors,AHL,7257,1,2,16,7,16,,3,,,,0.0,,,,,,,,,,,,
0,20162017,Edmonton Oilers,National Hockey League,1,17,7,101,79,101,36.36,24,0.0,0.0,0.0,4.0,971:55,110.0,201.0,0.0,07:23,877:32,6.36,0.0,0.0,87:00,16.0,1412.0
0,20172018,Edmonton Oilers,National Hockey League,1,12,7,92,74,92,20.83,19,0.0,0.0,0.0,-8.0,863:32,86.0,129.0,1.0,06:46,747:33,8.14,0.0,2.0,109:13,9.0,1182.0
0,20182019,Edmonton Oilers,National Hockey League,1,11,15,102,79,102,0.0,26,0.0,3.0,1.0,-6.0,1169:21,111.0,191.0,0.0,07:13,1063:53,13.51,0.0,1.0,98:15,15.0,1564.0
0,20192020,Edmonton Oilers,National Hockey League,1,19,15,69,59,69,33.33,34,0.0,1.0,0.0,0.0,924:04,99.0,157.0,0.0,24:17,898:31,15.2,0.0,0.0,01:16,8.0,1066.0
0,20202021,Edmonton Oilers,National Hockey League,1,3,2,15,27,15,0.0,5,0.0,0.0,0.0,-4.0,320:05,18.0,73.0,0.0,05:06,314:55,11.1,0.0,0.0,00:04,3.0,400.0
0,20212022,Edmonton Oilers,National Hockey League,1,13,6,63,58,63,42.86,19,2.0,1.0,0.0,2.0,683:30,58.0,154.0,2.0,17:16,664:08,10.3,0.0,0.0,02:06,6.0,889.0
