,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Academy of Holy Angels,USHS-MN,47162,24,2,12,25,12,37.0,26,,,,,,,,,,,,,,,,
0,20092010,Holy Angels,High-MN,1,29,4,19,24,19,,33,,,,,,,,,,,,,,,,
0,20102011,Shat.-St. Mary's,High-MN,1,34,14,30,54,30,,48,,,,,,,,,,,,,,,,
0,20112012,Penticton,BCHL,1,59,24,42,51,42,,83,14.0,4.0,1.0,,,,,,,,,,,,,
0,20122013,U. of Minnesota,WCHA,1,11,3,14,37,14,,14,1.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,U.S.A.,WJC-A,2,2,1,4,7,4,4.0,3,0.0,1.0,0.0,,,,,,,,,,,,,
0,20132014,U. of Minnesota,Big Ten,1,24,9,18,41,18,,33,3.0,2.0,0.0,,,,,,,,,,,,,
0,20142015,U. of Minnesota,Big Ten,1,36,6,44,39,44,,42,2.0,1.0,0.0,,,,,,,,,,,,,
0,20142015,U.S.A.,WC-A,2,1,0,0,10,0,3.0,1,0.0,0.0,0.0,10.0,,,,,,,,,,,,
0,20152016,Minnesota Wild,National Hockey League,1,6,1,8,29,8,-4.0,7,0.0,0.0,0.0,27.0,350:24,3.0,2.0,53:17,296:09,0.0,3.7,0.0,0.0,00:58,23.0,487.0
0,20152016,Iowa,AHL,2,18,5,10,45,10,-27.0,23,3.0,1.0,0.0,82.0,,,,,,,6.1,,,,,
0,20152016,Iowa Wild,AHL,149087,18,5,10,45,10,-27.0,23,,,,,,,,,,,,,,,,
0,20162017,Minnesota Wild,National Hockey League,1,0,1,2,17,2,1.0,1,0.0,0.0,0.0,19.0,210:29,2.0,0.0,20:28,189:38,0.0,5.26,0.0,0.0,00:23,8.0,270.0
0,20162017,Iowa Wild,AHL,149087,25,5,48,57,48,4.0,30,,,,,,,,,,,,,,,,
0,20172018,Minnesota Wild,National Hockey League,1,8,2,18,38,18,-6.0,10,0.0,0.0,0.0,36.0,469:13,24.0,4.0,61:29,405:50,0.0,5.56,0.0,0.0,01:54,18.0,615.0
0,20172018,Montréal Canadiens,National Hockey League,2,8,0,8,19,8,1.0,8,0.0,0.0,0.0,29.0,383:39,17.0,2.0,31:34,349:20,0.0,0.0,0.0,0.0,02:45,19.0,502.0
0,20172018,Iowa Wild,AHL,149087,0,1,2,1,2,-1.0,1,,,,,,,,,,,,,,,,
0,20182019,Montréal Canadiens,National Hockey League,1,8,3,16,57,16,0.0,11,1.0,1.0,0.0,101.0,1064:31,48.0,1.0,80:41,955:07,0.0,2.97,0.0,0.0,28:43,53.0,1329.0
0,20192020,Montréal Canadiens,National Hockey League,1,4,0,6,14,6,2.0,4,0.0,0.0,0.0,21.0,195:45,12.0,0.0,10:48,184:09,0.0,0.0,0.0,0.0,00:48,13.0,260.0
0,20192020,Ottawa Senators,National Hockey League,2,11,1,18,30,18,-8.0,12,1.0,1.0,0.0,64.0,597:08,27.0,9.0,60:55,522:29,0.0,1.6,0.0,1.0,13:44,33.0,777.0
0,20202021,Ottawa Senators,National Hockey League,1,19,0,18,40,18,-2.0,19,0.0,0.0,0.0,67.0,744:13,54.0,4.0,42:07,638:06,0.0,0.0,0.0,0.0,64:00,36.0,989.0
0,20202021,Boston Bruins,National Hockey League,2,8,0,4,15,4,7.0,8,0.0,0.0,0.0,31.0,316:02,16.0,0.0,20:43,272:37,0.0,0.0,0.0,0.0,22:42,7.0,406.0
0,20212022,Boston Bruins,National Hockey League,1,13,4,32,70,32,-1.0,17,0.0,0.0,1.0,135.0,1327:01,94.0,3.0,47:56,1224:34,0.0,3.0,0.0,1.0,54:31,54.0,1736.0
