,season,team,league,sequenceNumber,timeOnIce,assists,goals,games,faceOffPct,points,pim,penaltyMinutes,powerPlayTimeOnIce,evenTimeOnIce,shortHandedTimeOnIce,shifts,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20102011,New Jersey Devils,National Hockey League,1,258:09,3,3,13,36.36,6,6.0,6,45:13,201:16,11:40,302.0,0.0,1.0,0.0,-1.0,49.0,13.0,1.0,6.12,0.0,0.0,6.0
0,20112012,New Jersey Devils,National Hockey League,1,1761:47,38,31,82,47.62,69,32.0,32,282:36,1319:03,160:08,2117.0,7.0,3.0,3.0,-5.0,293.0,65.0,14.0,10.58,1.0,7.0,39.0
0,20122013,Minnesota Wild,National Hockey League,1,992:00,20,18,48,33.33,38,16.0,16,164:39,757:32,69:49,1258.0,7.0,4.0,0.0,2.0,182.0,59.0,13.0,9.89,1.0,0.0,41.0
0,20132014,Minnesota Wild,National Hockey League,1,1368:33,27,29,67,41.67,56,30.0,30,223:32,1075:38,69:23,1674.0,14.0,5.0,1.0,10.0,245.0,70.0,20.0,11.84,0.0,1.0,45.0
0,20132014,U.S.A.,Olympics,2,,0,1,6,,1,0.0,0,,,,,1.0,0.0,0.0,-1.0,11.0,,,,,,
0,20142015,Minnesota Wild,National Hockey League,1,1419:57,29,33,74,16.67,62,41.0,41,243:59,1146:11,29:47,1668.0,11.0,3.0,0.0,21.0,259.0,86.0,16.0,12.74,0.0,0.0,56.0
0,20152016,Minnesota Wild,National Hockey League,1,1350:26,28,25,70,0.0,53,36.0,36,237:54,1092:54,19:38,1628.0,7.0,7.0,0.0,-3.0,234.0,71.0,18.0,10.68,0.0,0.0,42.0
0,20162017,Minnesota Wild,National Hockey League,1,1202:36,23,19,69,61.54,42,30.0,30,157:33,973:07,71:56,1541.0,6.0,4.0,0.0,-3.0,194.0,46.0,12.0,9.79,0.0,0.0,69.0
0,20162017,USA,WCup,17286,,1,0,3,,1,4.0,4,,,,,,,,-2.0,,,,,,,
0,20172018,Minnesota Wild,National Hockey League,1,717:29,9,15,42,41.67,24,14.0,14,101:04,587:34,28:51,877.0,2.0,4.0,0.0,0.0,119.0,26.0,3.0,12.61,0.0,0.0,37.0
0,20172018,Iowa Wild,AHL,149087,,1,0,1,,1,0.0,0,,,,,,,,0.0,,,,,,,
0,20182019,Minnesota Wild,National Hockey League,1,1381:27,33,28,74,26.47,61,26.0,26,214:41,1080:20,86:26,1665.0,10.0,5.0,0.0,-2.0,229.0,49.0,16.0,12.23,0.0,2.0,71.0
0,20192020,Minnesota Wild,National Hockey League,1,1186:35,21,25,69,53.25,46,8.0,8,190:33,933:47,62:15,1440.0,12.0,4.0,1.0,-11.0,155.0,27.0,18.0,16.1,0.0,1.0,38.0
0,20202021,Minnesota Wild,National Hockey League,1,627:36,11,7,45,41.46,18,6.0,6,69:12,534:33,23:51,754.0,0.0,3.0,0.0,7.0,90.0,18.0,2.0,7.8,0.0,0.0,20.0
0,20212022,New York Islanders,National Hockey League,1,1253:18,20,15,82,37.33,35,28.0,28,130:20,999:09,123:49,1720.0,2.0,4.0,2.0,-2.0,138.0,60.0,7.0,10.9,0.0,2.0,57.0
