,season,team,league,sequenceNumber,assists,goals,games,points,pim,powerPlayGoals,penaltyMinutes,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20042005,Cushing Academy,USHS-Prep,26608,18,5,34,23,,,,,,,,,,,,,,,,,,,
0,20052006,Cushing,High-MA,1,34,9,29,43,,,,,,,,,,,,,,,,,,,
0,20062007,Sioux Falls,USHL,1,19,14,57,33,134.0,7.0,134,4.0,0.0,6.0,,,,,,,,,,,,,
0,20072008,North Dakota,WCHA,1,2,1,34,3,44.0,,44,,,,,,,,,,,,,,,,
0,20082009,North Dakota,WCHA,1,12,5,41,17,75.0,,75,,,,,,,,,,,,,,,,
0,20092010,North Dakota,WCHA,1,14,11,43,25,102.0,,102,,,,,,,,,,,,,,,,
0,20102011,North Dakota,WCHA,1,24,16,43,40,108.0,6.0,108,5.0,2.0,,,,,,,,,,,,,,
0,20112012,Colorado Avalanche,National Hockey League,1,2,0,9,2,0.0,0.0,0,0.0,0.0,1.0,90:23,6.0,13.0,0.0,00:27,89:56,12.5,0.0,0.0,0.0,00:00,1.0,135.0
0,20112012,Lake Erie,AHL,2,25,11,67,36,89.0,4.0,89,6.0,0.0,-7.0,,104.0,,,,,,10.58,,,,,
0,20122013,Colorado Avalanche,National Hockey League,1,1,1,13,2,16.0,0.0,16,0.0,0.0,-7.0,114:15,10.0,39.0,0.0,00:13,110:13,47.83,10.0,0.0,0.0,03:49,3.0,178.0
0,20122013,Lake Erie,AHL,2,14,10,63,24,99.0,2.0,99,1.0,0.0,-13.0,,127.0,,,,,,7.87,,,,,
0,20132014,Colorado Avalanche,National Hockey League,1,2,3,32,5,23.0,0.0,23,0.0,0.0,-4.0,216:34,16.0,79.0,0.0,01:51,214:43,46.88,18.75,0.0,0.0,00:00,5.0,321.0
0,20132014,Lake Erie,AHL,2,7,8,35,15,75.0,4.0,75,0.0,1.0,-7.0,,84.0,,,,,,9.5,,,,,
0,20142015,Carolina Hurricanes,National Hockey League,1,8,7,65,15,74.0,0.0,74,2.0,0.0,-8.0,659:47,65.0,162.0,0.0,05:54,629:17,61.22,10.77,0.0,0.0,24:36,16.0,956.0
0,20152016,Carolina Hurricanes,National Hockey League,1,4,2,57,6,75.0,0.0,75,0.0,0.0,-11.0,544:19,31.0,124.0,0.0,02:24,476:33,64.52,6.45,0.0,0.0,65:22,15.0,829.0
0,20162017,Chicago Wolves,AHL,957,4,4,19,8,6.0,,6,,,3.0,,,,,,,,,,,,,
0,20162017,Hershey Bears,AHL,997,13,7,52,20,66.0,,66,,,3.0,,,,,,,,,,,,,
0,20172018,Edmonton Oilers,National Hockey League,1,0,0,7,0,6.0,0.0,6,0.0,0.0,0.0,55:55,9.0,19.0,0.0,00:11,51:53,67.74,0.0,0.0,0.0,03:51,3.0,86.0
0,20172018,Bakersfield Condors,AHL,7257,20,13,56,33,49.0,,49,,,-9.0,,,,,,,,,,,,,
0,20182019,Edmonton Oilers,National Hockey League,1,0,0,16,0,4.0,0.0,4,0.0,0.0,0.0,143:13,13.0,35.0,0.0,00:39,127:41,44.44,0.0,0.0,0.0,14:53,5.0,218.0
0,20182019,Bakersfield Condors,AHL,7257,17,8,43,25,45.0,,45,,,10.0,,,,,,,,,,,,,
0,20192020,Bakersfield Condors,AHL,7257,18,13,49,31,88.0,,88,,,-13.0,,,,,,,,,,,,,
0,20202021,Bakersfield Condors,AHL,7257,11,10,26,21,35.0,,35,,,8.0,,,,,,,,,,,,,
0,20212022,Edmonton Oilers,National Hockey League,1,1,1,8,2,2.0,0.0,2,0.0,0.0,-2.0,66:14,7.0,22.0,0.0,00:22,56:07,48.15,14.3,0.0,0.0,09:45,1.0,108.0
0,20212022,Bakersfield Condors,AHL,7257,25,14,52,39,65.0,,65,,,10.0,,,,,,,,,,,,,
