,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Karpat U18,Fin-U18,1,2,0,4,4,4,2,,,,,,,,,,,,,,,,,
0,20122013,Karpat U18,Fin-U18,1,32,28,32,38,32,60,,,,,,,,,,,,,,,,,
0,20122013,Karpat Jr.,Fin-Jr.,2,2,2,0,5,0,4,,,,,,,,,,,,,,,,,
0,20132014,Karpat U18,Fin-U18,1,3,3,0,2,0,6,,,,,,,,,,,,,,,,,
0,20132014,Karpat Jr.,Fin-Jr.,2,34,25,18,44,18,59,,,,,,,,,,,,,,,,,
0,20132014,Karpat,Finland,3,1,0,0,3,0,1,,,,,,,,,,,,,,,,,
0,20132014,Finland,WJ18-A,4,1,2,4,5,4,3,10.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,
0,20142015,Karpat Jr.,Fin-Jr.,1,9,1,4,10,4,10,,,,,,,,,,,,,,,,,
0,20142015,Assat,Finland,2,2,0,0,3,0,2,,,,,,,,,,,,,,,,,
0,20142015,Karpat,Finland,3,7,4,8,27,8,11,,,,,,,,,,,,,,,,,
0,20152016,Karpat,Finland,1,25,20,2,45,2,45,,,,,,,,,,,,,,,,,
0,20152016,Finland,WJC-A,4,9,5,4,7,4,14,16.0,2.0,0.0,0.0,9.0,,,,,,,,,,,,
0,20152016,Finland,WC-A,5,4,3,4,10,4,7,20.0,2.0,0.0,0.0,4.0,,,,,,,,,,,,
0,20152016,Kärpät,Champions HL,542,6,3,6,11,6,9,,,,,7.0,,,,,,,,,,,,
0,20152016,Kärpät,Liiga,919,25,20,2,45,2,45,,,,,26.0,,,,,,,,,,,,
0,20152016,Finland,WC,17055,4,3,4,10,4,7,,,,,4.0,,,,,,,,,,,,
0,20152016,Finland U20,WJC-20,17116,9,5,4,7,4,14,,,,,9.0,,,,,,,,,,,,
0,20152016,Finland,EHT,68516,4,3,2,5,2,7,,,,,2.0,,,,,,,,,,,,
0,20162017,Carolina Hurricanes,National Hockey League,1,25,24,26,82,26,49,214.0,6.0,4.0,1.0,-1.0,1376:31,51.0,17.0,181:51,1176:46,48.57,11.21,1.0,2.0,17:54,14.0,1814.0
0,20162017,Finland,WC,17055,9,2,4,10,4,11,,,,,-2.0,,,,,,,,,,,,
0,20162017,Finland,WCup,17116,0,0,0,3,0,0,,,,,-1.0,,,,,,,,,,,,
0,20162017,Finland,EHT,68516,0,0,0,2,0,0,,,,,0.0,,,,,,,,,,,,
0,20172018,Carolina Hurricanes,National Hockey League,1,36,29,24,78,24,65,200.0,8.0,4.0,0.0,4.0,1397:37,65.0,16.0,208:40,1186:09,45.35,14.5,0.0,0.0,02:48,17.0,1731.0
0,20172018,Finland,WC,17055,9,9,2,8,2,18,,,,,15.0,,,,,,,,,,,,
0,20172018,Finland,EHT,68516,0,1,0,1,0,1,,,,,2.0,,,,,,,,,,,,
0,20182019,Carolina Hurricanes,National Hockey League,1,53,30,26,82,26,83,243.0,3.0,7.0,4.0,25.0,1652:22,65.0,24.0,246:05,1314:53,48.59,12.35,3.0,5.0,91:24,34.0,2008.0
0,20192020,Carolina Hurricanes,National Hockey League,1,28,38,26,68,26,66,206.0,8.0,5.0,4.0,10.0,1320:49,55.0,17.0,193:41,1004:24,46.01,18.4,0.0,5.0,122:44,20.0,1598.0
0,20202021,Carolina Hurricanes,National Hockey League,1,33,24,32,56,32,57,148.0,7.0,7.0,3.0,16.0,1090:21,38.0,18.0,169:45,829:01,52.75,16.2,1.0,3.0,91:35,25.0,1303.0
0,20212022,Carolina Hurricanes,National Hockey League,1,44,37,38,79,38,81,221.0,13.0,9.0,1.0,18.0,1497:21,76.0,28.0,234:22,1112:52,52.41,16.7,2.0,3.0,150:07,23.0,1819.0
