,season,team,league,sequenceNumber,assists,goals,games,points,pim,penaltyMinutes,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20122013,Pope Francis High,USHS-Prep,114938,9,15,22,24,,,,,,,,,,,,,,,,,,,
0,20132014,Pope Francis High,USHS-Prep,114938,23,29,25,52,,,,,,,,,,,,,,,,,,,
0,20132014,Springfield Jr. Pics 16U,USPHL 16U,159410,0,0,1,0,0.0,0,,,,,,,,,,,,,,,,,
0,20132014,Springfield Rifles 16U,MHSL U16,173290,8,15,12,23,4.0,4,,,,,,,,,,,,,,,,,
0,20142015,Pope Francis High,USHS-Prep,114938,28,47,25,75,,,,,,,,,,,,,,,,,,,
0,20142015,Springfield Rifles 16U,MHSL U16,173290,11,21,14,32,6.0,6,,,,,,,,,,,,,,,,,
0,20152016,Green Bay Gamblers,USHL,9936,4,5,48,9,10.0,10,0.0,,,,,,,,,,,,,,,,
0,20152016,USA U18,Hlinka Gretzky Cup,140070,1,1,4,2,0.0,0,1.0,,,,,,,,,,,,,,,,
0,20152016,Team Grey,USA-S17,177425,1,6,5,7,2.0,2,,,,,,,,,,,,,,,,,
0,20162017,Green Bay Gamblers,USHL,9936,15,19,58,34,20.0,20,4.0,,,,,,,,,,,,,,,,
0,20172018,Univ. of Massachusetts,NCAA,11300,15,13,33,28,10.0,10,-1.0,,,,,,,,,,,,,,,,
0,20182019,Univ. of Massachusetts,NCAA,11300,24,16,40,40,24.0,24,14.0,,,,,,,,,,,,,,,,
0,20192020,Univ. of Massachusetts,NCAA,11300,10,27,33,37,8.0,8,17.0,,,,,,,,,,,,,,,,
0,20202021,San Jose Sharks,National Hockey League,1,10,3,44,13,2.0,2,-7.0,494:51,60.0,25.0,1.0,1.0,39:59,454:03,0.0,5.0,0.0,0.0,0.0,0.0,00:49,17.0,708.0
0,20202021,San Jose Barracuda,AHL,187427,1,1,2,2,0.0,0,-1.0,,,,,,,,,,,,,,,,
0,20212022,San Jose Sharks,National Hockey League,1,1,1,14,2,0.0,0,-5.0,157:55,25.0,13.0,0.0,1.0,11:20,145:38,50.0,4.0,0.0,0.0,0.0,0.0,00:57,8.0,234.0
0,20212022,San Jose Barracuda,AHL,187427,15,17,45,32,6.0,6,-28.0,,,,,,,,,,,,,,,,
