,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Virden Oilers Bantam A,SWRHL,10150112,36,34,10,46,10,0,70,,,,,,,,,,,,,,,,
0,20122013,Southwest Cougars Midget AAA,MMHL,54543,16,1,34,43,34,0,17,,,,,,,,,,,,,,,,
0,20132014,Canada Western U17,WHC-17,60671,0,0,0,5,0,0,0,,,,,,,,,,,,,,,,
0,20132014,Virden Oil Capitals,MJHL,124317,12,1,8,56,8,0,13,,,,,,,,,,,,,,,,
0,20142015,Lincoln Stars,USHL,8518,15,0,16,55,16,-28,15,,,,,,,,,,,,,,,,
0,20152016,Central Illinois Flying Aces,USHL,172056,21,3,16,59,16,6,24,,,,,,,,,,,,,,,,
0,20162017,Central Illinois Flying Aces,USHL,172056,25,6,82,60,82,3,31,,,,,,,,,,,,,,,,
0,20172018,Univ. of Wisconsin,NCAA,5080,22,3,28,37,28,-11,25,,,,,,,,,,,,,,,,
0,20182019,Univ. of Wisconsin,NCAA,5080,16,9,32,37,32,0,25,,,,,,,,,,,,,,,,
0,20192020,Univ. of Wisconsin,NCAA,5080,21,7,24,36,24,-5,28,,,,,,,,,,,,,,,,
0,20202021,Chicago Blackhawks,National Hockey League,1,5,4,4,21,4,-6,9,341:42,26.0,25.0,0.0,0.0,23:05,313:21,0.0,15.4,0.0,0.0,0.0,0.0,05:16,21.0,419.0
0,20202021,Rockford IceHogs,AHL,8267,8,2,6,8,6,-1,10,,,,,,,,,,,,,,,,
0,20212022,Chicago Blackhawks,National Hockey League,1,0,0,2,5,2,-3,0,59:59,1.0,9.0,0.0,0.0,00:02,58:36,0.0,0.0,0.0,0.0,0.0,0.0,01:21,0.0,76.0
0,20212022,Rockford IceHogs,AHL,8267,20,7,55,52,55,-3,27,,,,,,,,,,,,,,,,
