,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Chicago Fury Bantam Minor AAA,T1EMBHL,168350,20,11,24,31,24,0.0,31,,,,,,,,,,,,,,,,
0,20082009,Chicago Fury Bantam Major AAA,T1EBHL,162239,28,21,22,31,22,0.0,49,,,,,,,,,,,,,,,,
0,20092010,Chi. Fury U-18,T1EHL,1,4,2,2,22,2,,6,,,,,,,,,,,,,,,,
0,20092010,Chi. Fury,T1EHL,2,15,7,48,37,48,,22,,,,,,,,,,,,,,,,
0,20102011,USNTDP,USHL,1,6,1,42,36,42,2.0,7,1.0,1.0,0.0,,,,,,,,,,,,,
0,20102011,USNTDP,U-17,2,10,3,10,17,10,,13,,,,,,,,,,,,,,,,
0,20112012,USNTDP,USHL,1,4,1,30,21,30,,5,,,,,,,,,,,,,,,,
0,20112012,USNTDP,U-18,2,9,7,16,36,16,,16,,,,,,,,,,,,,,,,
0,20112012,U.S.A.,WJ18-A,3,2,2,2,6,2,4.0,4,1.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,Plymouth,OHL,1,32,12,79,68,79,27.0,44,4.0,,0.0,,,,,,,,,,,,,
0,20132014,Washington Capitals,National Hockey League,1,5,1,23,34,23,-9.0,6,0.0,0.0,0.0,543:04,26.0,25.0,0.0,10:58,491:36,0.0,3.85,0.0,0.0,40:30,56.0,671.0
0,20132014,Hershey,AHL,2,4,0,15,13,15,-3.0,4,0.0,0.0,0.0,,15.0,,,,,,0.0,,,,,
0,20132014,U.S.A.,WJC-A,3,3,0,4,5,4,7.0,3,0.0,0.0,0.0,,13.0,,,,,,,,,,,
0,20142015,Hershey,AHL,1,34,8,132,73,132,-8.0,42,4.0,1.0,0.0,,122.0,,,,,,6.6,,,,,
0,20152016,Washington Capitals,National Hockey League,1,0,0,0,3,0,-2.0,0,0.0,0.0,0.0,30:21,2.0,5.0,0.0,02:26,27:55,0.0,0.0,0.0,0.0,00:00,3.0,47.0
0,20152016,Toronto Maple Leafs,National Hockey League,2,2,2,15,16,15,-3.0,4,0.0,1.0,0.0,264:47,19.0,33.0,1.0,07:58,249:15,0.0,10.53,0.0,0.0,07:34,16.0,357.0
0,20152016,Hershey,AHL,3,16,10,50,47,50,23.0,26,3.0,2.0,1.0,,104.0,,,,,,9.6,,,,,
0,20152016,Toronto,AHL,4,2,1,2,5,2,2.0,3,1.0,0.0,0.0,,9.0,,,,,,11.1,,,,,
0,20152016,Hershey Bears,AHL,997,16,10,50,47,50,23.0,26,,,,,,,,,,,,,,,,
0,20152016,Toronto Marlies,AHL,13377,2,1,2,5,2,2.0,3,,,,,,,,,,,,,,,,
0,20162017,Toronto Maple Leafs,National Hockey League,1,6,2,51,67,51,8.0,8,1.0,0.0,0.0,1094:31,89.0,66.0,1.0,37:20,1038:31,0.0,2.25,0.0,0.0,18:40,79.0,1493.0
0,20172018,Toronto Maple Leafs,National Hockey League,1,8,4,27,47,27,5.0,12,1.0,3.0,0.0,711:20,55.0,42.0,2.0,14:15,695:32,0.0,7.27,0.0,0.0,01:33,53.0,992.0
0,20182019,Dallas Stars,National Hockey League,1,3,1,13,14,13,-7.0,4,0.0,0.0,0.0,179:24,16.0,5.0,0.0,00:16,173:44,0.0,6.25,0.0,0.0,05:24,11.0,244.0
0,20182019,New Jersey Devils,National Hockey League,2,6,1,6,20,6,-6.0,7,0.0,1.0,0.0,391:45,26.0,20.0,1.0,29:00,354:10,0.0,3.85,0.0,0.0,08:35,26.0,474.0
0,20182019,Texas Stars,AHL,45177,1,1,0,4,0,-4.0,2,,,,,,,,,,,,,,,,
0,20192020,New Jersey Devils,National Hockey League,1,5,1,17,29,17,-6.0,6,0.0,1.0,0.0,417:53,25.0,27.0,0.0,02:29,402:01,0.0,4.0,0.0,0.0,13:23,39.0,564.0
0,20192020,Binghamton Devils,AHL,233827,0,0,2,3,2,-3.0,0,,,,,,,,,,,,,,,,
0,20202021,New Jersey Devils,National Hockey League,1,1,1,5,11,5,-2.0,2,0.0,0.0,0.0,205:22,8.0,11.0,0.0,06:50,194:26,0.0,12.5,0.0,0.0,04:06,24.0,258.0
0,20202021,Binghamton Devils,AHL,233827,6,0,12,13,12,-6.0,6,,,,,,,,,,,,,,,,
0,20212022,Charlotte Checkers,AHL,2357,22,10,67,59,67,4.0,32,,,,,,,,,,,,,,,,
