,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Tor. Titans,GTHL,1,34,24,32,56,32,58,,,,,,,,,,,,,,,,,
0,20102011,London,OHL,1,11,11,21,57,21,22,2.0,3.0,-11.0,,,,,,,,,,,,,,
0,20112012,London,OHL,1,15,22,22,63,22,37,3.0,1.0,22.0,,,,,,,,,,,,,,
0,20122013,Barrie,OHL,1,38,29,30,66,30,67,8.0,0.0,13.0,,,,,,,,,,,,,,
0,20132014,Barrie,OHL,1,46,49,52,66,52,95,11.0,4.0,24.0,8.0,,,,,,,,,,,,,
0,20132014,Grand Rapids,AHL,2,2,1,0,2,0,3,0.0,0.0,0.0,0.0,4.0,25.0,,,,,,,,,,,
0,20142015,Grand Rapids,AHL,1,16,16,25,55,25,32,1.0,2.0,17.0,5.0,117.0,13.7,,,,,,,,,,,
0,20152016,Detroit Red Wings,National Hockey League,1,5,9,5,37,5,14,0.0,1.0,1.0,1.0,53.0,16.98,333:39,17.0,0.0,00:42,314:10,41.09,0.0,1.0,18:47,8.0,518.0
0,20152016,Grand Rapids,AHL,2,8,8,9,26,9,16,1.0,0.0,-6.0,1.0,54.0,14.8,,,,,,,,,,,
0,20152016,Grand Rapids Griffins,AHL,987,8,8,9,26,9,16,,,-6.0,,,,,,,,,,,,,,
0,20162017,Detroit Red Wings,National Hockey League,1,11,18,28,64,28,29,1.0,0.0,-7.0,3.0,120.0,15.0,861:43,30.0,4.0,77:34,751:00,44.58,2.0,0.0,33:09,21.0,1204.0
0,20172018,Detroit Red Wings,National Hockey League,1,17,16,16,71,16,33,1.0,0.0,-15.0,2.0,170.0,9.41,1087:18,24.0,3.0,123:08,937:25,41.57,1.0,0.0,26:45,28.0,1461.0
0,20182019,Detroit Red Wings,National Hockey League,1,24,30,38,76,38,54,3.0,0.0,-9.0,4.0,216.0,13.89,1290:04,33.0,11.0,168:48,1114:46,42.86,1.0,0.0,06:30,26.0,1677.0
0,20192020,Detroit Red Wings,National Hockey League,1,14,10,26,46,26,24,3.0,0.0,-45.0,2.0,115.0,8.7,760:33,28.0,7.0,108:00,650:56,42.16,0.0,0.0,01:37,21.0,965.0
0,20192020,Edmonton Oilers,National Hockey League,2,1,1,4,9,4,2,0.0,0.0,-1.0,0.0,14.0,7.1,110:54,8.0,0.0,03:15,107:39,0.0,0.0,0.0,00:00,3.0,132.0
0,20202021,Los Angeles Kings,National Hockey League,1,13,10,27,47,27,23,0.0,0.0,-6.0,1.0,85.0,11.8,702:37,11.0,1.0,88:02,612:44,100.0,0.0,0.0,01:51,16.0,928.0
0,20212022,Los Angeles Kings,National Hockey League,1,6,11,4,28,4,17,0.0,0.0,7.0,3.0,71.0,15.5,426:33,11.0,1.0,45:15,377:54,65.0,1.0,0.0,03:24,10.0,547.0
