,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20112012,McQuaid Jesuit High,USHS-NY,86689,0,0,0.0,15,0,0.0,0
0,20122013,McQuaid Jesuit High,USHS-NY,86689,11,2,0.0,19,0,0.0,13
0,20132014,McQuaid Jesuit High,USHS-NY,86689,13,10,0.0,15,0,0.0,23
0,20142015,Rochester Monarchs 16U,Midget,48591,36,43,0.0,40,0,0.0,79
0,20142015,McQuaid Jesuit High,USHS-NY,86689,34,19,0.0,18,0,0.0,53
0,20152016,Northwood School,USHS-Prep,164792,29,24,,49,,,53
0,20162017,Northwood School,USHS-Prep,164792,52,28,,47,,,80
0,20172018,Chicago Steel,USHL,9906,35,31,104.0,54,104,-3.0,66
0,20172018,USA U19,WJAC-19,87412,1,3,2.0,5,2,,4
0,20182019,Providence College,NCAA,7690,29,10,48.0,41,48,5.0,39
0,20192020,Providence College,NCAA,7690,42,10,64.0,34,64,13.0,52
0,20202021,Henderson Silver Knights,AHL,307807,23,10,26.0,37,26,3.0,33
0,20212022,Henderson Silver Knights,AHL,307807,12,6,21.0,35,21,-8.0,18
