,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,Vaughan Kings U16 AAA,GTHL U16,97720,28,31,72,47,72,59,,,,,,,,,,,,,,,,,
0,20062007,Mississauga IceDogs Min Mdgt AAA,GTMMHL,111853,65,57,160,78,160,122,0.0,,,,,,,,,,,,,,,,
0,20072008,Niagara IceDogs,OHL,22319,10,12,47,50,47,22,3.0,,,,,,,,,,,,,,,,
0,20082009,Niagara,OHL,1,29,27,88,67,88,56,-10.0,9.0,0.0,3.0,,,,,,,,,,,,,
0,20092010,Niagara,OHL,1,29,37,95,66,95,66,15.0,8.0,4.0,1.0,,,,,,,,,,,,,
0,20092010,Peoria,AHL,2,0,0,0,2,0,0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,
0,20102011,Niagara,OHL,1,31,43,73,68,73,74,32.0,10.0,7.0,2.0,,,,,,,,,,,,,
0,20112012,Niagara,OHL,1,48,40,67,67,67,88,32.0,13.0,5.0,7.0,,,,,,,,,,,,,
0,20122013,Lake Erie,AHL,1,32,20,73,76,73,52,16.0,5.0,3.0,0.0,183.0,10.93,,,,,,,,,,,
0,20132014,Lake Erie,AHL,1,32,17,73,75,73,49,-12.0,8.0,1.0,0.0,184.0,9.2,,,,,,,,,,,
0,20142015,Colorado Avalanche,National Hockey League,1,1,0,0,1,0,1,1.0,0.0,0.0,0.0,1.0,0.0,09:45,1.0,0.0,00:00,09:45,0.0,0.0,0.0,00:00,0.0,14.0
0,20142015,Lake Erie,AHL,2,34,30,55,74,55,64,2.0,7.0,4.0,3.0,252.0,11.9,,,,,,,,,,,
0,20152016,Colorado Avalanche,National Hockey League,1,2,0,0,9,0,2,-1.0,0.0,0.0,0.0,3.0,0.0,77:03,8.0,1.0,02:16,74:47,53.33,0.0,0.0,00:00,4.0,108.0
0,20152016,San Antonio,AHL,2,17,12,32,41,32,29,-13.0,3.0,1.0,0.0,125.0,9.6,,,,,,,,,,,
0,20152016,San Antonio Rampage,AHL,8497,17,12,32,41,32,29,-13.0,,,,,,,,,,,,,,,,
0,20162017,Chicago Wolves,AHL,957,36,18,57,71,57,54,9.0,,,,,,,,,,,,,,,,
0,20172018,San Antonio Rampage,AHL,8497,21,23,63,72,63,44,-10.0,,,,,,,,,,,,,,,,
0,20182019,Colorado Avalanche,National Hockey League,1,1,1,0,11,0,2,2.0,0.0,0.0,0.0,11.0,9.09,85:55,14.0,0.0,00:56,80:01,42.11,0.0,0.0,04:58,3.0,113.0
0,20182019,Colorado Eagles,AHL,8957,34,26,67,56,67,60,12.0,,,,,,,,,,,,,,,,
0,20192020,Pittsburgh Penguins,National Hockey League,1,2,0,4,17,4,2,0.0,0.0,0.0,0.0,8.0,0.0,112:10,19.0,0.0,06:41,104:47,50.85,0.0,0.0,00:42,5.0,183.0
0,20192020,Anaheim Ducks,National Hockey League,2,0,1,0,5,0,1,3.0,0.0,0.0,0.0,2.0,50.0,49:39,6.0,0.0,03:17,45:39,50.0,0.0,0.0,00:43,2.0,65.0
0,20192020,Wilkes-Barre/Scranton Penguins,AHL,1077,19,14,28,37,28,33,5.0,,,,,,,,,,,,,,,,
0,20202021,Anaheim Ducks,National Hockey League,1,1,0,0,3,0,1,0.0,0.0,0.0,0.0,3.0,0.0,36:32,6.0,0.0,00:00,35:53,50.0,0.0,0.0,00:39,7.0,52.0
0,20202021,San Diego Gulls,AHL,85177,14,13,27,31,27,27,-4.0,,,,,,,,,,,,,,,,
0,20212022,Ottawa Senators,National Hockey League,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,06:52,4.0,0.0,00:00,06:52,33.33,0.0,0.0,00:00,0.0,10.0
0,20212022,Belleville Senators,AHL,227817,23,20,61,66,61,43,-5.0,,,,,,,,,,,,,,,,
