,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20152016,Power One Capitals U15,WSI U15,62070,2,1,0,5,0,3,
0,20162017,Team ALLIANCE,OGC-16,154277,3,0,0,5,0,3,
0,20162017,London Jr. Knights U16 AAA,ALLIANCE U16,161324,14,5,10,33,10,19,
0,20172018,Saginaw Spirit,OHL,9488,0,0,0,6,0,0,-1.0
0,20172018,St. Thomas Stars,GOJHL,55532,16,6,22,46,22,22,
0,20182019,Saginaw Spirit,OHL,9488,22,3,40,66,40,25,22.0
0,20192020,Saginaw Spirit,OHL,9488,31,13,61,58,61,44,31.0
0,20202021,Lehigh Valley Phantoms,AHL,173347,3,0,8,13,8,3,-3.0
0,20212022,Reading Royals,ECHL,6595,17,8,16,36,16,25,23.0
0,20212022,Lehigh Valley Phantoms,AHL,173347,1,0,8,12,8,1,-5.0
