,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20122013,Connecticut RoughRiders,EJHL,123812,10,5,24,37,24,0,15
0,20132014,Buffalo Jr. Sabres,OJHL,37017,38,13,30,52,30,0,51
0,20142015,Union College,NCAA,13730,9,2,10,35,10,0,11
0,20152016,Union College,NCAA,14220,14,4,16,36,16,-6,18
0,20162017,Union College,NCAA,14220,10,9,16,38,16,13,19
0,20162017,San Jose Barracuda,AHL,187427,0,1,0,4,0,5,1
0,20172018,San Jose Barracuda,AHL,187427,14,6,8,59,8,-3,20
0,20182019,San Jose Barracuda,AHL,187427,32,14,30,65,30,1,46
0,20192020,San Jose Barracuda,AHL,187427,14,5,21,48,21,-8,19
0,20202021,Rochester Americans,AHL,1047,6,0,2,8,2,-1,6
0,20202021,San Jose Barracuda,AHL,187427,5,0,2,14,2,-4,5
0,20212022,Stockton Heat,AHL,186037,21,4,28,68,28,10,25
