,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games
0,20162017,Delta Hockey Academy U15 Prep G,CSSHL U15,178933,0.959,1.15,13
0,20172018,Kamloops Blazers,WHL,8271,0.905,3.14,3
0,20172018,Delta Hockey Academy U18 Prep,CSSHL U18,144116,0.931,2.12,22
0,20182019,Kamloops Blazers,WHL,8271,0.902,2.94,27
0,20182019,Canada Red U17,WHC-17,163770,0.93,2.33,4
0,20192020,Kamloops Blazers,WHL,8271,0.921,2.21,42
0,20202021,Hartford Wolf Pack,AHL,847,0.839,3.68,2
0,20202021,Kamloops Blazers,WHL,8271,0.921,2.15,18
0,20202021,Canada U20,WJC-20,17216,0.8,3.0,1
0,20212022,Kamloops Blazers,WHL,8271,0.925,2.16,45
0,20212022,Canada U20,WJC-20,17216,0.925,1.98,6
