,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20132014,Los Angeles Jr. Kings Bantam AAA,Bantam,173085,9,1,6.0,17,6,10,
0,20142015,Los Angeles Jr. Kings  U16,T1EHL U16,83428,6,2,8.0,24,8,8,
0,20152016,Los Angeles Jr. Kings 16U AAA,T1EHL 16U,83956,10,3,22.0,31,22,13,
0,20152016,Team Gold,USA-S16,177934,0,0,0.0,5,0,0,
0,20162017,Sioux Falls Stampede,USHL,9966,9,1,14.0,52,14,10,-12.0
0,20162017,Team Kelly,USA-S17,177445,0,0,,5,,0,
0,20172018,Sioux Falls Stampede,USHL,9966,30,6,30.0,54,30,36,2.0
0,20172018,USA U19,WJAC-19,87412,2,0,2.0,5,2,2,
0,20182019,Yale Univ.,NCAA,8420,8,6,20.0,30,20,14,8.0
0,20182019,USA U20,WJC-20,17276,0,0,0.0,7,0,0,-3.0
0,20192020,Yale Univ.,NCAA,8420,15,1,18.0,32,18,16,-10.0
0,20202021,Boston College,NCAA,9670,5,1,6.0,18,6,6,-1.0
0,20212022,Boston College,NCAA,9670,20,4,6.0,35,6,24,8.0
