,season,team,league,sequenceNumber,timeOnIce,assists,goals,games,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,points,shifts,pim,penaltyMinutes,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20022003,Shat.-St. Mary's,High-MN,1,00:00,27,15,48,00:00,00:00,0.0,00:00,42,0.0,,,,,,,,,,,,,
0,20032004,USNTDP,U-17,1,00:00,9,12,31,00:00,00:00,0.0,00:00,21,0.0,78.0,78,,,,,,,,,,,
0,20032004,USNTDP,NAHL,2,00:00,12,3,29,00:00,00:00,0.0,00:00,15,0.0,93.0,93,,,,,,,,,,,
0,20032004,United States,WJ18-A,3,00:00,0,2,6,00:00,00:00,0.0,00:00,2,0.0,18.0,18,,,,,,,,,,,
0,20042005,USNTDP,U-18,1,00:00,9,5,26,00:00,00:00,0.0,00:00,14,0.0,86.0,86,,,,,,,,,,,
0,20042005,USNTDP,NAHL,2,00:00,10,7,12,00:00,00:00,0.0,00:00,17,0.0,57.0,57,1.0,2.0,1.0,0.0,,,,,,,
0,20042005,United States,WJ18-A,3,00:00,2,0,6,00:00,00:00,0.0,00:00,2,0.0,35.0,35,,,,,,,,,,,
0,20052006,U. Of Michigan,CCHA,1,00:00,22,10,38,00:00,00:00,0.0,00:00,32,0.0,149.0,149,,,,,,,,,,,
0,20052006,United States,WJC-A,2,00:00,5,1,7,00:00,00:00,0.0,00:00,6,0.0,45.0,45,,,,,,,,,,,
0,20062007,Los Angeles Kings,National Hockey League,1,106:54,0,0,5,19:28,78:06,0.0,09:20,0,130.0,18.0,18,0.0,0.0,0.0,-5.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0
0,20062007,United States,WJC-A,2,,0,3,7,,,,,3,,14.0,14,,,,,,,,,,,
0,20062007,United States,WC-A,3,,0,1,7,,,,,1,,0.0,0,,,,,,,,,,,
0,20062007,U. Of Michigan,CCHA,4,,23,16,36,,,,,39,,87.0,87,,,,,,,,,,,
0,20072008,Los Angeles Kings,National Hockey League,1,1605:28,8,3,74,92:56,1327:44,60.0,184:48,11,1917.0,76.0,76,0.0,0.0,0.0,-19.0,81.0,84.0,0.0,3.7,0.0,0.0,136.0
0,20082009,Los Angeles Kings,National Hockey League,1,831:20,5,6,41,76:58,693:49,0.0,60:33,11,949.0,46.0,46,3.0,0.0,0.0,-18.0,50.0,68.0,6.0,12.0,0.0,0.0,51.0
