,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,goalsAgainst,saves,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20072008,New Jersey Jr. Titans Bantam Min,AYMBHL,222131,0.886,3.72,29,,,,,,,,,,,,,,,,,,,
0,20082009,New Jersey Jr. Titans Bantam Maj,AYBHL,204775,0.91,3.23,28,,,,,,,,,,,,,,,,,,,
0,20092010,New Jersey Devils Youth 16U,AYHL 16U,47281,0.926,2.36,19,,,,,,,,,,,,,,,,,,,
0,20102011,Jersey Hitmen,EmJHL,58294,0.902,3.19,37,,,,,,,,,,,,,,,,,,,
0,20112012,Corpus Christi,NAHL,1,,2.84,50,2939:00,3.0,4.0,23.0,22.0,139.0,,,,,,,,,,,,,
0,20122013,Nebraska-Omaha,WCHA,1,,2.56,8,421:00,1.0,0.0,2.0,5.0,18.0,,,,,,,,,,,,,
0,20132014,London,OHL,1,0.953475,2.52,35,1927:00,4.0,2.0,25.0,5.0,81.0,1660.0,1741.0,,,,,,,,,,,
0,20132014,U.S.A.,WJC-A,2,1.0,0.0,1,60:00,1.0,0.0,1.0,0.0,0.0,15.0,15.0,,,,,,,,,,,
0,20142015,Lehigh Valley,AHL,1,0.905,3.28,31,1592:00,2.0,4.0,9.0,13.0,87.0,826.0,913.0,,,,,,,,,,,
0,20142015,Lehigh Valley Phantoms,AHL,173347,0.905,3.28,31,,,,,,,,,,,,,,,,,,,
0,20152016,Lehigh Valley Phantoms,AHL,173347,0.916,2.6,47,,,,,,,,,,,,,,,,,,,
0,20162017,Philadelphia Flyers,National Hockey League,1,0.928177,2.074008,7,376:05,1.0,,2.0,1.0,13.0,168.0,181.0,1.0,26.0,3.0,139.0,5.0,146.0,30.0,4.0,86.66666666666667,60.0,95.2054794520548
0,20162017,Lehigh Valley Phantoms,AHL,173347,0.911,2.92,29,,,,,,,,,,,,,,,,,,,
0,20172018,Reading Royals,ECHL,6595,0.902,3.02,3,,,,,,,,,,,,,,,,,,,
0,20172018,Lehigh Valley Phantoms,AHL,173347,0.829,6.08,1,,,,,,,,,,,,,,,,,,,
0,20182019,Philadelphia Flyers,National Hockey League,1,0.902235,3.334745,12,629:44,1.0,0.0,4.0,3.0,35.0,323.0,358.0,3.0,37.0,11.0,275.0,13.0,304.0,41.0,10.0,90.2439024390244,84.61538461538461,90.46052631578947
0,20182019,Edmonton Oilers,National Hockey League,2,0.896552,3.770686,6,238:41,0.0,0.0,0.0,2.0,15.0,130.0,145.0,0.0,14.0,2.0,114.0,3.0,123.0,19.0,2.0,73.68421052631578,66.66666666666666,92.6829268292683
0,20182019,Lehigh Valley Phantoms,AHL,173347,0.901,3.58,5,,,,,,,,,,,,,,,,,,,
0,20192020,Anaheim Ducks,National Hockey League,1,0.944,2.0385,1,58:52,0.0,0.0,0.0,1.0,2.0,34.0,36.0,0.0,5.0,0.0,29.0,0.0,30.0,6.0,1.0,83.33333333333334,,96.66666666666667
0,20192020,San Diego Gulls,AHL,85177,0.922,2.66,39,,,,,,,,,,,,,,,,,,,
0,20202021,Anaheim Ducks,National Hockey League,1,0.926,2.1969,8,464:18,1.0,0.0,4.0,3.0,17.0,213.0,230.0,0.0,31.0,4.0,178.0,4.0,193.0,33.0,7.0,93.93939393939394,100.0,92.2279792746114
0,20202021,USA,WC,17215,1.0,0.0,1,,,,,,,,,,,,,,,,,,,
0,20202021,San Diego Gulls,AHL,85177,0.92,2.93,3,,,,,,,,,,,,,,,,,,,
0,20212022,Anaheim Ducks,National Hockey League,1,0.917,2.66858,28,1506:25,3.0,0.0,12.0,8.0,67.0,742.0,809.0,3.0,121.0,23.0,598.0,25.0,652.0,132.0,23.0,91.66666666666666,92.0,91.71779141104295
