,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Småland,TV-Pucken,10936,1,0,0,8,0,5.0,1,,,,,,,,,,,,,,,,
0,20122013,Troja U18,Swe-U18,1,0,0,0,10,0,,0,,,,,,,,,,,,,,,,
0,20122013,Troja Jr.,Swe-Jr.,2,5,5,2,19,2,,10,,,,,,,,,,,,,,,,
0,20132014,Frolunda U18,Swe-U18,1,16,9,55,38,55,,25,,,,,,,,,,,,,,,,
0,20132014,Frolunda Jr.,Swe-Jr.,2,0,0,0,13,0,,0,,,,,,,,,,,,,,,,
0,20142015,Frolunda U18,20 Elit,1,1,1,0,3,0,,2,,,,,,,,,,,,,,,,
0,20142015,Frolunda Jr.,Swe-Jr.,2,11,8,49,30,49,,19,,,,,,,,,,,,,,,,
0,20142015,Frolunda,Sweden,3,2,1,6,20,6,,3,,,,,,,,,,,,,,,,
0,20152016,Frolunda Jr.,Swe-Jr.,1,0,0,0,1,0,,0,,,,,,,,,,,,,,,,
0,20152016,Frolunda,Sweden,2,9,5,10,47,10,,14,,,,,,,,,,,,,,,,
0,20152016,Sweden,WJC-A,3,2,1,4,6,4,3.0,3,13.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20152016,Frölunda HC,Champions HL,232,2,3,2,13,2,2.0,5,,,,,,,,,,,,,,,,
0,20152016,Frölunda HC,SHL,919,9,5,10,47,10,11.0,14,,,,,,,,,,,,,,,,
0,20152016,Frölunda HC J20,J20 Nationell,5919,0,0,0,1,0,3.0,0,,,,,,,,,,,,,,,,
0,20152016,Sweden U20,WJC-20,8596,2,1,4,6,4,3.0,3,,,,,,,,,,,,,,,,
0,20162017,Anaheim Ducks,National Hockey League,1,0,0,2,4,2,-1.0,0,2.0,0.0,0.0,0.0,65:43,1.0,0.0,04:19,53:12,0.0,0.0,0.0,0.0,08:12,1.0,85.0
0,20162017,Frölunda HC,Champions HL,232,5,1,2,10,2,6.0,6,,,,,,,,,,,,,,,,
0,20162017,Frölunda HC,SHL,919,4,1,16,29,16,-7.0,5,,,,,,,,,,,,,,,,
0,20162017,Sweden U20,WJC-20,8596,1,0,4,7,4,0.0,1,,,,,,,,,,,,,,,,
0,20162017,San Diego Gulls,AHL,85177,2,0,2,4,2,-6.0,2,,,,,,,,,,,,,,,,
0,20172018,San Diego Gulls,AHL,85177,13,3,20,50,20,12.0,16,,,,,,,,,,,,,,,,
0,20182019,Anaheim Ducks,National Hockey League,1,5,0,16,49,16,-4.0,5,57.0,0.0,0.0,0.0,838:37,41.0,0.0,02:12,775:57,0.0,0.0,0.0,0.0,60:28,59.0,1163.0
0,20182019,San Diego Gulls,AHL,85177,5,0,10,22,10,1.0,5,,,,,,,,,,,,,,,,
0,20192020,Anaheim Ducks,National Hockey League,1,9,2,12,60,12,-9.0,11,58.0,0.0,0.0,0.0,968:34,34.0,0.0,03:06,904:07,0.0,3.4,0.0,0.0,61:21,57.0,1329.0
0,20192020,San Diego Gulls,AHL,85177,1,1,4,5,4,3.0,2,,,,,,,,,,,,,,,,
0,20202021,Anaheim Ducks,National Hockey League,1,6,1,14,46,14,-9.0,7,42.0,0.0,0.0,0.0,799:59,37.0,0.0,01:48,709:46,0.0,2.4,0.0,1.0,88:25,59.0,1060.0
0,20202021,Kristianstads IK,HockeyAllsvenskan,4560,2,0,4,5,4,-8.0,2,,,,,,,,,,,,,,,,
0,20212022,Anaheim Ducks,National Hockey League,1,1,0,2,6,2,-3.0,1,5.0,0.0,0.0,0.0,91:38,1.0,0.0,00:00,90:33,0.0,0.0,0.0,0.0,01:05,5.0,109.0
0,20212022,San Diego Gulls,AHL,85177,13,2,41,55,41,0.0,15,,,,,,,,,,,,,,,,
