,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20122013,Frölunda HC U16,U16 Elit,43706,19,17,8,27,8,0,36
0,20122013,Frölunda HC U16 2,U16 Div.1,172596,4,2,0,3,0,0,6
0,20132014,Frölunda HC J18,J18 Allsvenskan,5994,6,3,4,14,4,0,9
0,20132014,Frölunda HC U16,U16 Elit,43706,22,18,2,18,2,0,40
0,20142015,Frölunda HC J20,SuperElit,4713,4,2,6,16,6,0,6
0,20142015,Frölunda HC J18,J18 Elit,6104,12,11,4,13,4,17,23
0,20142015,Sweden U17,WHC-17,60601,2,2,2,6,2,0,4
0,20152016,Frölunda HC,SHL,919,0,0,0,1,0,0,0
0,20152016,Frölunda HC J20,J20 Nationell,5919,31,17,34,44,34,19,48
0,20152016,Sweden U18,Hlinka Gretzky Cup,158290,2,0,0,5,0,0,2
0,20162017,Tri-City Storm,USHL,28026,28,19,4,49,4,1,47
0,20172018,Univ. of Wisconsin,NCAA,5080,16,10,26,34,26,-2,26
0,20182019,Univ. of Wisconsin,NCAA,5080,17,8,10,27,10,2,25
0,20192020,Univ. of Wisconsin,NCAA,5080,18,4,25,35,25,-8,22
0,20202021,Univ. of Wisconsin,NCAA,5080,29,12,12,31,12,7,41
0,20212022,Rochester Americans,AHL,1047,21,16,32,67,32,7,37
